# Generated by G. Mace on Thu Nov 22 01:23:22 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86636         -NaN         -NaN
      0.00000      1.86637      318110.    -0.457252
      0.00000      1.86639  4.88720e+06      2.67168
      0.00000      1.86640 -1.30810e+06      1.32665
      0.00000      1.86641     -283202.    -0.137882
      0.00000      1.86643 -2.29792e+06      1.79680
      0.00000      1.86644     -650812.    -0.387178
      0.00000      1.86645      513521.     0.629547
      0.00000      1.86647  1.73698e+06      1.31283
      0.00000      1.86648  6.65056e+06      2.23945
      0.00000      1.86650 -2.19016e+07    -0.254692
      0.00000      1.86651 -1.09280e+06     -1.22423
      0.00000      1.86652  1.65444e+06      1.17898
      0.00000      1.86654      488156.     0.708168
      0.00000      1.86655  4.58276e+06     -1.59320
      0.00000      1.86657      265957.    -0.247869
      0.00000      1.86658      138380.    -0.491406
      0.00000      1.86659  8.31114e+06      1.04139
      0.00000      1.86661 -1.85260e+06     -1.58106
      0.00000      1.86662      990162.      1.28812
      0.00000      1.86663 -6.24109e+07     -3.00537
      0.00000      1.86665  2.87807e+06    -0.720754
      0.00000      1.86666      239017.     0.295996
      0.00000      1.86668 -1.85445e+06     -1.05769
      0.00000      1.86669  6.21683e+06     -2.64769
      0.00000      1.86670 -3.01866e+06     -1.14697
      0.00000      1.86672  1.09079e+07    -0.776052
      0.00000      1.86673     -245759.    -0.398830
      0.00000      1.86674      685993.    -0.896900
      0.00000      1.86676     -627959.     0.951463
      0.00000      1.86677      313363.     -1.15751
      0.00000      1.86679  2.83173e+06     0.876730
      0.00000      1.86680  2.98891e+06      3.37109
      0.00000      1.86681  1.48125e+06      1.06706
      0.00000      1.86683      9243.00   -0.0276631
      0.00000      1.86684     -753973.    -0.823898
      0.00000      1.86686      627063.    -0.871285
      0.00000      1.86687  1.12175e+07      1.02421
      0.00000      1.86688 -3.03105e+06      2.89149
      0.00000      1.86690  2.39895e+06     0.309014
      0.00000      1.86691     -628348.      1.29946
      0.00000      1.86692     -398560.    -0.278186
      0.00000      1.86694     -70812.7    0.0779266
      0.00000      1.86695     -444419.     0.612425
      0.00000      1.86697  9.29318e+06    -0.284465
      0.00000      1.86698  3.60246e+06      1.32213
      0.00000      1.86699      586455.     0.559981
      0.00000      1.86701     -179246.     0.519314
      0.00000      1.86702     -863879.     0.464660
      0.00000      1.86704      276116.    -0.420105
      0.00000      1.86705  3.76724e+06     -1.47526
