|---------------------------------------------------------------------------------------------|
| -LAMBDA-VAC-MIC-|-SPECTRUM--|TT|--------TERM---------|---J-J---|----LEVEL ENERGY--CM-1----| |
|---------------------------------------------------------------------------------------------|
|   1.9450871       H I        E1          4-8             *-*       102823.90 -   107965.06  |
|---------------------------------------------------------------------------------------------|
|   2.166120        H I        E1          4-7             *-*       102823.90 -   107440.45  |
|---------------------------------------------------------------------------------------------|
|   2.3155830       H I        E1          5-40            *-*       105291.66 -   109610.22  |
|---------------------------------------------------------------------------------------------|
|   2.3174936       H I        E1          5-39            *-*       105291.66 -   109606.66  |
|---------------------------------------------------------------------------------------------|
|   2.3195606       H I        E1          5-38            *-*       105291.66 -   109602.82  |
|---------------------------------------------------------------------------------------------|
|   2.3218016       H I        E1          5-37            *-*       105291.66 -   109598.66  |
|---------------------------------------------------------------------------------------------|
|   2.3242368       H I        E1          5-36            *-*       105291.66 -   109594.14  |
|---------------------------------------------------------------------------------------------|
|   2.3268895       H I        E1          5-35            *-*       105291.66 -   109589.24  |
|---------------------------------------------------------------------------------------------|
|   2.3297866       H I        E1          5-34            *-*       105291.66 -   109583.89  |
|---------------------------------------------------------------------------------------------|
|   2.3329593       H I        E1          5-33            *-*       105291.66 -   109578.06  |
|---------------------------------------------------------------------------------------------|
|   2.3364440       H I        E1          5-32            *-*       105291.66 -   109571.66  |
|---------------------------------------------------------------------------------------------|
|   2.3402834       H I        E1          5-31            *-*       105291.66 -   109564.64  |
|---------------------------------------------------------------------------------------------|
|   2.3445277       H I        E1          5-30            *-*       105291.66 -   109556.91  |
|---------------------------------------------------------------------------------------------|
|   2.3492366       H I        E1          5-29            *-*       105291.66 -   109548.36  |
|---------------------------------------------------------------------------------------------|
|   2.3544810       H I        E1          5-28            *-*       105291.66 -   109538.88  |
|---------------------------------------------------------------------------------------------|
|   2.3603466       H I        E1          5-27            *-*       105291.66 -   109528.32  |
|---------------------------------------------------------------------------------------------|
|   2.3669366       H I        E1          5-26            *-*       105291.66 -   109516.53  |
|---------------------------------------------------------------------------------------------|
|   2.3743770       H I        E1          5-25            *-*       105291.66 -   109503.29  |
|---------------------------------------------------------------------------------------------|
|   2.3828230       H I        E1          5-24            *-*       105291.66 -   109488.36  |
|---------------------------------------------------------------------------------------------|
|   2.3924675       H I        E1          5-23            *-*       105291.66 -   109471.44  |
|---------------------------------------------------------------------------------------------|
|   2.4035523       H I        E1          5-22            *-*       105291.66 -   109452.16  |
|---------------------------------------------------------------------------------------------|
|   2.4163852       H I        E1          5-21            *-*       105291.66 -   109430.07  |
|---------------------------------------------------------------------------------------------|
|   2.4313620       H I        E1          5-20            *-*       105291.66 -   109404.58  |
|---------------------------------------------------------------------------------------------|
|   2.4490002       H I        E1          5-19            *-*       105291.66 -   109374.96  |
|---------------------------------------------------------------------------------------------|
|   2.4699873       H I        E1          5-18            *-*       105291.66 -   109340.26  |
|---------------------------------------------------------------------------------------------|
|   2.4952543       H I        E1          5-17            *-*       105291.66 -   109299.26  |
|---------------------------------------------------------------------------------------------|
