Table 1 
IRAC Observing Log


AOR	PID	Date	3.6/5.8 Center	4.5/8.0 Center	Dimensions	Angle^a	Exp. Time^b	
		(UT)	(J2000)	(J2000)	(arcmin)	(deg)	(s)	
3963904	37	2004 Feb 9	04 46 42.3 +24 58 58	04 46 42.3 +24 58 58	5.3 x 5.3	85.0	31.2 HDR	
			04 46 46.6 +24 52 21	04 46 38.5 +25 05 43	5.3 x 5.3	85.0	31.2 HDR	
			04 44 31.0 +25 12 21	04 44 31.0 +25 12 21	5.3 x 5.3	85.0	31.2 HDR	
			04 44 34.9 +25 05 50	04 44 27.2 +25 19 06	5.3 x 5.3	85.0	31.2 HDR	
			04 43 03.4 +25 20 10	04 43 03.4 +25 20 10	5.3 x 5.3	85.0	31.2 HDR	
			04 43 07.2 +25 13 44	04 43 00.0 +25 26 56	5.3 x 5.3	85.0	31.2 HDR	
			04 42 38.0 +25 15 29	04 42 38.0 +25 15 29	5.3 x 5.3	85.0	31.2 HDR	
			04 42 41.4 +25 08 54	04 42 34.1 +25 22 14	5.3 x 5.3	85.0	31.2 HDR	
			04 42 21.5 +25 20 26	04 42 21.5 +25 20 26	5.3 x 5.3	85.0	31.2 HDR	
			04 42 24.8 +25 13 53	04 42 17.7 +25 27 11	5.3 x 5.3	85.0	31.2 HDR	
			04 42 07.6 +25 22 53	04 42 07.6 +25 22 53	5.3 x 5.3	85.0	31.2 HDR	
			04 42 11.2 +25 16 21	04 42 03.8 +25 29 38	5.3 x 5.3	85.0	31.2 HDR	
			04 41 04.5 +24 51 02	04 41 04.5 +24 51 02	5.3 x 5.3	85.0	31.2 HDR	
			04 41 08.7 +24 44 22	04 41 00.5 +24 57 46	5.3 x 5.3	85.0	31.2 HDR	
			04 41 39.7 +25 56 17	04 41 39.7 +25 56 17	5.3 x 5.3	85.0	31.2 HDR	
			04 41 42.4 +25 49 48	04 41 35.9 +26 03 01	5.3 x 5.3	85.0	31.2 HDR	
			04 41 12.8 +25 46 38	04 41 12.8 +25 46 38	5.3 x 5.3	85.0	31.2 HDR	
			04 41 17.0 +25 39 51	04 41 09.0 +25 53 22	5.3 x 5.3	85.0	31.2 HDR	
