element,sp_num,obs_wl_vac(mcm),unc_obs_wl,ritz_wl_vac(mcm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Sc,1,"=""2.2992518""","=""0.0000011""","=""2.2992519""","=""0.0000010""","=""510""","=""7.5e+04""",C,"=""1.4478022""","=""1.9870393""","=""3d2.(3F).4s""","=""4F""","=""9/2""","=""3d.4s.(3D).4p""","=""4F*""","=""9/2""",,"=""T9506""","=""L11621,L4189c12""",
Sc,1,"=""2.3126451""","=""0.0000011""","=""2.3126453""","=""0.0000008""","=""85""","=""1.19e+04""",C,"=""1.4329667""","=""1.9690809""","=""3d2.(3F).4s""","=""4F""","=""5/2""","=""3d.4s.(3D).4p""","=""4F*""","=""7/2""",,"=""T9506""","=""L11621,L4189c12""",
Sc,1,"=""2.32864""","=""0.00002""","=""2.328599""","=""0.000009""","=""13*""","=""""",,"=""5.2024946""","=""5.7349358""","=""3d2.(3F).5s""","=""4F""","=""5/2""","=""3d2.(3F).5p""","=""4F*""","=""5/2""",,"=""""","=""L4189c12""",
Sc,1,"=""2.32864""","=""0.00002""","=""2.328637""","=""0.000006""","=""13*""","=""""",,"=""2.5689319""","=""3.1013643""","=""3d2.(3P).4s""","=""2P""","=""3/2""","=""3d.4s.(3D).4p""","=""2D*""","=""5/2""",,"=""""","=""L4189c12""",
Co,2,"=""2.336493""","=""0.000005""","=""2.336486""","=""0.000004""","=""3""","=""8.8e+05""",C+,"=""11.70021337""","=""12.2308572""","=""3d7.(4F).4d""","=""f 3F""","=""3""","=""3d7.(4F).5p""","=""3D*""","=""2""",,"=""T6999""","=""L9429c118""",
Sc,1,"=""2.3411128""","=""0.0000011""","=""2.3411130""","=""0.0000008""","=""460""","=""6.73e+04""",C,"=""1.4394858""","=""1.9690809""","=""3d2.(3F).4s""","=""4F""","=""7/2""","=""3d.4s.(3D).4p""","=""4F*""","=""7/2""",,"=""T9506""","=""L11621,L4189c12""",
Sc,1,"=""2.3604000""","=""0.0000011""","=""2.3604009""","=""0.0000009""","=""70""","=""1.13e+04""",C,"=""1.4282931""","=""1.9535607""","=""3d2.(3F).4s""","=""4F""","=""3/2""","=""3d.4s.(3D).4p""","=""4F*""","=""5/2""",,"=""T9506""","=""L11621,L4189c12""",
Sc,1,"=""2.3784629""","=""0.0000011""","=""2.3784629""","=""0.0000009""","=""50""","=""2.67e+03""",C,"=""1.4478022""","=""1.9690809""","=""3d2.(3F).4s""","=""4F""","=""9/2""","=""3d.4s.(3D).4p""","=""4F*""","=""7/2""",,"=""T9506""","=""L11621,L4189c12""",
Sc,1,"=""2.3815909""","=""0.0000011""","=""2.3815909""","=""0.0000009""","=""365""","=""6.56e+04""",C,"=""1.4329667""","=""1.9535607""","=""3d2.(3F).4s""","=""4F""","=""5/2""","=""3d.4s.(3D).4p""","=""4F*""","=""5/2""",,"=""T9506""","=""L11621,L4189c12""",
Sc,1,"=""2.38962""","=""0.00002""","=""2.389616""","=""0.000010""","=""7*""","=""""",,"=""4.7070437""","=""5.2258895""","=""3d2.(3P).4p""","=""4P*""","=""5/2""","=""3d.4s.(1D).4d""","=""2F""","=""5/2""",,"=""""","=""L4189c12""",
Sc,1,"=""2.38962""","=""0.00002""","=""2.389622""","=""0.000006""","=""7*""","=""""",,"=""2.5641680""","=""3.0830124""","=""3d2.(3P).4s""","=""2P""","=""1/2""","=""3d.4s.(3D).4p""","=""2D*""","=""3/2""",,"=""""","=""L4189c12""",
Sc,1,"=""2.4081310""","=""0.0000012""","=""2.4081308""","=""0.0000009""","=""405""","=""6.42e+04""",C,"=""1.4282931""","=""1.9431497""","=""3d2.(3F).4s""","=""4F""","=""3/2""","=""3d.4s.(3D).4p""","=""4F*""","=""3/2""",,"=""T9506""","=""L11621,L4189c12""",
Sc,1,"=""2.41180""","=""0.00004""","=""2.411766""","=""0.000006""","=""55*""","=""""",,"=""2.5689319""","=""3.0830124""","=""3d2.(3P).4s""","=""2P""","=""3/2""","=""3d.4s.(3D).4p""","=""2D*""","=""3/2""",,"=""""","=""L4189c12""",
Sc,1,"=""2.4118032""","=""0.0000048""","=""2.4117924""","=""0.0000012""","=""55*""","=""2.74e+03""",C,"=""1.4394858""","=""1.9535607""","=""3d2.(3F).4s""","=""4F""","=""7/2""","=""3d.4s.(3D).4p""","=""4F*""","=""5/2""",,"=""T9506""","=""L19272,L4189c12""",
Sc,1,"=""2.4301909""","=""0.0000012""","=""2.4301904""","=""0.0000009""","=""27""","=""7.3e+03""",C,"=""1.4329667""","=""1.9431497""","=""3d2.(3F).4s""","=""4F""","=""5/2""","=""3d.4s.(3D).4p""","=""4F*""","=""3/2""",,"=""T9506""","=""L11621,L4189c12""",
Co,2,"=""""","=""""","=""2.4371418""","=""0.0000011""","=""m(Ne)""","=""3.0e+04""",D,"=""11.32631360""","=""11.83504147""","=""3d7.(4F).4d""","=""e 5G""","=""4""","=""3d7.(4F).5p""","=""5F*""","=""5""",,"=""T6999""","=""L9429""",
Sc,1,"=""2.45514""","=""0.00002""","=""2.455147""","=""0.000007""","=""85""","=""""",,"=""2.1093125""","=""2.6143096""","=""3d2.(1D).4s""","=""2D""","=""5/2""","=""3d.4s.(1D).4p""","=""2F*""","=""7/2""",,"=""""","=""L4189c12""",
Sc,1,"=""2.46179""","=""0.00002""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4189c12""",
