,Source,Name,Spectral_Type,ew_na1_2_2062,ew_sc1_2_2058,ew_sc1_2_2071,ew_na1_2_2089,ew_mg1_2_1065,ew_al1_2_1098,ew_ti1_2_2217,ew_ti1_2_2238,ew_fe1_2_2263,ew_fe1_2_2266,ew_ti1_2_2280,ew_ti1_2_2316,ew_ca1_2_2614,ew_ca1_2_2631,ew_ca1_2_2657,ew_fe1_2_2626,ew_mg1_2_2813,ew_fe1_2_2838,ew_ca1_2_2828
0,C:/Users/Savio/Documents/IGRINS-Spectra/IGRINS_Merged/mHOPS132_30102016_K_0091_spec_A0v.fits,HOPS132,   ,0.00010062422581813446,2.041937006097459e-06,3.8203242973709566e-05,6.602900635980457e-05,9.614364621866181e-05,5.308310614132526e-05,2.088019993026411e-05,2.4843145599476353e-05,4.5465278464123255e-06,6.193194445654987e-05,3.0190641361290347e-05,2.6885483463962585e-07,4.936769957024351e-05,8.642661592062212e-05,7.770266641710204e-05,4.9616551530600684e-05,7.29440684667287e-05,0.0,2.6327940108837473e-06
1,C:/Users/Savio/Documents/IGRINS-Spectra/IGRINS_Merged/mHOPS194_30102016_K_0075_spec_A0v.fits,HOPS194,,7.636662774716137e-05,8.234081795528734e-06,3.337000381342196e-05,5.186340893612608e-05,5.426631242051367e-05,5.350184927578598e-05,2.4628806913623347e-05,2.227160209351048e-05,2.369174165588484e-06,3.9636858004524476e-05,2.465626874957026e-05,1.137350966287751e-05,3.158033044208099e-05,6.470420809641392e-05,7.491335470148703e-05,1.728288858151242e-05,4.0098377588184665e-05,0.0,1.100544109171632e-05
2,C:/Users/Savio/Documents/IGRINS-Spectra/IGRINS_Merged/mHOPS294_20163010_K_0081_spec_A0v.fits,HOPS294,,0.00012017607492756323,4.0744254903642256e-05,5.86042771102179e-05,9.928946892044333e-05,5.217976282386401e-05,8.651762989767474e-05,4.459549915341993e-05,4.772877815883314e-05,3.5842693428771916e-05,2.8950550917627313e-05,3.911464919945024e-05,2.0606091536342514e-05,6.313655714863928e-05,0.00010216232161799393,0.0001332250316107338,5.852605244534263e-05,6.972597420611189e-05,0.0,1.9984241626718302e-05
3,C:/Users/Savio/Documents/IGRINS-Spectra/IGRINS_Merged/mHOPS357_20180115_K_0051_spec_A0v.fits,HOPS357,,4.187459474877511e-05,3.413270808483117e-05,3.294608502590785e-05,3.463956586641967e-05,2.0372787125094007e-05,3.802703520584779e-05,2.201671061688892e-05,1.8109900149682083e-05,4.539383934662501e-05,3.133278514710645e-06,1.5079421789561984e-05,9.485229871219608e-06,2.6106160508191235e-05,4.8676129336879944e-05,3.988304231627049e-05,1.8267879594281837e-05,1.47153128726127e-05,0.0,1.3757294297792798e-05
4,C:/Users/Savio/Documents/IGRINS-Spectra/IGRINS_Merged/mHOPS368_20180115_K_0059_spec_A0v.fits,HOPS368,,0.00012329611368243023,5.021486150089455e-05,4.67453061645615e-05,0.00011261837551214731,6.234460079486953e-05,7.43987728352009e-05,5.293437661353796e-05,5.823175706411519e-05,6.131881650841349e-05,4.7015111619411755e-05,3.3241656534206885e-05,2.501031322749623e-05,7.261996551886759e-05,0.0001024075067190653,0.00013883263903028206,6.680553543508049e-05,7.852855005630666e-05,0.0,2.7337453875929617e-05
5,C:/Users/Savio/Documents/IGRINS-Spectra/IGRINS_Merged/mHOPS369_20180117_K_0053_spec_A0v.fits,HOPS369,,0.00013870141105650746,3.7892933377819325e-05,5.418921388121644e-05,0.00010657470150409761,6.339107560610597e-05,7.080111651891495e-05,5.2194521149664224e-05,6.161790915828963e-05,1.2968473145830919e-05,5.709522308245462e-05,4.753223161798276e-05,2.272048973620304e-05,6.66201327414364e-05,0.0001016039655303768,0.00011640130345452103,6.362471123727547e-05,5.472432199353958e-05,0.0,1.97223222442445e-05
6,C:/Users/Savio/Documents/IGRINS-Spectra/IGRINS_Merged/mHOPS370South_20190123_K_0075_spec_A0v.fits,HOPS370S,,0.00015882400865644306,3.899542682028413e-05,2.4459066018949724e-05,0.00012938686409198823,2.61249231305078e-05,5.277561459690956e-05,5.034125535763474e-05,5.625244353497439e-05,2.0155798666442157e-05,1.1723227875427311e-05,3.8312362227257956e-05,1.4994096248700598e-05,6.556133300973031e-05,9.915332511061549e-05,0.000124600564744232,3.704126608278644e-05,2.9672458789586423e-05,0.0,1.7684260157975412e-05
7,C:/Users/Savio/Documents/IGRINS-Spectra/IGRINS_Merged/mHOPS370_20190123_K_0071_spec_A0v.fits,HOPS370,,0.00013650365795545458,3.4559575783605594e-05,4.844379969956852e-05,0.00010166496630622489,6.419777223400867e-05,7.432218465027777e-05,5.403566521213601e-05,5.721908241771493e-05,7.5264847526140206e-06,5.599646480328559e-05,4.434759561260274e-05,2.5516540960583397e-05,6.586002779575572e-05,0.0001014235948464716,0.00011644022139906728,5.473984931570214e-05,5.9963646049154124e-05,0.0,1.9862771460270713e-05
8,C:/Users/Savio/Documents/IGRINS-Spectra/IGRINS_Merged/mHOPS386_20171228_K_0083_spec_A0v.fits,HOPS386,,3.2146533199621717e-05,0.00017586865817841512,3.957929976814311e-05,0.00011230651129946276,5.387399467036159e-05,8.725896233545809e-05,5.791745234267211e-05,6.039635333674205e-05,6.077456407561669e-05,5.866433389327149e-05,2.574997701768562e-05,1.989488455420617e-05,7.440670773042525e-05,7.823472400559477e-05,0.00015435733826277647,9.057808691920844e-05,7.117222069080964e-05,0.0,2.8000143434136546e-05
9,C:/Users/Savio/Documents/IGRINS-Spectra/IGRINS_Merged/mHOPS388_20181120_K_0091.fits,HOPS388,,0.00011558676551250758,4.189018942694856e-05,5.1776962040357e-05,9.306054082303466e-05,7.106340101466945e-05,8.6627072613055e-05,3.3878912670597805e-05,4.660016425229183e-05,4.442433356448044e-05,1.964058923289589e-05,3.406348462776642e-05,1.5564310941289693e-05,6.319580266100836e-05,0.00010765341805195631,0.00012578069443388817,6.658967587418932e-05,7.572164043093643e-05,0.0,6.111113808409616e-06
