Target, Date, Filenumber
2MASS J03304399+3032469, 20181123, 0076
2MASS_J03435964+30201539, 20181124, 0051
2MASS_J03441816+3204570, 20181124, 0059
HOPS 77, 20161105, 0047
HOPS 102, 20170204, 0051
HOPS 107, 20170129, 0038
HOPS 132, 20161030, 0091
HOPS 170, 20161105, 0039
HOPS 223, 20171228, 0063
HOPS 228, 20170203, 0049
HOPS 252, 20181120, 0120
HOPS 274, 20181120, 0116
HOPS 311, 20161030, 0087
HOPS 357, 20180115, 0051
HOPS 368, 20180115, 0059
HOPS 388, 20171231, 0071
L1448IRS1NS, 20171230, 0057
L1455IRS2, 20181123, 0064
Per-emb-44, 20171230, 0049
Per-emb-50, 20171228, 0039
Per-emb-55, 20180115, 0039
Reipurth 50, 20181120, 0104
