# Generated by G. Mace on Sat Nov 24 17:38:29 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86634         -NaN         -NaN
      0.00000      1.86635  1.05973e+06      3.42616
      0.00000      1.86637     -21121.0   -0.0467117
      0.00000      1.86638 -3.96005e+06     -3.16721
      0.00000      1.86639  1.47898e+07     -2.04987
      0.00000      1.86641     -903263.     -1.32753
      0.00000      1.86642 -2.78242e+06     -1.16274
      0.00000      1.86644  1.98903e+06      2.03830
      0.00000      1.86645      235667.     0.359443
      0.00000      1.86646  1.00058e+06     -1.06013
      0.00000      1.86648     -482687.      1.11596
      0.00000      1.86649 -1.27569e+06      2.00268
      0.00000      1.86651      154854.    -0.497095
      0.00000      1.86652      491712.    -0.365049
      0.00000      1.86653  9.28439e+06      1.00789
      0.00000      1.86655      24496.0   -0.0215176
      0.00000      1.86656  1.38247e+07     -5.26191
      0.00000      1.86657 -3.88977e+06     -3.16925
      0.00000      1.86659  1.24470e+06     -1.26249
      0.00000      1.86660  1.71145e+06     0.190522
      0.00000      1.86662     -36156.7    0.0571833
      0.00000      1.86663     -237361.     0.699637
      0.00000      1.86664 -1.55553e+06      1.20861
      0.00000      1.86666  6.68403e+06     -1.56811
      0.00000      1.86667     -430339.    -0.848750
      0.00000      1.86669     -649012.    -0.755317
      0.00000      1.86670 -3.53081e+06     0.420568
      0.00000      1.86671     -361915.    -0.919332
      0.00000      1.86673     -812740.     -1.96705
      0.00000      1.86674 -1.49740e+06     -1.23134
      0.00000      1.86676     -488465.    -0.687337
      0.00000      1.86677      636034.      1.05557
      0.00000      1.86678 -2.64717e+06      1.73351
      0.00000      1.86680 -1.02976e+06      2.47245
      0.00000      1.86681     -287947.     0.507332
      0.00000      1.86683      258610.    -0.365870
      0.00000      1.86684      596984.    -0.821115
      0.00000      1.86685  8.08042e+06      1.38377
      0.00000      1.86687  4.43957e+07      1.20912
      0.00000      1.86688 -2.11314e+06     -1.20413
      0.00000      1.86690      131682.    -0.230511
      0.00000      1.86691     -873862.    -0.975290
      0.00000      1.86692     -832348.     -2.24713
      0.00000      1.86694     -143510.    -0.428134
      0.00000      1.86695 -1.25895e+06     0.579524
