# Generated by G. Mace on Thu Nov 29 14:09:13 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86619         -NaN         -NaN
      0.00000      1.86621     -342954.     -1.76270
      0.00000      1.86622     -218870.    -0.534619
      0.00000      1.86624      464324.    -0.403831
      0.00000      1.86625     -247520.     0.517664
      0.00000      1.86627  1.21071e+06     0.721900
      0.00000      1.86628  1.98990e+06     -1.70666
      0.00000      1.86630 -1.45984e+06      2.75016
      0.00000      1.86631     -662628.     -2.60185
      0.00000      1.86633     -669329.    -0.854090
      0.00000      1.86634      375989.     0.521939
      0.00000      1.86636 -1.28592e+06      2.96891
      0.00000      1.86637  1.41198e+06      2.54450
      0.00000      1.86639     -981238.    -0.427750
      0.00000      1.86640     -107945.    -0.165250
      0.00000      1.86642     -163878.    -0.386862
      0.00000      1.86643 -1.24336e+06    -0.940814
      0.00000      1.86644      48476.0    0.0982849
      0.00000      1.86646      67342.5     0.353460
      0.00000      1.86647 -3.03252e+06     -1.79855
      0.00000      1.86649 -1.61564e+06     0.798999
      0.00000      1.86650 -4.49935e+06     -1.44697
      0.00000      1.86652      762810.      2.17786
      0.00000      1.86653      463473.     0.198480
      0.00000      1.86655 -2.37264e+07     -7.35790
      0.00000      1.86656      370889.    -0.306950
      0.00000      1.86658 -1.61235e+06    -0.993892
      0.00000      1.86659      78670.9    -0.118059
      0.00000      1.86661  1.83653e+06     -2.67873
      0.00000      1.86662 -3.59987e+07     0.554521
      0.00000      1.86664  4.79038e+06      1.53041
      0.00000      1.86665 -3.42034e+06     -1.67227
      0.00000      1.86666  4.10259e+06      2.13738
      0.00000      1.86668     -701036.    -0.746000
      0.00000      1.86669 -2.55215e+06     -1.80461
      0.00000      1.86671  1.11906e+06     -1.06850
      0.00000      1.86672     -844900.     0.879833
      0.00000      1.86674  1.08005e+07     -2.60398
      0.00000      1.86675 -1.79131e+06      1.08112
      0.00000      1.86677 -3.06945e+06     0.701620
      0.00000      1.86678     -771173.     -1.74323
      0.00000      1.86680 -2.60838e+06     -1.34928
      0.00000      1.86681 -1.36646e+06      1.15310
      0.00000      1.86683     -79795.0    0.0976441
      0.00000      1.86684      117141.    -0.160760
      0.00000      1.86686      331901.     0.116722
      0.00000      1.86687  1.64336e+07     -2.93168
      0.00000      1.86688 -1.70113e+06      1.17603
      0.00000      1.86690     -885467.    -0.753651
      0.00000      1.86691      41156.0     0.153635
      0.00000      1.86693      559550.    -0.132744
      0.00000      1.86694      979524.     0.628076
      0.00000      1.86696  1.66287e+06     -3.26907
      0.00000      1.86697 -4.48720e+06      1.06373
      0.00000      1.86699     -57524.9   -0.0605671
      0.00000      1.86700     -823586.    -0.523697
      0.00000      1.86702 -2.52273e+06     -2.00559
      0.00000      1.86703  2.72228e+06      1.86650
      0.00000      1.86704      226252.     0.145821
      0.00000      1.86706      693803.      1.79759
      0.00000      1.86707      746849.     0.948542
      0.00000      1.86709  2.76976e+06      1.34028
      0.00000      1.86710  1.77393e+06     -1.56280
      0.00000      1.86712  1.06948e+06     0.925382
      0.00000      1.86713      937459.     -1.05167
      0.00000      1.86715 -7.70905e+06     -3.28376
      0.00000      1.86716 -1.27866e+06     -3.39034
      0.00000      1.86718  5.52901e+06     -2.38980
      0.00000      1.86719 -4.73121e+06     -3.29130
      0.00000      1.86720     -767738.     -1.81187
      0.00000      1.86722  3.06600e+06    -0.913182
      0.00000      1.86723     -592586.    -0.829763
      0.00000      1.86725     -136321.    -0.294004
      0.00000      1.86726     -40015.9   -0.0687416
      0.00000      1.86728  1.58003e+06     -2.67075
      0.00000      1.86729      272348.    -0.941542
      0.00000      1.86731 -3.13273e+06     0.774878
      0.00000      1.86732      290310.     -1.07771
      0.00000      1.86734 -1.67277e+06    -0.192121
      0.00000      1.86735  1.21426e+06      1.79882
      0.00000      1.86736  3.19237e+07      1.87947
      0.00000      1.86738     -934677.     0.825934
      0.00000      1.86739      463574.    -0.743580
      0.00000      1.86741 -1.21074e+06     0.290684
      0.00000      1.86742 -1.88318e+06     -2.19855
      0.00000      1.86744  1.19874e+06      1.72013
      0.00000      1.86745      459983.    -0.534643
      0.00000      1.86747  1.14329e+06     0.583707
      0.00000      1.86748 -2.59655e+06      1.13942
      0.00000      1.86749      289259.     0.398040
      0.00000      1.86751      901826.     -2.07512
      0.00000      1.86752      811185.     -1.21471
      0.00000      1.86754      633439.     -1.04261
      0.00000      1.86755      129691.    0.0424429
      0.00000      1.86757 -1.02854e+06      1.42830
      0.00000      1.86758     -920039.      1.84302
      0.00000      1.86760     -76918.3    0.0977974
      0.00000      1.86761  9.11846e+06     -4.80117
      0.00000      1.86762  3.08621e+06     -7.69257
      0.00000      1.86764      920006.     -1.98790
      0.00000      1.86765      425839.    -0.607643
      0.00000      1.86767      21622.9    0.0812467
      0.00000      1.86768 -1.38686e+06     -2.46204
      0.00000      1.86770  3.34822e+06      1.13046
      0.00000      1.86771 -1.12401e+06     -1.87100
      0.00000      1.86773 -1.28788e+06     -2.36196
      0.00000      1.86774  8.48602e+06     -2.76579
      0.00000      1.86776      585434.     0.300693
      0.00000      1.86777  3.51133e+07     0.846947
      0.00000      1.86778  1.11766e+06     -2.19897
      0.00000      1.86780      581051.     0.298580
      0.00000      1.86781 -2.36936e+06      2.76804
      0.00000      1.86783      212989.    -0.304617
      0.00000      1.86784  1.02985e+06     0.656601
      0.00000      1.86786  2.03864e+06     -1.21186
      0.00000      1.86787      44918.3     0.137858
      0.00000      1.86788 -4.74152e+06     -1.14005
      0.00000      1.86790 -1.44557e+06      1.77850
      0.00000      1.86791      404887.     0.418104
      0.00000      1.86793     -685526.     -1.76228
      0.00000      1.86794 -1.85146e+06     -4.05808
      0.00000      1.86796 -4.06632e+06     -6.10336
      0.00000      1.86797     -50200.5   -0.0925045
      0.00000      1.86799 -1.49211e+06     -1.23279
      0.00000      1.86800      258361.     0.527096
      0.00000      1.86801      48356.9     0.148988
      0.00000      1.86803  1.88218e+06     0.195927
      0.00000      1.86804  7.28365e+06     -1.68243
      0.00000      1.86806 -2.90983e+06     -2.55758
      0.00000      1.86807  1.44188e+09     -2.20649
      0.00000      1.86809  7.75583e+06      2.08125
      0.00000      1.86810      935984.    -0.321185
      0.00000      1.86811 -1.16006e+06    -0.742718
      0.00000      1.86813 -2.24057e+06      1.35246
      0.00000      1.86814  2.90248e+06     0.973923
      0.00000      1.86816      247011.     0.684133
      0.00000      1.86817 -1.49324e+07      1.55967
      0.00000      1.86819     -714308.     -1.03508
      0.00000      1.86820     -215449.    -0.312512
      0.00000      1.86822  5.13353e+06      2.26512
      0.00000      1.86823 -1.44920e+06     -1.46984
      0.00000      1.86824      218918.     0.861949
      0.00000      1.86826  2.40856e+06      2.48317
      0.00000      1.86827     -287021.    -0.923503
      0.00000      1.86829      635449.     0.896503
      0.00000      1.86830      72894.1    -0.177916
      0.00000      1.86832      301641.     -1.22176
      0.00000      1.86833      309844.     0.206120
      0.00000      1.86834  4.36231e+06     -3.13488
      0.00000      1.86836 -1.47327e+06     -2.84849
