# Generated by G. Mace on Wed Jan 23 11:41:52 2019
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86623         -NaN         -NaN
      0.00000      1.86625  4.52118e+06      1.00476
      0.00000      1.86626 -3.75881e+06      1.00855
      0.00000      1.86628  3.67586e+06    -0.381361
      0.00000      1.86629     -639417.    -0.338101
      0.00000      1.86631      158622.    0.0879618
      0.00000      1.86632      827060.     0.660366
      0.00000      1.86634  5.03554e+06    -0.578901
      0.00000      1.86635  1.48112e+06    -0.924525
      0.00000      1.86636 -2.78495e+08     -3.00533
      0.00000      1.86638  1.05104e+08     -2.60105
      0.00000      1.86639  2.38763e+06    -0.386168
      0.00000      1.86641  5.03097e+06     -2.93928
      0.00000      1.86642  6.16121e+06     -4.31674
      0.00000      1.86644 -4.98545e+06     -1.78041
      0.00000      1.86645  2.78133e+06     -2.31206
      0.00000      1.86647      569843.    -0.722014
      0.00000      1.86648 -1.11908e+07     0.882282
      0.00000      1.86649     -407935.     0.428429
      0.00000      1.86651 -5.74429e+06     0.523121
      0.00000      1.86652 -2.66569e+06    -0.367793
      0.00000      1.86654  6.24815e+06     -2.26677
      0.00000      1.86655  3.55337e+06     -2.51062
      0.00000      1.86657 -1.68838e+07     -2.36410
      0.00000      1.86658  2.13602e+06    -0.569008
      0.00000      1.86659     -369449.   -0.0609358
      0.00000      1.86661  2.40807e+06      2.94668
      0.00000      1.86662      559552.     0.737738
      0.00000      1.86664      808825.     0.431541
      0.00000      1.86665  3.58016e+06     -1.25409
      0.00000      1.86667  1.99946e+06     -1.41073
      0.00000      1.86668      931248.    -0.940989
      0.00000      1.86669      378796.    -0.384400
      0.00000      1.86671     -582820.    -0.915655
      0.00000      1.86672  6.49447e+06      2.13689
      0.00000      1.86674  6.03270e+06      1.56944
      0.00000      1.86675  1.76847e+06      1.29058
      0.00000      1.86677 -2.01936e+07     -1.25535
      0.00000      1.86678 -4.00429e+06     -1.85298
      0.00000      1.86680 -1.40826e+07      1.28939
      0.00000      1.86681 -1.87882e+07      1.71784
      0.00000      1.86682 -1.03408e+08      3.94960
      0.00000      1.86684  4.59350e+06      3.13570
      0.00000      1.86685  2.11028e+06      1.29756
      0.00000      1.86687     -132590.    -0.148797
      0.00000      1.86688     -663510.    -0.395978
      0.00000      1.86690  1.77262e+06      1.42986
