# Generated by G. Mace on Sat Nov 24 17:38:16 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86634         -NaN         -NaN
      0.00000      1.86635  7.71917e+06      3.10028
      0.00000      1.86637  2.32675e+06      1.51600
      0.00000      1.86638 -1.67163e+06     0.401188
      0.00000      1.86640 -1.35146e+06     0.623074
      0.00000      1.86641     -372764.     0.379217
      0.00000      1.86642 -3.41247e+06    -0.449303
      0.00000      1.86644      279208.     0.533800
      0.00000      1.86645      222993.     0.351462
      0.00000      1.86647  2.02393e+08    -0.314150
      0.00000      1.86648  2.80000e+07     -2.14076
      0.00000      1.86649     -6819.26  -0.00420677
      0.00000      1.86651      476360.     0.507628
      0.00000      1.86652  4.72353e+06      2.06252
      0.00000      1.86654 -2.49171e+06     -1.65567
      0.00000      1.86655  1.53840e+06     -1.56142
      0.00000      1.86656  2.95813e+06     -3.24482
      0.00000      1.86658  9.72862e+06     -3.86411
      0.00000      1.86659     -92406.4     0.395594
      0.00000      1.86661     -353180.      1.32431
      0.00000      1.86662     -312468.      1.19277
      0.00000      1.86663      468003.    -0.368334
      0.00000      1.86665 -4.20323e+06     -1.09235
      0.00000      1.86666     -838235.     -1.09379
      0.00000      1.86668      384355.     0.315727
      0.00000      1.86669  5.20481e+06      1.62892
      0.00000      1.86670  1.68884e+07     0.961676
      0.00000      1.86672 -5.28150e+06     -2.56361
      0.00000      1.86673  3.75049e+06      1.32947
      0.00000      1.86675     -580080.     0.689023
      0.00000      1.86676  2.25208e+06     0.835875
      0.00000      1.86677     -32624.1   -0.0384171
      0.00000      1.86679      576752.     0.381841
      0.00000      1.86680 -4.36222e+06     -2.29472
      0.00000      1.86682  5.14579e+06     -3.39383
      0.00000      1.86683  2.52951e+06     -1.01683
      0.00000      1.86684 -2.63377e+06      1.18601
      0.00000      1.86686  1.21772e+06     0.418690
      0.00000      1.86687  5.59751e+06     -2.03649
      0.00000      1.86689  3.04741e+06     0.323462
      0.00000      1.86690 -9.82161e+07     -2.61054
      0.00000      1.86691  1.12064e+06    -0.534542
      0.00000      1.86693  1.25660e+06     -1.97081
      0.00000      1.86694     -773112.     0.545228
      0.00000      1.86696 -9.52672e+06     -2.54556
      0.00000      1.86697 -1.68112e+06     -2.10201
      0.00000      1.86698 -1.43764e+06     -1.80531
      0.00000      1.86700 -2.80252e+06    -0.529019
      0.00000      1.86701     -613185.     -1.27386
      0.00000      1.86702     -240822.     0.216681
