# Generated by G. Mace on Wed Nov 21 21:17:52 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86629         -NaN         -NaN
      0.00000      1.86630      83101.6    -0.236977
      0.00000      1.86631  1.06873e+06     0.843449
      0.00000      1.86633      791753.     0.327721
      0.00000      1.86634      725641.      1.57234
      0.00000      1.86636      885073.      2.74213
      0.00000      1.86637 -1.41664e+06      1.89594
      0.00000      1.86638 -1.55848e+07      3.65631
      0.00000      1.86640      738206.      2.28230
      0.00000      1.86641 -1.96679e+06     -1.71679
      0.00000      1.86643  1.95784e+06     -1.26131
      0.00000      1.86644      518326.      2.49801
      0.00000      1.86646      314259.     0.936228
      0.00000      1.86647  1.05038e+06      1.98617
      0.00000      1.86648     -137080.   -0.0575037
      0.00000      1.86650 -1.65025e+06    -0.838697
      0.00000      1.86651  1.94780e+06     0.314613
      0.00000      1.86653 -6.92807e+06     0.629586
      0.00000      1.86654      668682.      2.58802
      0.00000      1.86655     -130971.   -0.0545746
      0.00000      1.86657  3.31173e+07    -0.618086
      0.00000      1.86658 -1.43716e+06    -0.763325
      0.00000      1.86660  1.19916e+07      1.12995
      0.00000      1.86661 -6.33393e+06      1.39194
      0.00000      1.86662  1.23731e+07      1.63565
      0.00000      1.86664  4.06724e+06      1.53368
      0.00000      1.86665     -984192.      2.08103
      0.00000      1.86667  3.32517e+07      2.69974
      0.00000      1.86668 -3.01440e+06      2.26433
      0.00000      1.86670 -3.14891e+08      1.40429
      0.00000      1.86671      529853.      1.99349
      0.00000      1.86672      370746.      1.26979
      0.00000      1.86674  4.82148e+06    -0.808591
      0.00000      1.86675 -1.24290e+06     -1.01361
      0.00000      1.86677     -277176.    -0.403761
      0.00000      1.86678     -983774.     -1.30818
      0.00000      1.86679  2.71348e+06    -0.679059
      0.00000      1.86681 -6.93792e+06      1.45500
      0.00000      1.86682 -6.16342e+06      1.78279
      0.00000      1.86684      589791.    -0.592201
      0.00000      1.86685 -3.01305e+06     -2.02221
      0.00000      1.86686  1.47289e+06    -0.244498
      0.00000      1.86688 -1.32482e+06     -1.40872
      0.00000      1.86689 -1.16823e+06     -2.05648
      0.00000      1.86691      920630.     0.995836
      0.00000      1.86692     -150843.     0.395001
      0.00000      1.86694 -1.47531e+06      2.55025
      0.00000      1.86695 -3.04567e+06     0.865163
      0.00000      1.86696  3.13557e+07      1.24832
      0.00000      1.86698 -2.84133e+06      1.72486
      0.00000      1.86699 -1.98156e+07      3.07533
      0.00000      1.86701  4.81863e+06      2.65435
      0.00000      1.86702  1.01939e+07      2.03338
      0.00000      1.86703  2.09037e+07      1.10623
      0.00000      1.86705  1.61479e+06      1.18090
      0.00000      1.86706      300130.     0.460633
      0.00000      1.86708 -1.37057e+06     0.813514
      0.00000      1.86709  3.47691e+06      1.58933
      0.00000      1.86710 -2.74001e+06      2.13839
      0.00000      1.86712      619507.      1.05847
      0.00000      1.86713     -347244.     0.257044
      0.00000      1.86715      48725.4    0.0701124
      0.00000      1.86716      342829.     0.556476
      0.00000      1.86717 -2.00228e+06     0.610890
      0.00000      1.86719      795620.     0.371720
      0.00000      1.86720      400874.    -0.134569
      0.00000      1.86722 -1.00937e+06      1.22232
      0.00000      1.86723 -4.33071e+06      3.39711
      0.00000      1.86724  2.00824e+06      1.68788
      0.00000      1.86726 -2.33275e+06     -1.46770
      0.00000      1.86727 -1.07914e+06     -1.63598
      0.00000      1.86729      417790.     0.530915
      0.00000      1.86730      512056.     0.635879
      0.00000      1.86732  1.32173e+06      2.00537
      0.00000      1.86733  1.77072e+07      2.31514
      0.00000      1.86734  1.79451e+06     0.974164
      0.00000      1.86736     -645766.    -0.370441
      0.00000      1.86737     -544766.    -0.816795
      0.00000      1.86739      109952.     0.296355
      0.00000      1.86740      862773.      1.52576
      0.00000      1.86741 -5.97541e+06     -1.05395
      0.00000      1.86743  2.94598e+06     0.367849
      0.00000      1.86744  1.15542e+07      3.42500
      0.00000      1.86746  2.30820e+06      2.19841
      0.00000      1.86747 -1.02784e+06    -0.570195
      0.00000      1.86748 -4.04086e+06      1.54608
      0.00000      1.86750     -204282.    -0.251199
      0.00000      1.86751      214199.     0.506825
      0.00000      1.86753 -1.20271e+06      1.00691
      0.00000      1.86754 -1.05801e+06     0.519563
      0.00000      1.86755     -97971.5   -0.0671757
      0.00000      1.86757      876056.     0.241032
      0.00000      1.86758  2.96939e+06     0.980076
      0.00000      1.86760     -985807.     -1.89783
      0.00000      1.86761     -549189.    -0.990876
      0.00000      1.86762  2.92020e+06      1.91608
      0.00000      1.86764  2.02288e+06      3.52391
      0.00000      1.86765      485362.      1.25836
      0.00000      1.86767 -1.98132e+06     -2.06550
      0.00000      1.86768     -217539.    -0.214749
      0.00000      1.86769      273842.     0.424059
      0.00000      1.86771     -513055.    -0.850899
      0.00000      1.86772      734570.      2.16290
      0.00000      1.86774      536793.      1.51437
      0.00000      1.86775     -283220.    -0.418344
      0.00000      1.86776      64748.5     0.106789
      0.00000      1.86778     -252561.    -0.522823
      0.00000      1.86779      607119.     0.573037
      0.00000      1.86781  2.30098e+06     0.743696
      0.00000      1.86782      276468.     0.171769
      0.00000      1.86784  6.72336e+06      2.02514
      0.00000      1.86785      756163.     0.582534
      0.00000      1.86786 -1.32305e+07    -0.730760
      0.00000      1.86788     -144579.     0.174991
      0.00000      1.86789 -1.44416e+06    0.0805106
      0.00000      1.86791  1.33118e+06    -0.100950
      0.00000      1.86792      745762.     -1.18216
      0.00000      1.86793     -488847.     0.567021
      0.00000      1.86795 -1.13666e+07     0.994049
      0.00000      1.86796 -1.05780e+06     0.454676
      0.00000      1.86798      222212.    -0.333065
      0.00000      1.86799 -6.32391e+06     -2.86340
      0.00000      1.86800 -8.04615e+06     -3.68423
