# Generated by G. Mace on Wed Jan 23 11:41:47 2019
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86623         -NaN         -NaN
      0.00000      1.86625     -261247.   -0.0905445
      0.00000      1.86626 -1.24748e+06     0.529341
      0.00000      1.86628 -3.22779e+06     0.528839
      0.00000      1.86629     -128657.    -0.104719
      0.00000      1.86631     -587384.    -0.504674
      0.00000      1.86632 -1.40491e+06     -1.70401
      0.00000      1.86634 -2.46370e+06     0.427465
      0.00000      1.86635     -388269.     0.365520
      0.00000      1.86636  1.09135e+08      1.81218
      0.00000      1.86638  1.97358e+07    -0.741711
      0.00000      1.86639  4.15740e+06     -1.03472
      0.00000      1.86641      576779.    -0.526430
      0.00000      1.86642     -139158.     0.151117
      0.00000      1.86644      188219.     0.103903
      0.00000      1.86645     -232929.     0.290624
      0.00000      1.86647     -284874.     0.557166
      0.00000      1.86648  1.35653e+07     -1.63896
      0.00000      1.86649  1.42164e+06     -2.26086
      0.00000      1.86651  3.45358e+06    -0.489071
      0.00000      1.86652  2.13552e+06     0.453859
      0.00000      1.86654  3.50150e+06     -1.92074
      0.00000      1.86655      622693.    -0.663639
      0.00000      1.86657  1.80895e+06     0.382217
      0.00000      1.86658 -2.53935e+06      1.01781
      0.00000      1.86659 -2.91513e+06    -0.729807
      0.00000      1.86661 -1.21041e+06     -2.26037
      0.00000      1.86662     -459922.    -0.933614
      0.00000      1.86664  3.88586e+06      3.22465
      0.00000      1.86665 -5.48435e+06      2.91195
      0.00000      1.86667     -106197.     0.113152
      0.00000      1.86668     -115153.     0.180836
      0.00000      1.86669      330421.    -0.514197
      0.00000      1.86671      208243.     0.503192
      0.00000      1.86672      312840.     0.158818
      0.00000      1.86674  1.26714e+06     0.525345
      0.00000      1.86675  1.01718e+06      1.17690
      0.00000      1.86677      244579.    0.0242669
      0.00000      1.86678      226273.     0.164928
      0.00000      1.86680  2.72444e+06    -0.387700
      0.00000      1.86681 -1.37196e+07      1.92677
      0.00000      1.86682 -1.49699e+07     0.874549
      0.00000      1.86684  1.89804e+06      2.01128
      0.00000      1.86685  5.84455e+06      5.43646
      0.00000      1.86687  1.86381e+06      3.21874
      0.00000      1.86688  2.42060e+06      2.19749
      0.00000      1.86690  1.94012e+06      2.41933
      0.00000      1.86691     -574096.     0.505145
      0.00000      1.86692     -660526.     0.827332
      0.00000      1.86694  7.86699e+06     0.964668
      0.00000      1.86695     -51720.9    0.0497528
      0.00000      1.86697  3.76614e+06      2.48576
      0.00000      1.86698  5.91227e+06      1.76752
      0.00000      1.86700  4.59808e+06      1.82928
      0.00000      1.86701 -1.57089e+07      3.44840
      0.00000      1.86703  4.71930e+06      1.66339
      0.00000      1.86704  3.50128e+06      3.06909
      0.00000      1.86705     -591441.     0.260797
      0.00000      1.86707 -1.33046e+06     -1.69433
      0.00000      1.86708 -2.51397e+06     -3.49313
      0.00000      1.86710      282746.     0.304273
      0.00000      1.86711     -126419.     0.139284
      0.00000      1.86713 -1.59578e+06      1.20265
      0.00000      1.86714  2.25408e+06      1.87177
      0.00000      1.86715  2.44047e+06      2.02636
      0.00000      1.86717  1.61749e+06      1.58129
      0.00000      1.86718  1.11605e+06     0.329317
      0.00000      1.86720  2.11786e+07      3.19054
      0.00000      1.86721 -1.12296e+07      1.75390
      0.00000      1.86723  1.75946e+06      2.48498
      0.00000      1.86724  2.12772e+06      1.15055
      0.00000      1.86725     -89477.9     0.150655
      0.00000      1.86727      216733.    -0.201660
      0.00000      1.86728     -849095.    -0.814934
      0.00000      1.86730     -49796.7    -0.109427
      0.00000      1.86731      110739.     0.129544
      0.00000      1.86733     -330611.    -0.693695
      0.00000      1.86734      665994.     0.644471
      0.00000      1.86735     -876540.     -1.21161
      0.00000      1.86737     -641804.    -0.477594
      0.00000      1.86738     -900358.    -0.823576
      0.00000      1.86740      40434.9     0.109278
      0.00000      1.86741     -883702.    -0.981081
      0.00000      1.86743 -1.16727e+06     -2.85692
      0.00000      1.86744 -4.76472e+06     -1.74481
      0.00000      1.86745 -2.55476e+06      2.46086
      0.00000      1.86747 -3.46676e+06      1.86474
      0.00000      1.86748 -1.47075e+07      3.47500
