# Generated by G. Mace on Thu Jan 24 13:30:49 2019
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86626         -NaN         -NaN
      0.00000      1.86627 -2.07091e+06      2.95441
      0.00000      1.86629      230430.    -0.186547
      0.00000      1.86630      489260.    -0.613699
      0.00000      1.86632 -1.56039e+06     0.949944
      0.00000      1.86633  2.17352e+06    -0.950316
      0.00000      1.86635  6.72395e+06     -2.32372
      0.00000      1.86636 -1.05968e+06    -0.702034
      0.00000      1.86638  4.17622e+07    -0.690427
      0.00000      1.86639     -386651.     0.435087
      0.00000      1.86640 -2.46878e+06      2.10811
      0.00000      1.86642  1.08582e+06    -0.460740
      0.00000      1.86643  1.47920e+06     -2.80047
      0.00000      1.86645      184768.    -0.139676
      0.00000      1.86646  1.67768e+06     -1.98781
      0.00000      1.86648     -474895.     0.993902
      0.00000      1.86649 -1.88795e+06     0.818569
      0.00000      1.86651 -2.38340e+06      1.15131
      0.00000      1.86652  2.31680e+06    -0.803884
      0.00000      1.86653 -1.29351e+06    -0.753477
      0.00000      1.86655     -81458.9    0.0585284
      0.00000      1.86656      159270.    -0.264148
      0.00000      1.86658  1.12918e+07      3.46602
      0.00000      1.86659     -679716.     0.423502
      0.00000      1.86661  5.50543e+06     0.480849
      0.00000      1.86662  3.23230e+06     -1.64535
      0.00000      1.86664 -5.32915e+07     -3.17558
      0.00000      1.86665     -674679.     0.224348
      0.00000      1.86666 -3.64748e+06      2.32877
      0.00000      1.86668      110831.    0.0758754
      0.00000      1.86669     -753454.     0.834458
      0.00000      1.86671  4.24416e+06     -2.24014
      0.00000      1.86672      857610.     -1.07823
      0.00000      1.86674 -1.40030e+06      1.34119
      0.00000      1.86675     -40279.5    0.0857219
      0.00000      1.86676  2.53750e+07     0.674449
      0.00000      1.86678 -1.80010e+06      3.32800
      0.00000      1.86679      396161.    -0.427989
      0.00000      1.86681      260209.    -0.440538
      0.00000      1.86682  1.72825e+06     -1.76904
      0.00000      1.86684      171932.    -0.258841
      0.00000      1.86685  9.08821e+06      2.78353
      0.00000      1.86686  1.00948e+07    -0.534890
      0.00000      1.86688 -1.30746e+07     -4.48741
      0.00000      1.86689      709233.    -0.547939
      0.00000      1.86691 -1.51845e+06    -0.114829
      0.00000      1.86692     -476410.    -0.448339
      0.00000      1.86694  2.89659e+06     0.483960
      0.00000      1.86695 -1.32932e+06     0.936316
      0.00000      1.86697     -758339.      1.34470
      0.00000      1.86698  2.71271e+06      1.73577
      0.00000      1.86699  9.76827e+06      3.47858
      0.00000      1.86701 -1.69113e+07     -1.25919
      0.00000      1.86702  4.65929e+06    -0.517136
      0.00000      1.86704      411639.    -0.343471
      0.00000      1.86705  2.26292e+07     -2.45084
      0.00000      1.86707  2.24946e+07      2.93341
      0.00000      1.86708 -3.54554e+06      5.65358
      0.00000      1.86709 -1.42842e+08      2.75442
      0.00000      1.86711  2.65325e+06     -3.08662
      0.00000      1.86712 -1.75060e+06     0.795362
      0.00000      1.86714  5.34456e+06      1.42147
      0.00000      1.86715 -1.69773e+06     0.671454
      0.00000      1.86717  5.19404e+06     -1.36234
      0.00000      1.86718     -753026.     0.976084
      0.00000      1.86719  1.46849e+06     -3.26900
      0.00000      1.86721  7.57858e+06     -2.58740
      0.00000      1.86722 -3.57608e+06      4.74648
      0.00000      1.86724  3.34084e+06      1.88218
      0.00000      1.86725     -602690.     0.959347
      0.00000      1.86727  1.36056e+06     0.411475
      0.00000      1.86728 -3.98048e+06      2.34645
      0.00000      1.86729     -756548.     0.880669
