# Generated by G. Mace on Wed Nov 21 22:48:58 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86631         -NaN         -NaN
      0.00000      1.86633     -187923.     0.176146
      0.00000      1.86634      332537.    -0.721434
      0.00000      1.86636 -1.89721e+07     -2.08917
      0.00000      1.86637 -1.18912e+07     -3.36273
      0.00000      1.86638     -301072.    -0.448725
      0.00000      1.86640      660664.     0.447437
      0.00000      1.86641 -1.94729e+06      1.67154
      0.00000      1.86643 -4.60883e+06    -0.970643
      0.00000      1.86644     -384662.    -0.402965
      0.00000      1.86646  1.18291e+06      1.59806
      0.00000      1.86647  1.44060e+06      1.58656
      0.00000      1.86648 -1.53674e+06    -0.790491
      0.00000      1.86650 -2.83741e+06     -2.26808
      0.00000      1.86651  1.17451e+06      1.85984
      0.00000      1.86653      933340.      1.20681
      0.00000      1.86654      439793.     0.473241
      0.00000      1.86655      749036.      1.05651
      0.00000      1.86657  1.04725e+06     0.846012
      0.00000      1.86658      51029.4     0.149252
      0.00000      1.86660      244326.     0.738943
      0.00000      1.86661  2.75845e+06      2.10089
      0.00000      1.86663  2.71012e+06      1.83417
      0.00000      1.86664  1.28859e+06      1.97549
      0.00000      1.86665     -298318.     -1.43484
      0.00000      1.86667      832837.     0.755447
      0.00000      1.86668 -1.35897e+06      1.44167
      0.00000      1.86670  1.83930e+06      2.22743
      0.00000      1.86671      760652.      1.37031
      0.00000      1.86672      360599.      1.52157
      0.00000      1.86674      382946.     0.611284
      0.00000      1.86675     -374374.    -0.660042
      0.00000      1.86677  4.07819e+06      1.69980
      0.00000      1.86678      750185.      1.15719
      0.00000      1.86680  8.10545e+06     0.440158
      0.00000      1.86681      559478.      1.11206
      0.00000      1.86682  3.62351e+06      2.16461
      0.00000      1.86684  3.39077e+06      2.55005
      0.00000      1.86685     -336927.     0.742792
      0.00000      1.86687  2.30018e+07      1.42745
      0.00000      1.86688      838486.      2.25362
      0.00000      1.86689      275875.      1.34854
      0.00000      1.86691  1.76391e+06      3.17520
      0.00000      1.86692  1.54061e+06      2.80757
      0.00000      1.86694      100782.     0.255634
      0.00000      1.86695      254249.     0.663618
      0.00000      1.86697     -383488.     -1.92096
      0.00000      1.86698  1.35670e+06      2.98354
      0.00000      1.86699  1.97096e+06      2.24475
      0.00000      1.86701  1.32590e+07      1.83687
