# Generated by G. Mace on Tue Nov 20 20:46:00 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86637         -NaN         -NaN
      0.00000      1.86638      55250.8     -6.82554
      0.00000      1.86639 -1.52659e+06     -2.79875
      0.00000      1.86641     -150044.    0.0825538
      0.00000      1.86642 -5.91592e+06      1.19725
      0.00000      1.86644  1.96890e+06      3.04100
      0.00000      1.86645     -231337.    -0.318293
      0.00000      1.86646      882375.     -1.75131
      0.00000      1.86648 -1.61696e+06     -1.56060
      0.00000      1.86649 -1.47544e+06     -1.72006
      0.00000      1.86650 -8.22629e+06      1.36166
      0.00000      1.86652     -245899.     0.297478
      0.00000      1.86653 -1.55079e+06      1.46649
      0.00000      1.86655     -635240.    -0.836211
      0.00000      1.86656     -391066.     0.937108
      0.00000      1.86657      292681.    -0.161205
      0.00000      1.86659 -4.33108e+06     -2.28663
      0.00000      1.86660     -106137.    -0.230179
      0.00000      1.86661      958080.      1.69676
      0.00000      1.86663 -1.18566e+07      1.50097
      0.00000      1.86664 -1.06281e+07     -1.63319
      0.00000      1.86666      471372.     -1.14028
      0.00000      1.86667  4.09853e+06    -0.939855
      0.00000      1.86668 -1.93929e+06    -0.572203
      0.00000      1.86670  1.64748e+06     -1.63502
      0.00000      1.86671      157392.    -0.369916
      0.00000      1.86672 -3.34083e+07    -0.589860
      0.00000      1.86674 -1.82841e+06     -1.09711
      0.00000      1.86675     -6841.51   -0.0114879
      0.00000      1.86677      718332.     0.652218
      0.00000      1.86678      906509.      2.00208
      0.00000      1.86679  1.37858e+06      1.31967
      0.00000      1.86681 -1.38529e+06    -0.664590
      0.00000      1.86682     -309150.     0.246031
      0.00000      1.86683 -3.73310e+06      1.38220
      0.00000      1.86685 -7.08238e+06      1.37183
      0.00000      1.86686      123026.     0.220671
      0.00000      1.86688 -2.06263e+07     0.791235
      0.00000      1.86689  1.51436e+06     -1.39091
      0.00000      1.86690      166696.    -0.638142
      0.00000      1.86692  1.52097e+06     -1.45326
      0.00000      1.86693 -1.09356e+07     -2.64237
      0.00000      1.86694     -620882.      1.50626
      0.00000      1.86696  1.11007e+06      1.14613
      0.00000      1.86697  1.06230e+06      1.56065
      0.00000      1.86699     -964953.      1.13852
      0.00000      1.86700 -1.15573e+06      1.10911
      0.00000      1.86701     -936244.      1.98101
      0.00000      1.86703  1.26327e+06     -1.45517
      0.00000      1.86704  2.35497e+06     -4.34094
      0.00000      1.86705 -1.01972e+07     -3.53591
      0.00000      1.86707 -1.53616e+06     -2.07096
      0.00000      1.86708  1.95549e+06      1.61783
      0.00000      1.86710 -2.20931e+06      2.26204
      0.00000      1.86711      722693.     -2.10581
      0.00000      1.86712     -48423.9    0.0935505
      0.00000      1.86714 -2.36218e+07      2.08706
      0.00000      1.86715 -1.01356e+06      2.39220
      0.00000      1.86716  1.26038e+06     -1.58129
      0.00000      1.86718  6.03491e+06     -1.05590
      0.00000      1.86719     -926490.      1.28220
      0.00000      1.86721 -3.37730e+06     0.752901
      0.00000      1.86722  2.00348e+06    -0.510016
      0.00000      1.86723     -169981.     0.611233
      0.00000      1.86725     -484368.    -0.775901
      0.00000      1.86726 -1.64695e+06     -1.51429
      0.00000      1.86728  1.33286e+06     -1.96925
      0.00000      1.86729  1.96721e+06     -1.77446
      0.00000      1.86730  7.61759e+06     -1.39646
      0.00000      1.86732     -954636.    -0.727132
      0.00000      1.86733      619740.    0.0795857
      0.00000      1.86734  2.65489e+06     -2.13999
      0.00000      1.86736     -102565.   -0.0330979
      0.00000      1.86737      741339.      1.66523
      0.00000      1.86739      876010.     -1.24975
      0.00000      1.86740      121195.    -0.376533
      0.00000      1.86741 -1.26537e+06     0.573826
      0.00000      1.86743 -4.64896e+06      1.80693
      0.00000      1.86744 -1.13040e+07     -1.27168
      0.00000      1.86745  9.02030e+06     -1.35920
      0.00000      1.86747      153883.    -0.118641
      0.00000      1.86748      633017.     -1.18059
      0.00000      1.86750 -2.66283e+06     -2.11834
      0.00000      1.86751  9.04451e+06     -2.01955
      0.00000      1.86752  1.56358e+06     -1.06518
