# Generated by G. Mace on Wed Nov 21 21:17:39 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86629         -NaN         -NaN
      0.00000      1.86630  1.76271e+07      1.36799
      0.00000      1.86631      15384.2    0.0455068
      0.00000      1.86633  1.38751e+06      1.73476
      0.00000      1.86634     -219222.    -0.668764
      0.00000      1.86636     -270239.    -0.536495
      0.00000      1.86637 -3.00993e+06    -0.875149
      0.00000      1.86638 -1.19838e+06    -0.878201
      0.00000      1.86640      11319.9    0.0172128
      0.00000      1.86641     -672620.     -1.65042
      0.00000      1.86643  1.33019e+06      2.09346
      0.00000      1.86644  6.55082e+06      4.17952
      0.00000      1.86646  1.98783e+06     0.841208
      0.00000      1.86647     -860275.     -1.85703
      0.00000      1.86648     -25700.4   -0.0352256
      0.00000      1.86650  1.38723e+06    -0.857795
      0.00000      1.86651      197783.   -0.0974942
      0.00000      1.86653 -5.85242e+07      3.03971
      0.00000      1.86654 -3.14203e+06      2.38710
      0.00000      1.86655 -4.18164e+06      2.75259
      0.00000      1.86657  3.84766e+06      3.60384
      0.00000      1.86658 -1.41293e+06      1.38607
      0.00000      1.86660  4.09288e+06      3.27684
      0.00000      1.86661      407452.     0.190938
      0.00000      1.86662      54997.3   -0.0578472
      0.00000      1.86664 -7.07073e+06      2.81091
      0.00000      1.86665  3.44973e+06     -1.84443
      0.00000      1.86667      820568.    -0.657928
      0.00000      1.86668     -467490.    -0.533733
      0.00000      1.86670 -4.25264e+07      4.56349
      0.00000      1.86671 -2.51731e+06      1.92745
      0.00000      1.86672  4.93156e+06      1.00163
      0.00000      1.86674 -1.28633e+07     -1.21927
      0.00000      1.86675  4.90739e+06     0.784401
      0.00000      1.86677  2.20200e+06     0.677587
      0.00000      1.86678  1.38464e+06     -1.58875
      0.00000      1.86679      106013.     0.119433
      0.00000      1.86681      352947.    -0.236951
      0.00000      1.86682      502545.    -0.569679
      0.00000      1.86684 -3.10468e+06      1.24802
      0.00000      1.86685 -1.88901e+06      2.90838
      0.00000      1.86686  1.18406e+07      8.35605
      0.00000      1.86688  1.46033e+06      1.97893
      0.00000      1.86689     -924839.    -0.874342
      0.00000      1.86691      880397.     -2.55295
      0.00000      1.86692  1.40848e+06     -1.78231
      0.00000      1.86694  2.02225e+06      2.39229
      0.00000      1.86695     -40249.8   -0.0493178
      0.00000      1.86696      633220.    -0.411483
      0.00000      1.86698      182827.    -0.141669
      0.00000      1.86699 -1.59695e+06     0.703870
      0.00000      1.86701 -1.06327e+06    -0.692736
      0.00000      1.86702 -7.31111e+06     0.868200
      0.00000      1.86703  1.19999e+07      2.52625
      0.00000      1.86705 -1.86117e+06      3.29640
      0.00000      1.86706      532026.     -1.07839
      0.00000      1.86708      590972.      1.19244
      0.00000      1.86709 -9.76572e+06     0.712375
      0.00000      1.86710 -8.64672e+07     -1.48831
      0.00000      1.86712 -1.35709e+06     0.937659
      0.00000      1.86713 -2.63797e+06      1.80532
      0.00000      1.86715 -1.51278e+06      1.25574
      0.00000      1.86716      212693.    -0.273826
      0.00000      1.86717      12115.7   -0.0178060
      0.00000      1.86719      389863.     0.135213
      0.00000      1.86720 -2.88573e+06      2.67212
      0.00000      1.86722     -195601.    -0.296692
      0.00000      1.86723 -1.98765e+06      3.72554
      0.00000      1.86724     -564161.      1.67407
      0.00000      1.86726 -1.55331e+06     -1.27658
      0.00000      1.86727  6.01797e+06      1.77957
      0.00000      1.86729  3.34696e+06      2.71958
      0.00000      1.86730  1.38835e+07      3.05259
      0.00000      1.86732  1.06692e+06     -1.40087
      0.00000      1.86733     -850732.      1.00846
      0.00000      1.86734 -4.08571e+06      4.55768
      0.00000      1.86736 -2.44132e+06      2.26491
      0.00000      1.86737 -5.10206e+06      1.94818
      0.00000      1.86739 -1.54643e+06     0.509013
      0.00000      1.86740     -812339.     -1.07696
