# Generated by G. Mace on Mon Jan 21 14:37:11 2019
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.42973         -NaN         -NaN
      0.00000      1.42974         -NaN         -NaN
      0.00000      1.42975         -NaN         -NaN
      0.00000      1.42976         -NaN         -NaN
      0.00000      1.42977         -NaN         -NaN
      0.00000      1.42978         -NaN         -NaN
      0.00000      1.42980         -NaN         -NaN
      0.00000      1.42981         -NaN         -NaN
      0.00000      1.42982         -NaN         -NaN
      0.00000      1.42983         -NaN         -NaN
      0.00000      1.42984         -NaN         -NaN
      0.00000      1.42985         -NaN         -NaN
      0.00000      1.42986         -NaN         -NaN
      0.00000      1.42987         -NaN         -NaN
      0.00000      1.42988         -NaN         -NaN
      0.00000      1.42989         -NaN         -NaN
      0.00000      1.42991         -NaN         -NaN
      0.00000      1.42992         -NaN         -NaN
      0.00000      1.42993         -NaN         -NaN
      0.00000      1.42994         -NaN         -NaN
      0.00000      1.42995         -NaN         -NaN
      0.00000      1.42996         -NaN         -NaN
      0.00000      1.42997         -NaN         -NaN
      0.00000      1.42998         -NaN         -NaN
      0.00000      1.42999         -NaN         -NaN
      0.00000      1.43000         -NaN         -NaN
      0.00000      1.43002         -NaN         -NaN
      0.00000      1.43003         -NaN         -NaN
      0.00000      1.43004         -NaN         -NaN
      0.00000      1.43005         -NaN         -NaN
      0.00000      1.43006         -NaN         -NaN
      0.00000      1.43007         -NaN         -NaN
      0.00000      1.43008         -NaN         -NaN
      0.00000      1.43009         -NaN         -NaN
      0.00000      1.43010         -NaN         -NaN
      0.00000      1.43012         -NaN         -NaN
      0.00000      1.43013         -NaN         -NaN
      0.00000      1.43014         -NaN         -NaN
      0.00000      1.43015         -NaN         -NaN
      0.00000      1.43016         -NaN         -NaN
      0.00000      1.43017         -NaN         -NaN
      0.00000      1.43018         -NaN         -NaN
      0.00000      1.43019         -NaN         -NaN
      0.00000      1.43020         -NaN         -NaN
      0.00000      1.43021         -NaN         -NaN
      0.00000      1.43023         -NaN         -NaN
      0.00000      1.43024         -NaN         -NaN
      0.00000      1.43025         -NaN         -NaN
      0.00000      1.43026         -NaN         -NaN
      0.00000      1.43027         -NaN         -NaN
      0.00000      1.43028         -NaN         -NaN
      0.00000      1.43029         -NaN         -NaN
      0.00000      1.43030         -NaN         -NaN
      0.00000      1.43031         -NaN         -NaN
      0.00000      1.43032         -NaN         -NaN
      0.00000      1.43033         -NaN         -NaN
      0.00000      1.43035         -NaN         -NaN
      0.00000      1.43036         -NaN         -NaN
      0.00000      1.43037         -NaN         -NaN
      0.00000      1.43038         -NaN         -NaN
      0.00000      1.43039         -NaN         -NaN
      0.00000      1.43040         -NaN         -NaN
      0.00000      1.43041         -NaN         -NaN
      0.00000      1.43042         -NaN         -NaN
      0.00000      1.43043         -NaN         -NaN
      0.00000      1.43044         -NaN         -NaN
      0.00000      1.43046         -NaN         -NaN
      0.00000      1.43047         -NaN         -NaN
      0.00000      1.43048         -NaN         -NaN
      0.00000      1.43049         -NaN         -NaN
      0.00000      1.43050         -NaN         -NaN
      0.00000      1.43051         -NaN         -NaN
      0.00000      1.43052         -NaN         -NaN
      0.00000      1.43053         -NaN         -NaN
      0.00000      1.43054         -NaN         -NaN
      0.00000      1.43055         -NaN         -NaN
      0.00000      1.43056         -NaN         -NaN
      0.00000      1.43058         -NaN         -NaN
      0.00000      1.43059         -NaN         -NaN
      0.00000      1.43060         -NaN         -NaN
      0.00000      1.43061         -NaN         -NaN
      0.00000      1.43062         -NaN         -NaN
      0.00000      1.43063         -NaN         -NaN
      0.00000      1.43064         -NaN         -NaN
      0.00000      1.43065         -NaN         -NaN
      0.00000      1.43066         -NaN         -NaN
      0.00000      1.43067         -NaN         -NaN
      0.00000      1.43069         -NaN         -NaN
      0.00000      1.43070         -NaN         -NaN
      0.00000      1.43071         -NaN         -NaN
      0.00000      1.43072         -NaN         -NaN
      0.00000      1.43073         -NaN         -NaN
      0.00000      1.43074         -NaN         -NaN
      0.00000      1.43075         -NaN         -NaN
      0.00000      1.43076         -NaN         -NaN
      0.00000      1.43077         -NaN         -NaN
      0.00000      1.43078         -NaN         -NaN
      0.00000      1.43079         -NaN         -NaN
      0.00000      1.43081         -NaN         -NaN
      0.00000      1.43082         -NaN         -NaN
      0.00000      1.43083         -NaN         -NaN
      0.00000      1.43084         -NaN         -NaN
      0.00000      1.43085         -NaN         -NaN
      0.00000      1.43086         -NaN         -NaN
      0.00000      1.43087         -NaN         -NaN
      0.00000      1.43088         -NaN         -NaN
      0.00000      1.43089         -NaN         -NaN
      0.00000      1.43090         -NaN         -NaN
      0.00000      1.43091         -NaN         -NaN
      0.00000      1.43093         -NaN         -NaN
      0.00000      1.43094         -NaN         -NaN
      0.00000      1.43095         -NaN         -NaN
      0.00000      1.43096         -NaN         -NaN
      0.00000      1.43097         -NaN         -NaN
      0.00000      1.43098         -NaN         -NaN
      0.00000      1.43099         -NaN         -NaN
      0.00000      1.43100         -NaN         -NaN
      0.00000      1.43101         -NaN         -NaN
      0.00000      1.43102         -NaN         -NaN
      0.00000      1.43103         -NaN         -NaN
      0.00000      1.43104         -NaN         -NaN
      0.00000      1.43106         -NaN         -NaN
      0.00000      1.43107         -NaN         -NaN
      0.00000      1.43108         -NaN         -NaN
      0.00000      1.43109         -NaN         -NaN
      0.00000      1.43110         -NaN         -NaN
      0.00000      1.43111         -NaN         -NaN
      0.00000      1.43112         -NaN         -NaN
      0.00000      1.43113         -NaN         -NaN
      0.00000      1.43114         -NaN         -NaN
      0.00000      1.43115         -NaN         -NaN
      0.00000      1.43116         -NaN         -NaN
      0.00000      1.43117         -NaN         -NaN
      0.00000      1.43119         -NaN         -NaN
      0.00000      1.43120         -NaN         -NaN
