# Generated by G. Mace on Mon Jan 21 14:37:11 2019
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86632         -NaN         -NaN
      0.00000      1.86633 -6.50851e+06     -53.2797
      0.00000      1.86635 -1.33364e+06    -0.988409
      0.00000      1.86636      8797.35   0.00709875
      0.00000      1.86638  1.03017e+07    -0.880753
      0.00000      1.86639  3.81482e+06     -1.29892
      0.00000      1.86640      356999.    0.0970177
      0.00000      1.86642 -1.10541e+06    -0.638395
      0.00000      1.86643     -394438.     0.343661
      0.00000      1.86645     -545135.      1.51581
      0.00000      1.86646     -209142.     0.608354
      0.00000      1.86647 -1.35845e+06      2.07314
      0.00000      1.86649     -624901.      2.13223
      0.00000      1.86650     -403362.      1.28682
      0.00000      1.86652  1.06202e+06     -3.02718
      0.00000      1.86653      381469.     -1.31639
      0.00000      1.86654      170970.    -0.474463
      0.00000      1.86656     -395851.     0.364240
      0.00000      1.86657  1.08097e+06     -1.34338
      0.00000      1.86659  3.13650e+06     -1.84030
      0.00000      1.86660  9.09982e+06      2.84288
      0.00000      1.86661  1.57599e+06      1.27384
      0.00000      1.86663     -278073.      1.01405
      0.00000      1.86664      272365.     -1.19247
      0.00000      1.86666 -1.19278e+06      1.12507
      0.00000      1.86667  2.51062e+06      2.38338
      0.00000      1.86668     -372913.    -0.446272
      0.00000      1.86670  2.45125e+06    -0.537303
      0.00000      1.86671      700453.    -0.943733
      0.00000      1.86673  6.86482e+06     -2.60742
      0.00000      1.86674  9.71418e+06      1.09521
      0.00000      1.86675 -3.88973e+06      2.23245
      0.00000      1.86677  1.62886e+07      2.10372
      0.00000      1.86678 -1.78289e+06      1.67588
      0.00000      1.86680  1.07052e+06     0.870484
      0.00000      1.86681     -309948.     0.157558
      0.00000      1.86682 -2.85484e+06      2.74480
      0.00000      1.86684 -1.36045e+06      4.01083
      0.00000      1.86685 -2.67956e+06      1.23594
      0.00000      1.86687      689555.      1.39415
      0.00000      1.86688     -207097.    0.0702697
      0.00000      1.86689      22588.2   -0.0798056
      0.00000      1.86691 -5.08990e+06      2.84306
      0.00000      1.86692 -1.40574e+06      3.29787
      0.00000      1.86694      157451.    -0.347267
      0.00000      1.86695  1.03072e+06     -1.52733
      0.00000      1.86696     -795712.     -1.22776
      0.00000      1.86698      335467.     0.617026
      0.00000      1.86699  1.61084e+06     -2.43161
      0.00000      1.86700      181283.    -0.858040
      0.00000      1.86702     -120636.     0.360864
      0.00000      1.86703  1.55070e+06      2.15238
      0.00000      1.86705     -32117.4    -0.103024
      0.00000      1.86706  5.69986e+07     -1.80239
      0.00000      1.86707 -1.94015e+06    -0.875446
      0.00000      1.86709  1.94223e+06     0.357450
      0.00000      1.86710     -881152.      3.30397
      0.00000      1.86712     -525245.      1.18743
      0.00000      1.86713      57231.9    -0.116134
      0.00000      1.86714     -816565.      1.39122
      0.00000      1.86716     -50271.7    0.0606380
      0.00000      1.86717 -3.52330e+07      1.68754
      0.00000      1.86719     -186726.    -0.384209
      0.00000      1.86720  1.71397e+06     -2.65029
      0.00000      1.86721  1.08883e+06     -3.29722
      0.00000      1.86723  2.44512e+06     0.275705
      0.00000      1.86724      554416.      1.13770
      0.00000      1.86726 -1.11764e+06     0.389974
      0.00000      1.86727      41070.1    -0.151988
      0.00000      1.86728  1.21016e+06     0.767777
      0.00000      1.86730      693071.      1.44222
      0.00000      1.86731  1.69301e+06     0.151748
      0.00000      1.86733 -5.36423e+06     -1.27377
      0.00000      1.86734      512417.      1.47926
      0.00000      1.86735      880668.      2.62279
      0.00000      1.86737      550128.     -1.14022
      0.00000      1.86738  1.06100e+06    -0.849748
      0.00000      1.86740 -1.71010e+06      1.88643
      0.00000      1.86741     -235151.     0.208590
      0.00000      1.86742      176550.    -0.452510
      0.00000      1.86744  1.37809e+06      2.85412
      0.00000      1.86745     -283948.     -1.22927
      0.00000      1.86747  1.37600e+06     -3.53302
      0.00000      1.86748      122053.     0.306295
      0.00000      1.86749  1.21991e+07      2.76159
      0.00000      1.86751 -2.17371e+06      2.71949
      0.00000      1.86752     -601484.      2.26683
      0.00000      1.86754     -578414.      1.04412
      0.00000      1.86755  1.00541e+06      1.27902
      0.00000      1.86756      10961.3   0.00999747
      0.00000      1.86758     -895466.     0.907859
      0.00000      1.86759      192721.    -0.316877
      0.00000      1.86760      134179.    -0.145060
      0.00000      1.86762 -5.32170e+06      1.29733
      0.00000      1.86763      119772.     0.417996
      0.00000      1.86765     -821400.     -1.57755
      0.00000      1.86766     -887429.     -2.92957
      0.00000      1.86767      252703.    -0.587811
      0.00000      1.86769  2.02787e+06     -1.89907
      0.00000      1.86770 -1.30581e+07     -3.39489
      0.00000      1.86772     -435020.     -1.10733
      0.00000      1.86773     -886981.      1.68882
      0.00000      1.86774      55411.0    -0.245837
      0.00000      1.86776      23232.0    -0.157525
      0.00000      1.86777      879112.    -0.606651
      0.00000      1.86779     -967683.      1.49484
      0.00000      1.86780 -1.12230e+06     -2.36561
      0.00000      1.86781     -618560.    -0.870044
      0.00000      1.86783  3.49702e+06     -1.90955
      0.00000      1.86784      807112.     -2.85759
      0.00000      1.86786 -3.75625e+06     -2.43017
      0.00000      1.86787      301219.    -0.604277
      0.00000      1.86788     -788519.      2.96081
      0.00000      1.86790     -258663.     0.544883
      0.00000      1.86791      848125.     -1.31564
      0.00000      1.86793      120028.    -0.243036
      0.00000      1.86794 -2.70674e+06      1.46333
      0.00000      1.86795  1.07741e+06     -1.53640
      0.00000      1.86797  5.40558e+06     -4.10424
      0.00000      1.86798      460229.     -1.62679
      0.00000      1.86800     -620294.      1.62474
      0.00000      1.86801      282641.    -0.478984
      0.00000      1.86802     -522986.      1.75411
      0.00000      1.86804      470025.    -0.350457
      0.00000      1.86805      439948.    -0.519496
      0.00000      1.86806     -889532.     0.927551
      0.00000      1.86808  2.34094e+06      2.02107
      0.00000      1.86809     -167972.     0.402368
      0.00000      1.86811 -1.59153e+06      5.11627
      0.00000      1.86812  2.42189e+06     0.870018
      0.00000      1.86813      248606.    -0.638824
      0.00000      1.86815      107700.    -0.445510
      0.00000      1.86816     -973067.     0.353733
      0.00000      1.86818  1.83946e+06     -2.06901
      0.00000      1.86819     -953140.     -1.24380
      0.00000      1.86820      516227.     -1.07595
      0.00000      1.86822 -1.63533e+06      1.01145
      0.00000      1.86823 -3.61740e+06    -0.738756
      0.00000      1.86825  8.68790e+06     -1.02463
      0.00000      1.86826  3.85854e+06     -3.24785
