# Generated by G. Mace on Sat Nov 24 17:38:11 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86632         -NaN         -NaN
      0.00000      1.86633 -1.86865e+06     -1.33120
      0.00000      1.86634     -28104.2   -0.0301638
      0.00000      1.86636 -6.14503e+06      2.39256
      0.00000      1.86637     -349920.     0.251327
      0.00000      1.86639      633253.    -0.938624
      0.00000      1.86640 -2.22675e+06    -0.420149
      0.00000      1.86641      154878.     0.424063
      0.00000      1.86643      378987.     0.860034
      0.00000      1.86644 -8.02587e+08      1.80921
      0.00000      1.86646  1.95292e+07     -2.16453
      0.00000      1.86647 -1.03408e+06    -0.919516
      0.00000      1.86648      258.814  0.000400957
      0.00000      1.86650  1.93730e+06      1.22743
      0.00000      1.86651  3.58217e+06      3.41056
      0.00000      1.86653      183783.    -0.263951
      0.00000      1.86654     -202982.     0.313330
      0.00000      1.86656     -522277.     0.294289
      0.00000      1.86657      17990.8    -0.109146
      0.00000      1.86658     -127441.     0.680468
      0.00000      1.86660     -249369.      1.35533
      0.00000      1.86661 -1.77654e+06      1.97890
      0.00000      1.86663  5.46693e+06      2.04191
      0.00000      1.86664     -245622.    -0.461802
      0.00000      1.86665     -969702.     -1.15486
      0.00000      1.86667 -3.41053e+06     -1.55052
      0.00000      1.86668 -8.70460e+06    -0.719197
      0.00000      1.86670 -2.09294e+06     -1.42964
      0.00000      1.86671      594930.     0.303732
      0.00000      1.86672     -447547.     0.767416
      0.00000      1.86674  1.03061e+06     0.553064
      0.00000      1.86675     -995354.     -1.68116
      0.00000      1.86677 -1.77018e+06     -1.69310
      0.00000      1.86678 -2.54002e+06     -1.91537
      0.00000      1.86679      789057.    -0.755226
      0.00000      1.86681 -1.29899e+06     0.736744
      0.00000      1.86682  1.43551e+06    -0.931124
      0.00000      1.86684 -3.29783e+06     -1.63205
      0.00000      1.86685  2.76951e+06     -1.41044
      0.00000      1.86686  1.99932e+06     0.293976
      0.00000      1.86688  6.45392e+07      2.45477
      0.00000      1.86689  4.31101e+06     -3.02514
      0.00000      1.86691      884121.     -2.01754
      0.00000      1.86692  1.69862e+06     -1.74393
      0.00000      1.86693 -1.67784e+06    -0.654288
      0.00000      1.86695     -531553.    -0.961961
      0.00000      1.86696  1.10965e+06      2.01706
      0.00000      1.86698  4.57561e+06      1.25886
      0.00000      1.86699     -15838.2   -0.0478513
      0.00000      1.86700     -969584.      1.26132
      0.00000      1.86702 -4.84025e+06    -0.982502
      0.00000      1.86703 -7.31424e+06     -2.26745
      0.00000      1.86704     -850800.     -1.42771
      0.00000      1.86706 -3.44089e+06     -1.59302
      0.00000      1.86707 -1.63844e+06      1.33916
      0.00000      1.86709 -1.48379e+06    0.0294510
      0.00000      1.86710 -2.05086e+07     -3.76954
      0.00000      1.86711 -3.32420e+06     -2.95625
      0.00000      1.86713      262642.     0.371959
      0.00000      1.86714      606086.    -0.329423
      0.00000      1.86716  1.48491e+06     -1.23622
      0.00000      1.86717     -534074.    -0.515193
      0.00000      1.86718  1.05292e+06     0.914389
      0.00000      1.86720  1.93187e+06      1.96134
      0.00000      1.86721 -1.95392e+06      1.42277
      0.00000      1.86723 -1.55430e+07      4.25483
