# Generated by G. Mace on Wed Jan 23 11:42:04 2019
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86623         -NaN         -NaN
      0.00000      1.86625     -407536.     0.882806
      0.00000      1.86626     -528603.      1.98653
      0.00000      1.86628  5.31203e+06      1.87924
      0.00000      1.86629      133017.     0.286122
      0.00000      1.86631 -3.17570e+06     -1.93741
      0.00000      1.86632  1.13974e+06     -1.58456
      0.00000      1.86634     -540882.     0.646415
      0.00000      1.86635     -618788.      1.33998
      0.00000      1.86636     -3204.76   0.00551851
      0.00000      1.86638     -461788.    -0.377101
      0.00000      1.86639      217140.   -0.0974731
      0.00000      1.86641      242471.    -0.770626
      0.00000      1.86642     -64227.3     0.160292
      0.00000      1.86644  4.58318e+06     -3.10984
      0.00000      1.86645  3.57559e+06     -3.08630
      0.00000      1.86647  2.35261e+06     -2.30490
      0.00000      1.86648      436705.     -1.34332
      0.00000      1.86649 -4.18851e+06     -2.31104
      0.00000      1.86651 -5.64982e+06     -2.07321
      0.00000      1.86652 -1.30480e+07     -2.28632
      0.00000      1.86654 -1.59632e+06     0.371284
      0.00000      1.86655     -685266.    -0.690558
      0.00000      1.86657     -339510.     0.888143
      0.00000      1.86658      179188.    -0.371625
      0.00000      1.86659     -270826.     0.482115
      0.00000      1.86661     -482363.      1.11491
      0.00000      1.86662     -111112.     0.109704
      0.00000      1.86664      105509.    -0.298005
      0.00000      1.86665 -3.89985e+06      3.24655
      0.00000      1.86667     -910448.      2.54909
      0.00000      1.86668  2.80795e+06      1.71584
      0.00000      1.86669  1.91180e+06     -1.96440
      0.00000      1.86671     -108528.     0.448670
      0.00000      1.86672     -116561.     0.207671
      0.00000      1.86674  1.13945e+06     0.783270
      0.00000      1.86675      419128.    0.0256204
      0.00000      1.86677  4.83309e+06      1.86003
      0.00000      1.86678  3.24326e+06      2.50532
      0.00000      1.86680     -58187.7    -0.109068
      0.00000      1.86681      455985.      2.19454
      0.00000      1.86682     -106455.    -0.118367
      0.00000      1.86684      941901.     -1.55928
      0.00000      1.86685      279499.    -0.307962
      0.00000      1.86687     -355087.     0.598100
      0.00000      1.86688 -1.17358e+06      1.43952
      0.00000      1.86690      748678.     0.975573
      0.00000      1.86691  1.35136e+06     -1.29848
      0.00000      1.86692      728859.     -1.16071
      0.00000      1.86694     -964986.     -1.87692
      0.00000      1.86695 -2.76018e+06     -1.40854
      0.00000      1.86697      819426.     -2.16535
      0.00000      1.86698     -181600.     0.394279
      0.00000      1.86700 -3.52668e+06      1.78189
      0.00000      1.86701  2.10625e+06      1.97033
      0.00000      1.86703     -857443.      1.10425
      0.00000      1.86704     -709983.     0.628981
      0.00000      1.86705      692425.     -1.55921
      0.00000      1.86707      456892.    -0.290349
      0.00000      1.86708      20168.8   -0.0396630
      0.00000      1.86710     -873014.      1.81434
      0.00000      1.86711 -6.31322e+06      2.96716
      0.00000      1.86713      101559.    -0.163006
      0.00000      1.86714  1.61577e+06     -1.88037
      0.00000      1.86715  2.68995e+06     -2.98267
      0.00000      1.86717     -255008.     0.474883
      0.00000      1.86718      57905.5    0.0559032
      0.00000      1.86720  1.21928e+07     -4.64847
      0.00000      1.86721  1.43598e+07     -3.14296
      0.00000      1.86723     -143146.     0.455307
      0.00000      1.86724      312260.    -0.773600
      0.00000      1.86725      817196.    -0.451500
      0.00000      1.86727      373531.     -1.08815
      0.00000      1.86728     -714237.      1.22199
      0.00000      1.86730      777600.      1.10557
      0.00000      1.86731     -702687.     -2.23048
      0.00000      1.86733 -1.93950e+06     -1.19405
      0.00000      1.86734 -1.61692e+06     0.858750
      0.00000      1.86735  1.51642e+06     0.898499
      0.00000      1.86737 -1.93274e+07      2.23257
      0.00000      1.86738      2191.38   0.00437659
      0.00000      1.86740  1.84063e+06      1.62097
      0.00000      1.86741      909583.     -1.27730
      0.00000      1.86743  3.09802e+06    -0.589027
      0.00000      1.86744     -763544.     -1.11968
      0.00000      1.86745     -41247.8   -0.0504006
      0.00000      1.86747  1.16704e+06     -1.16082
      0.00000      1.86748      566296.     -2.27758
      0.00000      1.86750     -518976.     0.551204
      0.00000      1.86751  1.73936e+06     0.542305
      0.00000      1.86753     -922525.    -0.620676
      0.00000      1.86754 -1.23137e+06     -1.49207
      0.00000      1.86755      230294.    -0.148320
      0.00000      1.86757  1.24927e+06      1.83812
      0.00000      1.86758  2.72467e+06     -1.43335
      0.00000      1.86760  1.59216e+06      1.79424
