# Generated by G. Mace on Mon Jan 21 14:37:27 2019
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86630         -NaN         -NaN
      0.00000      1.86632      278254.      21.2172
      0.00000      1.86633  1.61944e+07     -1.35656
      0.00000      1.86635 -2.87845e+06     -1.51875
      0.00000      1.86636     -863794.    -0.418700
      0.00000      1.86637      671953.    -0.526929
      0.00000      1.86639 -5.12547e+06     -2.27993
      0.00000      1.86640     -761237.     -1.55883
      0.00000      1.86642 -2.64102e+06     -1.80752
      0.00000      1.86643     -927544.     -2.11536
      0.00000      1.86644     -337103.    -0.735291
      0.00000      1.86646  1.99095e+06      1.96982
      0.00000      1.86647     -602601.     0.402128
      0.00000      1.86649 -8.95210e+06     -3.08296
      0.00000      1.86650      368611.     0.552460
      0.00000      1.86651      87302.6   -0.0409904
      0.00000      1.86653     -881892.      1.36161
      0.00000      1.86654  2.39854e+06      1.94801
      0.00000      1.86656 -1.34675e+08      3.69408
      0.00000      1.86657      41824.5    0.0574021
      0.00000      1.86658 -1.24544e+07    -0.695019
      0.00000      1.86660  5.88413e+06    -0.373772
      0.00000      1.86661 -5.31181e+06     0.234541
      0.00000      1.86663 -6.75175e+06     -1.66510
      0.00000      1.86664      756603.    -0.668588
      0.00000      1.86665      122241.    -0.189686
      0.00000      1.86667      524945.    -0.362464
      0.00000      1.86668  2.80691e+06     -2.33297
      0.00000      1.86670      873890.      1.12508
      0.00000      1.86671  1.13542e+06    -0.357274
      0.00000      1.86673      160869.    -0.234720
      0.00000      1.86674      288402.     0.386476
      0.00000      1.86675     -207008.    -0.773028
      0.00000      1.86677      503131.     0.228007
      0.00000      1.86678 -4.57257e+06    -0.827983
      0.00000      1.86680 -2.05521e+06     -3.67055
      0.00000      1.86681     -714327.     -1.33947
      0.00000      1.86682     -819116.    -0.353304
      0.00000      1.86684 -2.71001e+06     -4.73606
      0.00000      1.86685 -1.32670e+06     -3.21564
      0.00000      1.86687     -898331.     -1.86145
      0.00000      1.86688  1.60931e+06      2.23858
      0.00000      1.86689      703370.      1.73908
      0.00000      1.86691      912850.      1.50873
      0.00000      1.86692      235560.    -0.471979
      0.00000      1.86694 -1.10917e+07     -1.73276
      0.00000      1.86695      771454.     0.994480
      0.00000      1.86696 -1.75128e+06     -2.40305
      0.00000      1.86698     -774333.     0.497089
      0.00000      1.86699     -43694.6    -0.121911
      0.00000      1.86701      146145.     0.880066
      0.00000      1.86702     -345566.     -1.58549
      0.00000      1.86703  4.98410e+06     -4.62415
      0.00000      1.86705 -8.79173e+06     -4.95090
      0.00000      1.86706     -914366.    -0.679429
      0.00000      1.86708      956964.      1.22096
      0.00000      1.86709      477371.     0.481753
      0.00000      1.86710  5.50781e+06     -2.44168
      0.00000      1.86712     -625444.    -0.993857
      0.00000      1.86713     -653801.     -2.01561
      0.00000      1.86715 -1.10814e+06     -5.49315
      0.00000      1.86716     -837836.     -5.31694
      0.00000      1.86717 -1.00448e+06     -4.96826
