# Generated by G. Mace on Wed Nov 21 22:49:21 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86631         -NaN         -NaN
      0.00000      1.86633 -2.86633e+06      3.09529
      0.00000      1.86634     -861205.      2.05295
      0.00000      1.86636  5.72390e+06     0.696839
      0.00000      1.86637  1.78398e+06     0.549618
      0.00000      1.86638      222674.     0.351737
      0.00000      1.86640  1.00257e+06     0.714457
      0.00000      1.86641  3.42153e+06     -3.13128
      0.00000      1.86643 -1.09505e+07     -2.54614
      0.00000      1.86644 -1.28564e+06     -1.47506
      0.00000      1.86646     -299258.    -0.442218
      0.00000      1.86647     -951935.     -1.11796
      0.00000      1.86648      81653.4    0.0445852
      0.00000      1.86650  2.94788e+06      2.49176
      0.00000      1.86651  1.14522e+06      1.87201
      0.00000      1.86653     -698076.    -0.943968
      0.00000      1.86654  1.41988e+06      1.63039
      0.00000      1.86655      772478.      1.13357
      0.00000      1.86657  3.23801e+06      2.65578
      0.00000      1.86658      880560.      2.64118
      0.00000      1.86660     -297072.    -0.951275
      0.00000      1.86661     -295648.    -0.237534
      0.00000      1.86663 -2.19683e+06     -1.53876
      0.00000      1.86664     -922386.     -1.45395
      0.00000      1.86665     -527939.     -2.66835
      0.00000      1.86667     -830838.    -0.806997
      0.00000      1.86668      40403.4   -0.0460208
      0.00000      1.86670     -511579.    -0.638663
      0.00000      1.86671      136249.     0.252639
      0.00000      1.86672      56889.4     0.240442
      0.00000      1.86674  2.45995e+06      3.87990
      0.00000      1.86675      641081.      1.13084
      0.00000      1.86677  1.59852e+06     0.684407
      0.00000      1.86678     -165984.    -0.264942
      0.00000      1.86680 -1.03030e+07    -0.577240
      0.00000      1.86681      816197.      1.64911
      0.00000      1.86682 -2.03711e+06     -1.21501
      0.00000      1.86684      335960.     0.258314
      0.00000      1.86685      942180.     -2.16805
      0.00000      1.86687 -2.77150e+07     -1.77110
      0.00000      1.86688     -970075.     -2.67015
      0.00000      1.86689     -164179.    -0.810455
      0.00000      1.86691     -790239.     -1.42622
      0.00000      1.86692 -1.18912e+06     -2.22209
      0.00000      1.86694     -400725.     -1.00716
      0.00000      1.86695     -359680.    -0.939567
      0.00000      1.86697      203248.      1.01513
      0.00000      1.86698     -941213.     -2.05351
      0.00000      1.86699      861448.     0.950312
      0.00000      1.86701  7.11492e+06     0.977807
      0.00000      1.86702     -240239.    -0.149094
      0.00000      1.86704     -136115.    -0.672005
      0.00000      1.86705      357358.      1.01117
      0.00000      1.86706      685021.      1.78503
      0.00000      1.86708     -799514.     -1.50591
      0.00000      1.86709     -494919.     -1.65955
      0.00000      1.86711     -615601.     -1.82933
      0.00000      1.86712     -426624.    -0.686291
      0.00000      1.86713  1.09217e+06      1.59110
      0.00000      1.86715      624090.     0.648274
      0.00000      1.86716      501842.      1.43715
      0.00000      1.86718  1.38080e+06      3.40354
      0.00000      1.86719 -3.04717e+06     -1.02436
      0.00000      1.86721     -976020.     0.510687
