# Generated by G. Mace on Mon Feb  4 11:20:41 2019
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86629         -NaN         -NaN
      0.00000      1.86631 -1.28462e+06     -4.38983
      0.00000      1.86632      564992.      1.57626
      0.00000      1.86633      675560.      1.46670
      0.00000      1.86635     -19371.1    0.0237852
      0.00000      1.86636     -865505.     0.398310
      0.00000      1.86638 -1.93895e+06     -1.00550
      0.00000      1.86639 -1.57430e+08     0.847709
      0.00000      1.86640      996407.     -1.63408
      0.00000      1.86642 -1.14411e+06      1.02078
      0.00000      1.86643      32544.4    0.0294312
      0.00000      1.86645      282899.   -0.0519406
      0.00000      1.86646 -2.65506e+07     -4.19960
      0.00000      1.86648 -6.86341e+06     -3.30207
      0.00000      1.86649      585887.     -1.03878
      0.00000      1.86650      367450.    -0.348430
      0.00000      1.86652  2.38833e+06     -2.88350
      0.00000      1.86653  2.04780e+06     -2.77401
      0.00000      1.86655      809955.     -1.34803
      0.00000      1.86656 -1.76733e+06     0.516280
      0.00000      1.86657 -1.30085e+06     -1.56734
      0.00000      1.86659 -1.47212e+06     -2.19158
      0.00000      1.86660 -3.95017e+06     -1.56166
      0.00000      1.86662     -164044.   -0.0478228
      0.00000      1.86663 -6.30645e+07     -2.03884
      0.00000      1.86664 -2.39914e+06    -0.605133
      0.00000      1.86666 -3.05630e+08     0.797584
      0.00000      1.86667  1.28796e+06     -1.79498
      0.00000      1.86669 -2.92050e+06     -1.49676
      0.00000      1.86670  5.06544e+06     -1.25923
      0.00000      1.86672  3.33437e+06     -1.16920
      0.00000      1.86673      835589.   -0.0788883
      0.00000      1.86674 -1.95533e+06    -0.774660
      0.00000      1.86676 -6.15034e+06     0.469211
      0.00000      1.86677  8.37119e+06     -2.58371
      0.00000      1.86679  1.33416e+06    -0.569773
      0.00000      1.86680     -144723.     0.150635
      0.00000      1.86681      479381.    -0.423077
      0.00000      1.86683  3.36552e+06     0.515149
      0.00000      1.86684  1.51475e+06   -0.0322987
      0.00000      1.86686  2.25574e+06     -1.09765
      0.00000      1.86687 -5.21523e+06     -1.72952
