# Generated by G. Mace on Wed Nov 21 19:25:24 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.84728         -NaN         -NaN
      0.00000      1.84729         -NaN         -NaN
      0.00000      1.84731         -NaN         -NaN
      0.00000      1.84732         -NaN         -NaN
      0.00000      1.84734         -NaN         -NaN
      0.00000      1.84735         -NaN         -NaN
      0.00000      1.84736         -NaN         -NaN
      0.00000      1.84738         -NaN         -NaN
      0.00000      1.84739         -NaN         -NaN
      0.00000      1.84741         -NaN         -NaN
      0.00000      1.84742         -NaN         -NaN
      0.00000      1.84744         -NaN         -NaN
      0.00000      1.84745         -NaN         -NaN
      0.00000      1.84747         -NaN         -NaN
      0.00000      1.84748         -NaN         -NaN
      0.00000      1.84749         -NaN         -NaN
      0.00000      1.84751         -NaN         -NaN
      0.00000      1.84752         -NaN         -NaN
      0.00000      1.84754         -NaN         -NaN
      0.00000      1.84755         -NaN         -NaN
      0.00000      1.84757         -NaN         -NaN
      0.00000      1.84758         -NaN         -NaN
      0.00000      1.84759         -NaN         -NaN
      0.00000      1.84761         -NaN         -NaN
      0.00000      1.84762         -NaN         -NaN
      0.00000      1.84764         -NaN         -NaN
      0.00000      1.84765         -NaN         -NaN
      0.00000      1.84767         -NaN         -NaN
      0.00000      1.84768         -NaN         -NaN
      0.00000      1.84769         -NaN         -NaN
      0.00000      1.84771         -NaN         -NaN
      0.00000      1.84772         -NaN         -NaN
      0.00000      1.84774         -NaN         -NaN
      0.00000      1.84775         -NaN         -NaN
      0.00000      1.84777         -NaN         -NaN
      0.00000      1.84778         -NaN         -NaN
      0.00000      1.84779         -NaN         -NaN
      0.00000      1.84781         -NaN         -NaN
      0.00000      1.84782         -NaN         -NaN
      0.00000      1.84784         -NaN         -NaN
      0.00000      1.84785         -NaN         -NaN
      0.00000      1.84787         -NaN         -NaN
