# Generated by G. Mace on Fri Feb  3 02:23:24 2017
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86621         -NaN         -NaN
      0.00000      1.86623         -NaN         -NaN
      0.00000      1.86624         -NaN         -NaN
      0.00000      1.86626         -NaN         -NaN
      0.00000      1.86627      757877.    -0.711007
      0.00000      1.86629  1.89471e+06     -1.33629
      0.00000      1.86630      641395.     0.619712
      0.00000      1.86631 -2.32875e+07      1.33578
      0.00000      1.86633 -1.89920e+06     0.668018
      0.00000      1.86634     -226845.    0.0964371
      0.00000      1.86636 -2.63282e+06    -0.579075
      0.00000      1.86637      605518.    -0.870567
      0.00000      1.86639  1.76676e+06     -1.46135
      0.00000      1.86640 -1.67834e+06    -0.521378
      0.00000      1.86642      620008.      1.11434
      0.00000      1.86643  1.34598e+06      1.61901
      0.00000      1.86645 -1.87146e+07    -0.664911
      0.00000      1.86646 -2.90599e+06      1.33600
      0.00000      1.86647      744141.     -1.35027
      0.00000      1.86649     -515205.     0.902801
      0.00000      1.86650  1.96902e+06     -1.74012
      0.00000      1.86652  1.37355e+06     -2.00489
      0.00000      1.86653 -1.02992e+06    -0.707411
      0.00000      1.86655     -478940.      1.03046
      0.00000      1.86656     -717596.      2.66210
      0.00000      1.86658      43603.6    -0.146142
      0.00000      1.86659     -77877.7     0.182285
      0.00000      1.86661  1.13748e+06    -0.732678
      0.00000      1.86662     -7937.33    0.0186761
      0.00000      1.86663 -1.07418e+06      1.45945
      0.00000      1.86665  4.81214e+06     -1.05637
      0.00000      1.86666  1.33869e+06    -0.720288
      0.00000      1.86668 -3.44850e+06      1.27060
      0.00000      1.86669 -3.22858e+06      2.15848
      0.00000      1.86671  2.03463e+06    -0.499587
      0.00000      1.86672 -1.05014e+06     0.689683
      0.00000      1.86674     -34848.5    0.0463682
      0.00000      1.86675 -5.89417e+06      2.34036
      0.00000      1.86677  5.40241e+07      1.70199
      0.00000      1.86678  1.24627e+06     -2.20825
