# Generated by G. Mace on Tue Jan 29 14:32:23 2019
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86627         -NaN         -NaN
      0.00000      1.86628 -1.09499e+06      1.26629
      0.00000      1.86630  1.90575e+06     -1.70026
      0.00000      1.86631  1.30765e+07     -2.05010
      0.00000      1.86632 -4.33989e+06     -2.05362
      0.00000      1.86634  2.65722e+06     -2.73997
      0.00000      1.86635  4.62774e+06     -1.86758
      0.00000      1.86637     -356781.     0.604815
      0.00000      1.86638     -448922.      1.03539
      0.00000      1.86639 -4.97239e+06     -1.73320
      0.00000      1.86641     -291796.    -0.876431
      0.00000      1.86642  1.80295e+06      1.57612
      0.00000      1.86644 -1.19651e+06      1.52564
      0.00000      1.86645  1.28593e+06     -1.26130
      0.00000      1.86647  5.85658e+06     -1.45517
      0.00000      1.86648 -1.26634e+06     -1.54607
      0.00000      1.86649  1.17295e+07    -0.919300
      0.00000      1.86651     -287643.    -0.354188
      0.00000      1.86652 -4.54029e+06      2.21547
      0.00000      1.86654      699272.    -0.867922
      0.00000      1.86655     -423792.     -1.09467
      0.00000      1.86657     -541719.     -1.34551
      0.00000      1.86658      308654.    -0.520512
      0.00000      1.86659      506796.    -0.802642
      0.00000      1.86661      416954.    -0.261931
      0.00000      1.86662     -66247.1   -0.0668757
      0.00000      1.86664 -1.46672e+06      1.07991
      0.00000      1.86665     -313784.    -0.192106
      0.00000      1.86667      79117.2     0.207713
      0.00000      1.86668     -244612.    -0.550861
      0.00000      1.86669     -40273.2   -0.0464064
      0.00000      1.86671      409063.      1.63651
      0.00000      1.86672  5.44897e+06     0.999350
      0.00000      1.86674 -1.12214e+06     0.401263
      0.00000      1.86675      168596.    -0.193098
      0.00000      1.86676  2.65984e+06     -2.40798
      0.00000      1.86678     -642554.     -1.06928
      0.00000      1.86679     -262396.    -0.425246
      0.00000      1.86681      889667.     0.470143
      0.00000      1.86682      551269.     0.464399
      0.00000      1.86684 -4.91279e+06      1.49409
      0.00000      1.86685     -606686.      1.42979
      0.00000      1.86686      354758.    -0.419442
      0.00000      1.86688 -1.52436e+07     -1.37936
      0.00000      1.86689      244690.     0.439578
      0.00000      1.86691  2.32181e+06     -2.42340
      0.00000      1.86692     -946749.     -2.69309
      0.00000      1.86694 -5.54592e+06    -0.433746
      0.00000      1.86695      708481.     -1.27605
      0.00000      1.86696     -344084.    -0.381261
      0.00000      1.86698      33164.9     0.106703
      0.00000      1.86699 -2.35681e+06     -2.20858
      0.00000      1.86701  4.14856e+06     -2.96651
      0.00000      1.86702 -1.68944e+06    -0.852502
      0.00000      1.86703     -643628.      1.30233
      0.00000      1.86705     -272692.      1.09553
      0.00000      1.86706  2.76979e+06    -0.672583
      0.00000      1.86708  1.22518e+06     -2.01785
      0.00000      1.86709  2.17126e+06     0.987409
      0.00000      1.86711 -1.27252e+06      2.99109
      0.00000      1.86712     -367057.     0.861421
      0.00000      1.86713      518126.     -1.98743
      0.00000      1.86715     -9077.75    0.0222670
      0.00000      1.86716      547157.     -1.69308
      0.00000      1.86718  1.21208e+06     -1.80801
      0.00000      1.86719     -595922.     -1.43731
      0.00000      1.86720     -160436.    -0.178318
      0.00000      1.86722      32691.3    0.0376410
      0.00000      1.86723     -216815.    -0.158571
      0.00000      1.86725  1.33712e+07     -3.32324
      0.00000      1.86726      163574.     0.229747
      0.00000      1.86728 -1.38011e+06    -0.982703
      0.00000      1.86729 -1.17484e+06     -2.43126
      0.00000      1.86730 -1.29261e+06     -1.25321
      0.00000      1.86732      896244.     -2.04110
      0.00000      1.86733      526636.    -0.563135
      0.00000      1.86735      479989.    -0.509899
      0.00000      1.86736  1.26456e+06     -2.24627
      0.00000      1.86737  2.99297e+06      3.02837
      0.00000      1.86739 -4.14662e+06      1.31741
      0.00000      1.86740      66272.2    -0.197556
      0.00000      1.86742      647304.    -0.455089
      0.00000      1.86743     -233947.     0.708582
      0.00000      1.86745     -801168.      1.15844
      0.00000      1.86746 -3.70900e+06     -3.75038
      0.00000      1.86747  4.85602e+06     -1.90816
      0.00000      1.86749  2.39342e+06     -3.83674
      0.00000      1.86750  2.06663e+06     -1.65935
      0.00000      1.86752  1.06324e+07      2.03660
      0.00000      1.86753 -1.54581e+06     -1.83000
      0.00000      1.86754     -666989.     -1.78163
      0.00000      1.86756  1.82605e+06     0.474970
      0.00000      1.86757     -849649.     -2.53717
      0.00000      1.86759  2.12819e+06      1.88440
      0.00000      1.86760 -5.80470e+06     -1.84141
      0.00000      1.86761  1.43590e+06      2.74538
      0.00000      1.86763 -7.84022e+06     -2.26761
      0.00000      1.86764      242785.     0.952130
      0.00000      1.86766  5.02085e+06    -0.907227
      0.00000      1.86767 -1.41202e+06     -1.43672
      0.00000      1.86769      377144.    -0.812390
      0.00000      1.86770 -1.33082e+06     -2.90031
      0.00000      1.86771      182051.    -0.487762
      0.00000      1.86773      272784.     0.938125
      0.00000      1.86774      540886.    -0.421962
      0.00000      1.86776 -2.24079e+06      1.88626
      0.00000      1.86777     -868083.     -3.27615
      0.00000      1.86778      387391.    0.0539022
      0.00000      1.86780      538234.     0.763627
      0.00000      1.86781      868904.      1.40412
      0.00000      1.86783      771415.      1.96777
      0.00000      1.86784  1.73691e+06      6.57680
      0.00000      1.86785 -6.00481e+06      2.53208
      0.00000      1.86787      886012.      1.87293
      0.00000      1.86788 -5.17438e+06     -1.92068
      0.00000      1.86790     -437515.     -1.27786
      0.00000      1.86791 -1.37961e+06     -2.27297
      0.00000      1.86793      862938.      1.63594
      0.00000      1.86794  3.93367e+06     -1.32383
      0.00000      1.86795  1.30323e+06      2.63945
      0.00000      1.86797      466100.      1.74088
      0.00000      1.86798  1.80836e+07     -2.71319
      0.00000      1.86800      245051.     0.441854
      0.00000      1.86801     -640840.    -0.993058
      0.00000      1.86802      616468.      1.72398
      0.00000      1.86804      595300.     -1.53184
      0.00000      1.86805      61730.5     0.230054
      0.00000      1.86807 -9.51252e+06    -0.781767
      0.00000      1.86808 -1.27240e+06     -2.55539
      0.00000      1.86809     -554119.     -1.71307
      0.00000      1.86811  2.59831e+06      2.59805
      0.00000      1.86812     -653156.     -2.90241
      0.00000      1.86814     -664400.    -0.953320
      0.00000      1.86815      337225.     -1.41627
      0.00000      1.86817     -813042.     -3.12818
      0.00000      1.86818  2.16693e+06     -3.47800
      0.00000      1.86819 -1.48199e+06     -4.00886
      0.00000      1.86821 -1.32072e+06     -1.33856
      0.00000      1.86822     -641500.     -1.05052
      0.00000      1.86824 -1.06540e+06     -3.48999
      0.00000      1.86825 -4.20376e+06     -3.98294
      0.00000      1.86826     -722303.     -1.27183
      0.00000      1.86828 -2.03161e+06     -2.42005
      0.00000      1.86829 -1.77393e+06      1.99376
      0.00000      1.86831     -862406.     -2.71388
      0.00000      1.86832 -7.95361e+06     -3.16056
      0.00000      1.86833  9.78119e+07     -2.32023
      0.00000      1.86835  1.83057e+06     -3.72336
      0.00000      1.86836  5.06530e+06     -3.42477
      0.00000      1.86838 -4.03873e+06     -1.54368
      0.00000      1.86839 -1.45427e+06    -0.471100
      0.00000      1.86840  2.40734e+06     -3.81113
      0.00000      1.86842  1.46957e+06     -3.17571
      0.00000      1.86843  3.28512e+06     -3.05850
      0.00000      1.86845 -1.43467e+07     -3.51593
      0.00000      1.86846      166328.     0.732435
      0.00000      1.86847  2.17590e+06     -2.10563
      0.00000      1.86849 -1.74432e+06     -4.48292
      0.00000      1.86850      654321.     -2.50011
      0.00000      1.86852 -6.56644e+06     -2.60494
      0.00000      1.86853  5.73018e+06     -1.86801
      0.00000      1.86854  7.90139e+06     -3.00972
      0.00000      1.86856 -2.15825e+06     0.394710
      0.00000      1.86857 -2.19745e+06     -2.18702
      0.00000      1.86859 -6.51484e+06     -5.27957
      0.00000      1.86860      222212.     -1.65190
      0.00000      1.86862 -1.24702e+06     0.442786
      0.00000      1.86863  2.90921e+06     -5.05056
      0.00000      1.86864      39557.4   -0.0383620
      0.00000      1.86866  1.82019e+07    -0.983934
      0.00000      1.86867      302381.     0.577593
      0.00000      1.86869  1.50579e+06     -3.23329
      0.00000      1.86870      277314.    -0.679802
      0.00000      1.86871     -911445.     -1.67191
      0.00000      1.86873     -747294.     -2.59984
      0.00000      1.86874 -1.59533e+06     -1.98149
      0.00000      1.86876  2.49844e+08     -6.08724
      0.00000      1.86877 -1.59033e+06      3.45365
      0.00000      1.86878      610597.     -1.67599
      0.00000      1.86880  2.84376e+06     -4.47474
      0.00000      1.86881      179941.     -1.58553
      0.00000      1.86883      52438.5    -0.856243
      0.00000      1.86884      432262.     -2.54932
      0.00000      1.86885 -5.39434e+06      1.32641
      0.00000      1.86887  1.48715e+06     -2.77022
      0.00000      1.86888      686696.     -1.34775
      0.00000      1.86890      395581.     0.626899
      0.00000      1.86891      436799.     0.282721
      0.00000      1.86892  8.40758e+06     -5.88987
      0.00000      1.86894      615696.    -0.795913
      0.00000      1.86895     -299419.    -0.403266
      0.00000      1.86897  2.09702e+07     -6.08167
      0.00000      1.86898  1.18531e+06     -1.29133
      0.00000      1.86899  5.13653e+07     -2.78215
      0.00000      1.86901 -9.58863e+06     -3.08711
      0.00000      1.86902  2.04622e+06      1.18115
      0.00000      1.86904     -579132.    -0.287118
      0.00000      1.86905 -4.52666e+06      1.01015
      0.00000      1.86906 -2.36796e+06     -1.95046
      0.00000      1.86908  3.71589e+06     -1.81714
      0.00000      1.86909  1.47486e+06    -0.620483
      0.00000      1.86911      412196.     -1.29932
