# Generated by G. Mace on Mon Nov 19 20:09:04 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86639         -NaN         -NaN
      0.00000      1.86640  2.44863e+06     -2.72869
      0.00000      1.86642      272730.   -0.0671907
      0.00000      1.86643      699978.     0.285699
      0.00000      1.86644  3.46811e+06     0.880685
      0.00000      1.86646  3.62249e+06      1.86251
      0.00000      1.86647  4.28723e+06      1.48856
      0.00000      1.86649 -1.37290e+06     -1.23905
      0.00000      1.86650     -163096.    -0.175292
      0.00000      1.86651  1.11439e+06      1.58459
      0.00000      1.86653  2.08128e+06      1.69581
      0.00000      1.86654     -496443.   -0.0445493
      0.00000      1.86655 -3.30544e+06     0.590497
      0.00000      1.86657 -1.62685e+07     0.600794
      0.00000      1.86658 -6.09877e+06      2.04148
      0.00000      1.86659 -2.72848e+07      1.38122
      0.00000      1.86661  8.34869e+07      3.06121
      0.00000      1.86662  1.92938e+07      1.48555
      0.00000      1.86664      767542.     0.791967
      0.00000      1.86665 -2.77973e+06     0.168570
      0.00000      1.86666 -2.40272e+06     -1.29525
      0.00000      1.86668     -79290.8    -0.124630
      0.00000      1.86669      731819.     0.984046
      0.00000      1.86670      292082.     0.201117
      0.00000      1.86672 -1.26344e+06     -1.43441
      0.00000      1.86673     -291625.    -0.174635
      0.00000      1.86674 -1.14274e+07     0.573443
      0.00000      1.86676      129649.   -0.0791567
      0.00000      1.86677      349080.    -0.682132
      0.00000      1.86679      804468.    -0.822822
      0.00000      1.86680     -767492.     0.869928
      0.00000      1.86681 -6.94989e+06     -1.07160
      0.00000      1.86683 -4.63622e+06     -1.71308
      0.00000      1.86684  5.11274e+06     -3.06240
      0.00000      1.86685 -1.11668e+07     -1.78696
      0.00000      1.86687 -2.50517e+06     0.317355
      0.00000      1.86688 -1.60357e+06     0.330606
      0.00000      1.86690  3.29312e+06     -1.12080
      0.00000      1.86691  1.62213e+06    -0.827520
      0.00000      1.86692  8.63423e+06     0.205674
      0.00000      1.86694     -489819.     0.381228
      0.00000      1.86695 -1.55599e+06     0.768519
      0.00000      1.86696 -2.05444e+07      2.25000
      0.00000      1.86698  2.91875e+06     0.859147
      0.00000      1.86699 -1.92894e+06     0.935467
      0.00000      1.86700  7.72124e+06      1.15530
      0.00000      1.86702     -672066.     0.270706
