# Generated by G. Mace on Thu Nov 22 00:38:12 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86629         -NaN         -NaN
      0.00000      1.86631      923971.     -21.0019
      0.00000      1.86632     -3007.34  -0.00344864
      0.00000      1.86633  1.13507e+06      2.58260
      0.00000      1.86635      241310.     0.533046
      0.00000      1.86636      25452.2    0.0295409
      0.00000      1.86638  3.03651e+06      1.85245
      0.00000      1.86639  1.08151e+06     0.760843
      0.00000      1.86640      83031.7    0.0390314
      0.00000      1.86642 -4.86733e+06      1.72201
      0.00000      1.86643 -1.85129e+06     0.936739
      0.00000      1.86645     -5685.02  -0.00533209
      0.00000      1.86646      575380.     0.149060
      0.00000      1.86648  1.88514e+06      1.17926
      0.00000      1.86649  4.61066e+07      2.70150
      0.00000      1.86650 -1.95571e+06      1.23369
      0.00000      1.86652      222049.    -0.168327
      0.00000      1.86653      743972.    -0.408203
      0.00000      1.86655      336160.    -0.149437
      0.00000      1.86656 -9.51816e+06      1.50901
      0.00000      1.86657 -1.95558e+06      2.29582
      0.00000      1.86659 -1.28501e+06      1.27571
      0.00000      1.86660     -145218.     0.158030
      0.00000      1.86662      295699.    -0.370652
      0.00000      1.86663  1.18685e+07     -2.75154
      0.00000      1.86664      196916.    -0.298377
      0.00000      1.86666     -609149.     0.595900
      0.00000      1.86667 -3.66792e+07    -0.620732
      0.00000      1.86669  1.01238e+06    -0.702351
      0.00000      1.86670      235684.   -0.0987080
      0.00000      1.86672     -516097.     0.705097
      0.00000      1.86673  2.35255e+06     -1.21914
      0.00000      1.86674  3.58990e+06     -2.94310
      0.00000      1.86676  8.97633e+06     -1.96924
      0.00000      1.86677 -1.89332e+06     -1.61209
      0.00000      1.86679     -929717.    -0.753932
      0.00000      1.86680      851921.     0.795406
      0.00000      1.86681 -7.01524e+06     -2.25145
      0.00000      1.86683 -1.92232e+06     -1.90955
      0.00000      1.86684      686270.     0.369834
      0.00000      1.86686 -5.40187e+06      1.45097
      0.00000      1.86687 -1.09650e+06     0.519319
      0.00000      1.86688 -1.35776e+06     0.916812
      0.00000      1.86690      252359.    -0.254746
      0.00000      1.86691      959456.     -2.07344
      0.00000      1.86693  1.24807e+06     -1.08654
      0.00000      1.86694  1.59108e+07     -1.18813
      0.00000      1.86695  1.81181e+06    -0.555790
      0.00000      1.86697     -474939.     0.223991
      0.00000      1.86698      238810.    -0.194594
      0.00000      1.86700      86109.6   -0.0547272
      0.00000      1.86701      309061.    -0.206128
      0.00000      1.86703      307094.    -0.352575
      0.00000      1.86704 -1.10435e+07     -3.48256
      0.00000      1.86705 -3.33640e+06     -3.92101
      0.00000      1.86707 -2.19997e+06    -0.759330
      0.00000      1.86708 -2.84739e+07      1.50187
      0.00000      1.86710  4.16347e+06      1.71168
      0.00000      1.86711 -1.85693e+07      1.31547
      0.00000      1.86712 -3.24993e+06      1.51270
      0.00000      1.86714 -5.06528e+06      1.70588
      0.00000      1.86715      709178.     0.325748
      0.00000      1.86717  4.31099e+06     0.103870
      0.00000      1.86718      686722.    -0.237751
      0.00000      1.86719 -2.19194e+06      1.01806
      0.00000      1.86721 -1.03851e+06    -0.504722
      0.00000      1.86722 -1.03202e+06    -0.293502
      0.00000      1.86724  2.94632e+06     -2.14597
      0.00000      1.86725  3.26530e+06     -2.00682
      0.00000      1.86726     -179859.     0.153091
      0.00000      1.86728     -902608.      1.69600
      0.00000      1.86729     -369346.     0.856036
      0.00000      1.86731 -1.23098e+06     0.643687
      0.00000      1.86732  2.49193e+06      1.31117
      0.00000      1.86733 -2.74236e+06      2.13978
      0.00000      1.86735     -806144.     0.935719
      0.00000      1.86736  6.53432e+06      1.33396
      0.00000      1.86738 -1.94502e+07     -5.83952
      0.00000      1.86739  7.46451e+06     -1.65293
      0.00000      1.86741  7.92735e+06    -0.952709
      0.00000      1.86742  1.50319e+06     -1.61573
      0.00000      1.86743  4.67813e+06     -1.22820
      0.00000      1.86745  1.77850e+06      1.56504
      0.00000      1.86746  1.05716e+07     0.899192
      0.00000      1.86748 -1.64446e+06      1.79027
      0.00000      1.86749 -1.10214e+06     0.980935
      0.00000      1.86750      32765.9   0.00770815
      0.00000      1.86752      991670.     0.381580
      0.00000      1.86753     -507615.    -0.372560
      0.00000      1.86755 -2.82768e+06     -1.68518
      0.00000      1.86756 -5.41156e+06     -2.61693
      0.00000      1.86757  7.45715e+06     -1.61323
      0.00000      1.86759      428848.    -0.498990
      0.00000      1.86760 -3.69512e+07    -0.720465
      0.00000      1.86762 -1.37769e+06    -0.962696
      0.00000      1.86763  4.14041e+06     -1.04000
      0.00000      1.86764     -94520.1    0.0522031
      0.00000      1.86766 -2.46531e+06     -1.07918
      0.00000      1.86767     -151497.    0.0502938
      0.00000      1.86769 -7.51789e+06     0.594299
      0.00000      1.86770  1.50087e+07      2.75746
      0.00000      1.86771     -764491.     0.120794
      0.00000      1.86773     -592435.    -0.518198
      0.00000      1.86774  1.07697e+06     0.779524
      0.00000      1.86776     -175398.    0.0816849
      0.00000      1.86777  2.43637e+06      2.16286
      0.00000      1.86778  1.20273e+07      8.19919
      0.00000      1.86780 -1.30440e+08      10.4248
      0.00000      1.86781  2.02487e+07      6.94080
      0.00000      1.86783     -717360.    -0.353770
      0.00000      1.86784  1.39711e+06      1.53955
      0.00000      1.86785      18525.4    0.0182135
      0.00000      1.86787  1.09185e+06     0.909126
      0.00000      1.86788     -605359.    -0.503087
      0.00000      1.86790 -1.49294e+06     -1.25059
      0.00000      1.86791 -1.35601e+06     -1.02450
      0.00000      1.86792  1.23514e+07     -1.91684
      0.00000      1.86794  5.42036e+06     -2.85426
      0.00000      1.86795 -2.20029e+06    -0.200216
      0.00000      1.86797     -240140.     0.188665
      0.00000      1.86798      850810.    -0.659993
      0.00000      1.86799 -1.15872e+08     -1.34585
      0.00000      1.86801     -352685.    0.0707555
      0.00000      1.86802 -5.87167e+06    -0.855833
      0.00000      1.86804  1.10473e+07     -2.62461
      0.00000      1.86805  7.54474e+06    -0.438610
      0.00000      1.86806 -1.43398e+06    -0.971861
      0.00000      1.86808  1.32355e+07    -0.958627
      0.00000      1.86809      102913.    0.0400607
      0.00000      1.86811 -7.44309e+06     -1.19819
      0.00000      1.86812 -3.72264e+06     -1.30200
      0.00000      1.86813  1.39573e+06     0.677478
      0.00000      1.86815 -2.72499e+06     -1.74555
      0.00000      1.86816 -1.10857e+06     -1.36617
      0.00000      1.86818      377577.     0.253035
      0.00000      1.86819  8.34511e+06     -3.05959
      0.00000      1.86820 -1.67975e+08     -1.69323
      0.00000      1.86822     -480697.    -0.364124
      0.00000      1.86823     -339213.     -1.31202
      0.00000      1.86825     -12997.9   -0.0711155
      0.00000      1.86826     -293726.    -0.754435
      0.00000      1.86827 -1.84087e+07     -2.09361
      0.00000      1.86829 -8.86763e+06     -2.48709
      0.00000      1.86830  2.48290e+06     -1.72186
      0.00000      1.86832  1.56270e+06     -1.38660
      0.00000      1.86833 -1.00018e+07     -3.60836
      0.00000      1.86834 -1.83108e+06     -1.27661
      0.00000      1.86836 -3.08547e+06    -0.654234
      0.00000      1.86837 -1.16860e+07    -0.844938
      0.00000      1.86839 -4.47631e+06     -1.19503
      0.00000      1.86840  2.52078e+07    -0.237232
      0.00000      1.86841      239650.    -0.106458
      0.00000      1.86843  1.58067e+07     -1.75362
