# Generated by G. Mace on Sun Nov 18 13:52:43 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86629         -NaN         -NaN
      0.00000      1.86631     -271398.     -17.3402
      0.00000      1.86632 -3.27697e+06      14.7377
      0.00000      1.86634 -2.49376e+06     -2.43777
      0.00000      1.86635      612651.     -1.77659
      0.00000      1.86636 -4.28692e+06     -2.09201
      0.00000      1.86638 -6.11162e+06     -1.22630
      0.00000      1.86639     -491513.      1.01217
      0.00000      1.86641  8.20050e+06    -0.947121
      0.00000      1.86642  2.28810e+06     -1.28014
      0.00000      1.86643      43833.4   -0.0444799
      0.00000      1.86645      442029.     0.296106
      0.00000      1.86646     -500836.     -1.04676
      0.00000      1.86648 -1.53308e+06     -1.62184
      0.00000      1.86649 -1.05191e+06     -2.36005
      0.00000      1.86650 -1.23400e+06     -1.67431
      0.00000      1.86652     -503921.     -1.24142
      0.00000      1.86653  1.00889e+06    -0.537544
      0.00000      1.86655     -605212.    -0.609497
      0.00000      1.86656 -6.10726e+06     -1.92939
      0.00000      1.86657  2.03576e+06     0.933176
      0.00000      1.86659 -2.84873e+06     -1.66931
      0.00000      1.86660 -1.43625e+06     -1.85105
      0.00000      1.86662 -2.39405e+06     -2.12710
      0.00000      1.86663      220548.     0.113728
      0.00000      1.86664     -276719.     0.647871
      0.00000      1.86666 -1.12575e+06    -0.617435
      0.00000      1.86667  1.54845e+07     -1.54600
      0.00000      1.86668 -2.03284e+07     -1.30562
      0.00000      1.86670      595110.    -0.659677
      0.00000      1.86671  7.00636e+06     -1.00932
      0.00000      1.86673  1.56535e+06     -1.31343
      0.00000      1.86674      144808.    -0.494075
      0.00000      1.86675  1.05395e+06     -1.38592
      0.00000      1.86677      549356.    -0.974681
      0.00000      1.86678 -2.73721e+06      1.79401
      0.00000      1.86680 -1.21837e+06     0.703290
      0.00000      1.86681      289218.   -0.0631782
      0.00000      1.86682      743619.     0.492129
      0.00000      1.86684 -4.15473e+06     -2.01312
      0.00000      1.86685  1.35313e+06     0.367491
      0.00000      1.86687     -361998.     0.306627
      0.00000      1.86688  8.44239e+06     -2.45224
      0.00000      1.86689     -351305.     0.197846
      0.00000      1.86691 -1.49723e+06     0.964274
      0.00000      1.86692  2.45659e+06     -2.05105
      0.00000      1.86694      708443.     -1.41167
      0.00000      1.86695     -97496.1     0.173872
      0.00000      1.86696     -545897.     0.272242
      0.00000      1.86698  1.18345e+06     -1.77791
      0.00000      1.86699  6.02214e+06     -1.62668
      0.00000      1.86701  3.07696e+06     -3.00995
      0.00000      1.86702 -1.18988e+06     -1.82940
      0.00000      1.86703 -6.51730e+06     -2.61565
      0.00000      1.86705  6.62954e+06     -1.25888
      0.00000      1.86706 -2.77378e+06     -1.08892
      0.00000      1.86708 -1.83084e+06     -1.07348
      0.00000      1.86709 -4.73967e+06     -1.41589
      0.00000      1.86710      631688.    -0.752733
      0.00000      1.86712     -271709.     0.666601
      0.00000      1.86713      490581.     -1.58515
      0.00000      1.86715  1.19486e+06     -2.30944
      0.00000      1.86716 -2.35454e+06     0.132100
      0.00000      1.86717  2.23436e+06      1.72928
      0.00000      1.86719  3.58112e+06      1.89300
      0.00000      1.86720 -8.06640e+07      1.60003
      0.00000      1.86722  1.96107e+06      1.78429
      0.00000      1.86723     -96407.5     0.218277
      0.00000      1.86724  1.09904e+06      1.27100
      0.00000      1.86726      680890.    -0.125293
      0.00000      1.86727      510697.    -0.110250
      0.00000      1.86729  2.50617e+06     -2.21788
      0.00000      1.86730     -528608.    -0.744067
      0.00000      1.86731 -2.93735e+06     -1.48196
      0.00000      1.86733  3.02640e+06     -1.52720
      0.00000      1.86734  1.04021e+06    -0.137895
      0.00000      1.86736     -609719.     -1.56637
      0.00000      1.86737 -7.86263e+06    -0.865914
      0.00000      1.86738      331084.    -0.363764
      0.00000      1.86740  1.95682e+06    -0.491312
      0.00000      1.86741      189246.     0.176815
      0.00000      1.86742      315812.    -0.289394
      0.00000      1.86744  1.02344e+07    -0.573606
      0.00000      1.86745 -1.35285e+07     -1.32746
      0.00000      1.86747 -2.52721e+06     -1.17646
      0.00000      1.86748      194726.     0.431175
      0.00000      1.86749     -400072.    0.0629392
      0.00000      1.86751 -2.67834e+06      1.55564
      0.00000      1.86752     -843664.    -0.492999
      0.00000      1.86754 -1.75293e+06      2.11742
      0.00000      1.86755  5.10976e+06      2.24865
      0.00000      1.86756      919861.      1.59174
      0.00000      1.86758  3.29585e+06      1.97497
