# Generated by G. Mace on Thu Jan 24 13:31:01 2019
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86626         -NaN         -NaN
      0.00000      1.86627  1.71882e+06      1.75984
      0.00000      1.86629     -224943.     0.469270
      0.00000      1.86630     -226603.     0.402288
      0.00000      1.86632      47306.0     0.223458
      0.00000      1.86633      15847.7    0.0420730
      0.00000      1.86635      32350.7     0.146623
      0.00000      1.86636 -9.09840e+06    -0.364899
      0.00000      1.86637 -1.04545e+06      2.58443
      0.00000      1.86639  1.18934e+06      1.36827
      0.00000      1.86640     -216830.    -0.143436
      0.00000      1.86642     -937668.      1.75325
      0.00000      1.86643     -275358.     0.516856
      0.00000      1.86645      402896.    -0.147188
      0.00000      1.86646 -2.94383e+07      1.49671
      0.00000      1.86648  7.53156e+06      2.64759
      0.00000      1.86649  3.61291e+06     0.495461
      0.00000      1.86650     -165504.    -0.378214
      0.00000      1.86652      676484.      1.87135
      0.00000      1.86653  3.11441e+06      3.65255
      0.00000      1.86655 -1.99454e+06     -1.06499
      0.00000      1.86656  2.38490e+06     0.944899
      0.00000      1.86658      616452.     -1.15607
      0.00000      1.86659     -292775.    -0.709755
      0.00000      1.86661     -84445.6    -0.132737
      0.00000      1.86662  1.07571e+06     -5.81916
      0.00000      1.86663      353472.     -1.09643
      0.00000      1.86665      356208.     0.287147
      0.00000      1.86666 -1.27476e+06     0.806199
      0.00000      1.86668      14983.4   -0.0189797
      0.00000      1.86669  1.21516e+06     -1.08766
      0.00000      1.86671      902435.     -2.68898
      0.00000      1.86672      219164.    -0.279454
      0.00000      1.86673     -581617.     0.859095
      0.00000      1.86675      221569.    -0.640601
      0.00000      1.86676     -315219.     0.580014
      0.00000      1.86678      206305.    -0.956765
      0.00000      1.86679  2.79313e+06     -2.26850
      0.00000      1.86681  1.65442e+06      1.69370
      0.00000      1.86682 -3.14747e+06     -3.61165
      0.00000      1.86684 -5.63762e+06     0.462655
      0.00000      1.86685     -109807.     0.285096
      0.00000      1.86686      716326.    -0.564093
      0.00000      1.86688     -611169.     -1.51067
      0.00000      1.86689     -487198.     0.765794
      0.00000      1.86691 -8.60538e+07      1.03752
      0.00000      1.86692      827147.    -0.809360
      0.00000      1.86694 -5.12921e+06     -3.19182
      0.00000      1.86695 -2.62808e+06     -1.49611
      0.00000      1.86696  2.90383e+06     -1.98191
      0.00000      1.86698 -1.43009e+06     -2.00936
      0.00000      1.86699      363637.     0.233467
      0.00000      1.86701 -2.68059e+06     -1.95286
      0.00000      1.86702      225197.     0.658106
      0.00000      1.86704  1.53294e+06      1.00304
      0.00000      1.86705  2.05302e+06     -1.69096
      0.00000      1.86706 -5.06648e+06      2.33187
      0.00000      1.86708      866772.     -1.08168
      0.00000      1.86709 -2.22987e+06     0.490253
      0.00000      1.86711      861691.      1.73109
      0.00000      1.86712      434295.     -1.36922
      0.00000      1.86714      511041.    -0.660419
      0.00000      1.86715     -640135.      1.57189
      0.00000      1.86716 -2.07050e+06     -1.93857
      0.00000      1.86718 -1.87685e+06     -3.60634
      0.00000      1.86719      401505.     -1.64760
      0.00000      1.86721  6.31621e+06     -2.83179
      0.00000      1.86722 -1.76656e+06    -0.955639
      0.00000      1.86724      692320.     0.566353
      0.00000      1.86725  1.08682e+06     -2.96172
      0.00000      1.86726 -2.54879e+06     -2.06124
      0.00000      1.86728 -6.46538e+06    -0.868554
      0.00000      1.86729 -2.15376e+07     -3.67188
      0.00000      1.86731  1.77968e+06     0.778773
      0.00000      1.86732  1.40803e+06      1.98339
      0.00000      1.86734 -3.79747e+07      1.82674
      0.00000      1.86735      943194.     -2.50356
      0.00000      1.86737  1.11180e+06     -2.42759
      0.00000      1.86738      564860.    -0.855255
      0.00000      1.86739  1.73777e+06     -4.00169
      0.00000      1.86741     -104166.    -0.359757
      0.00000      1.86742 -1.56963e+06     -6.92856
      0.00000      1.86744  1.00389e+06      1.53363
      0.00000      1.86745  3.41745e+06     -2.44305
      0.00000      1.86746 -1.81939e+06     -2.03816
      0.00000      1.86748  3.49047e+06     -1.82942
      0.00000      1.86749  5.58289e+06     -2.66036
      0.00000      1.86751     -216524.     0.265599
      0.00000      1.86752      233507.    -0.637781
