# Generated by G. Mace on Tue Nov 20 20:46:45 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86635         -NaN         -NaN
      0.00000      1.86637      173530.      7.71033
      0.00000      1.86638      517102.    -0.925979
      0.00000      1.86640      58142.2    -0.182442
      0.00000      1.86641 -1.35707e+06     0.657776
      0.00000      1.86642     -56447.1     0.180266
      0.00000      1.86644     -186709.    -0.513312
      0.00000      1.86645     -469861.     0.512011
      0.00000      1.86646     -236602.     -1.03072
      0.00000      1.86648      116874.     0.359883
      0.00000      1.86649  1.28248e+06      1.42715
      0.00000      1.86651  3.58656e+06      3.44270
      0.00000      1.86652      500389.     0.447026
      0.00000      1.86653  6.97029e+06      2.05698
      0.00000      1.86655      214883.     0.369898
      0.00000      1.86656  4.17778e+06     -1.15085
      0.00000      1.86657  1.17854e+06      1.95130
      0.00000      1.86659  1.06024e+06      1.42995
      0.00000      1.86660      565077.    -0.800940
      0.00000      1.86662 -1.69473e+06     -2.08022
      0.00000      1.86663      305259.     0.754747
      0.00000      1.86664  5.66719e+06     -3.65439
      0.00000      1.86666     -831883.     -1.59212
      0.00000      1.86667     -1760.25  -0.00319337
      0.00000      1.86669      756452.    -0.946751
      0.00000      1.86670      603484.     -3.06276
      0.00000      1.86671     -28708.9    -0.173535
      0.00000      1.86673 -1.28275e+06     -5.06336
      0.00000      1.86674 -1.68370e+06     -2.04181
      0.00000      1.86675 -5.83588e+06     -1.83640
      0.00000      1.86677 -1.03900e+06    -0.730181
      0.00000      1.86678      48611.8     0.100317
      0.00000      1.86680  1.06628e+06    -0.363012
      0.00000      1.86681      90781.1     0.200102
      0.00000      1.86682      443479.     0.878302
      0.00000      1.86684  1.11369e+06     0.969130
      0.00000      1.86685 -3.04440e+06     -3.97752
      0.00000      1.86686     -244865.    -0.887206
      0.00000      1.86688 -1.48906e+06     0.999685
      0.00000      1.86689      737508.     0.890410
      0.00000      1.86691 -2.29401e+06    -0.911811
      0.00000      1.86692      64916.1    0.0401902
      0.00000      1.86693      212180.     0.985448
      0.00000      1.86695  2.01595e+06      1.84711
      0.00000      1.86696     -671459.     -1.63777
      0.00000      1.86697     -436217.     -1.38798
      0.00000      1.86699      389460.     0.618080
      0.00000      1.86700      219370.     0.598076
      0.00000      1.86702     -165169.    -0.452800
      0.00000      1.86703     -756728.     -1.66646
      0.00000      1.86704      444493.     0.194579
      0.00000      1.86706     -19044.2    0.0412986
      0.00000      1.86707     -603754.     -2.04086
      0.00000      1.86708     -711354.     -2.12229
      0.00000      1.86710 -1.43865e+06     -2.11589
      0.00000      1.86711     -234734.      1.20003
      0.00000      1.86713 -3.85763e+06      2.47554
      0.00000      1.86714 -2.94453e+06     -1.14761
      0.00000      1.86715      448185.     -1.01000
      0.00000      1.86717      510967.     -1.69033
      0.00000      1.86718 -1.42124e+06     -2.18770
      0.00000      1.86719     -129939.    -0.172003
      0.00000      1.86721      71257.2     0.207117
      0.00000      1.86722     -346363.     -1.34968
      0.00000      1.86724     -370013.     -1.08227
      0.00000      1.86725      333368.    -0.510709
      0.00000      1.86726  5.36872e+06     -1.56467
      0.00000      1.86728     -238482.    -0.483607
      0.00000      1.86729  1.61547e+06      1.25632
      0.00000      1.86730 -3.02201e+06     -2.21787
      0.00000      1.86732      532088.    -0.827537
      0.00000      1.86733     -13226.9    0.0399498
      0.00000      1.86735  1.37466e+06     -1.40393
      0.00000      1.86736      349077.     0.699504
      0.00000      1.86737  4.46028e+07      1.10897
      0.00000      1.86739  1.75599e+06     -1.61469
      0.00000      1.86740      655587.     -1.07812
      0.00000      1.86741      314731.      1.08658
      0.00000      1.86743     -169684.    -0.493306
      0.00000      1.86744     -16498.0   -0.0186830
      0.00000      1.86746     -165886.    -0.427623
      0.00000      1.86747     -455086.     -1.32096
      0.00000      1.86748     -654377.      1.49862
      0.00000      1.86750     -70901.4    -0.192506
      0.00000      1.86751     -490714.    -0.736588
      0.00000      1.86752      96185.7     0.301264
      0.00000      1.86754      130350.     0.643504
      0.00000      1.86755     -612104.     -1.85973
      0.00000      1.86757     -476704.     -1.39897
      0.00000      1.86758     -417500.     -1.11289
      0.00000      1.86759      348512.      1.12197
      0.00000      1.86761  1.47058e+06      1.80345
      0.00000      1.86762 -1.04343e+06     -1.51527
      0.00000      1.86763      386677.      1.25038
      0.00000      1.86765     -965693.     -1.74372
      0.00000      1.86766     -315217.    -0.846997
      0.00000      1.86768     -868098.    -0.771481
      0.00000      1.86769  3.44040e+06      1.40465
      0.00000      1.86770 -1.40377e+06      1.80214
      0.00000      1.86772      40803.4   -0.0574961
      0.00000      1.86773      256086.     0.954712
      0.00000      1.86775      158755.      1.05784
      0.00000      1.86776 -1.23367e+06     -3.33270
      0.00000      1.86777     -119594.    -0.666704
      0.00000      1.86779     -33235.2    -0.135940
      0.00000      1.86780     -646859.     -1.11162
      0.00000      1.86781 -1.90013e+06     -2.00120
      0.00000      1.86783      671639.      2.04775
      0.00000      1.86784     -87250.6    -0.327254
      0.00000      1.86786      979722.      2.41113
      0.00000      1.86787     -81551.5    -0.402686
      0.00000      1.86788 -2.90563e+06     -1.46540
      0.00000      1.86790  1.44486e+06     -2.60935
      0.00000      1.86791 -5.47185e+06     -1.85320
      0.00000      1.86792     -198136.    -0.645683
      0.00000      1.86794 -1.76431e+06     -1.45994
      0.00000      1.86795  4.67248e+06    -0.308838
      0.00000      1.86797 -1.67017e+06     -1.26608
      0.00000      1.86798     -26145.1   -0.0692670
      0.00000      1.86799 -5.10422e+06     -1.06032
      0.00000      1.86801     -210740.    -0.413747
      0.00000      1.86802  1.71487e+06    -0.614524
      0.00000      1.86803     -958002.      1.72341
      0.00000      1.86805 -1.19853e+06     -1.85893
      0.00000      1.86806     -146966.    -0.285987
      0.00000      1.86808  2.09067e+07      3.49521
      0.00000      1.86809     -445367.      1.35882
      0.00000      1.86810     -953746.      1.01514
      0.00000      1.86812  1.09062e+06     0.840012
