# Generated by G. Mace on Fri Jan 25 14:32:57 2019
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86633         -NaN         -NaN
      0.00000      1.86634  2.43172e+06      4.94452
      0.00000      1.86636  3.09634e+06     0.977183
      0.00000      1.86637  7.77764e+06      1.03154
      0.00000      1.86638  1.49333e+06      1.12289
      0.00000      1.86640  4.41585e+06      1.36314
      0.00000      1.86641 -1.45138e+06    -0.484954
      0.00000      1.86642 -9.83104e+06     -3.36098
      0.00000      1.86644  8.68424e+07     -2.48505
      0.00000      1.86645  3.54072e+06     -1.85215
      0.00000      1.86647  6.55242e+06      1.34997
      0.00000      1.86648  5.63070e+06      2.10044
      0.00000      1.86649     -256251.     0.316730
      0.00000      1.86651 -1.30349e+07      1.35273
      0.00000      1.86652 -2.30793e+06    -0.929928
      0.00000      1.86653  3.53500e+07    -0.997337
      0.00000      1.86655 -1.08762e+07      1.54125
      0.00000      1.86656 -8.17404e+06     -2.36417
      0.00000      1.86658 -1.10802e+07     -4.00564
      0.00000      1.86659  2.44382e+07     -3.10135
      0.00000      1.86660 -2.43500e+06    -0.250365
      0.00000      1.86662  1.20391e+07      1.70528
      0.00000      1.86663  4.13166e+06     0.990576
      0.00000      1.86665 -4.93808e+06    -0.355658
      0.00000      1.86666 -1.42156e+07      1.43448
      0.00000      1.86667  9.88191e+06      2.87651
      0.00000      1.86669  1.51774e+06     -1.04234
      0.00000      1.86670  2.46297e+06     -2.30156
      0.00000      1.86671     -149202.    0.0319985
      0.00000      1.86673 -3.96731e+06     -1.48377
      0.00000      1.86674     -679680.    -0.389000
      0.00000      1.86676  6.89440e+06     -1.13307
      0.00000      1.86677  3.87202e+06     -2.45524
      0.00000      1.86678 -7.45034e+06     -3.00425
      0.00000      1.86680  5.91810e+07     0.805602
      0.00000      1.86681  1.57918e+07     -3.38554
      0.00000      1.86682     -970607.     0.348493
      0.00000      1.86684  1.88073e+06     -1.49330
      0.00000      1.86685  4.02504e+06     -3.53271
      0.00000      1.86687  7.06709e+06     -1.62569
      0.00000      1.86688  1.48921e+07     -1.74599
      0.00000      1.86689 -5.79378e+06     -2.37568
      0.00000      1.86691 -3.15489e+06    -0.233330
      0.00000      1.86692  8.41471e+07      2.08510
      0.00000      1.86694  6.79749e+06    -0.703926
      0.00000      1.86695 -4.76566e+06      1.16726
      0.00000      1.86696 -1.23783e+07      1.24048
      0.00000      1.86698  3.23335e+06     0.336453
      0.00000      1.86699  3.31207e+06     -1.33682
      0.00000      1.86700  8.45954e+06     -1.88145
      0.00000      1.86702 -3.92222e+07    -0.287804
      0.00000      1.86703     -708616.    -0.486900
      0.00000      1.86705 -3.31858e+07     -3.24001
      0.00000      1.86706 -1.22698e+06     0.722517
      0.00000      1.86707  1.87629e+06    -0.935582
