# Generated by G. Mace on Wed Nov 21 21:18:52 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86628         -NaN         -NaN
      0.00000      1.86630      502608.     -3.23534
      0.00000      1.86631  1.68468e+06      3.51728
      0.00000      1.86633  3.99059e+06      4.25335
      0.00000      1.86634  1.44187e+06      1.08632
      0.00000      1.86635      341912.      1.06827
      0.00000      1.86637      965845.      1.74837
      0.00000      1.86638  1.76883e+06     0.357689
      0.00000      1.86640     -10766.1  -0.00978218
      0.00000      1.86641     -141734.    -0.172838
      0.00000      1.86642  2.83490e+06      1.39160
      0.00000      1.86644 -1.06816e+06    -0.133781
      0.00000      1.86645 -3.91432e+06      1.17515
      0.00000      1.86647  1.03270e+07      1.77423
      0.00000      1.86648  1.32386e+06     0.377021
      0.00000      1.86650  2.64058e+06    -0.821587
      0.00000      1.86651  1.99807e+06     -1.28046
      0.00000      1.86652  1.79467e+06     -2.69091
      0.00000      1.86654     -222705.     0.454293
      0.00000      1.86655  3.04739e+06      1.77348
      0.00000      1.86657  1.18068e+09     -1.13429
      0.00000      1.86658  1.55042e+06     -1.45846
      0.00000      1.86659  1.61135e+06    -0.649188
      0.00000      1.86661 -6.29471e+06     -2.22243
      0.00000      1.86662 -2.10066e+06     -2.87563
      0.00000      1.86664     -223488.    -0.604449
      0.00000      1.86665      241572.     0.294344
      0.00000      1.86666      707910.      1.04041
      0.00000      1.86668      855205.      1.04845
      0.00000      1.86669     -48657.4   -0.0271545
      0.00000      1.86671 -1.27214e+06     -1.00488
      0.00000      1.86672 -3.63735e+07      3.36484
      0.00000      1.86673      415433.     0.242097
      0.00000      1.86675     -310146.     0.638098
      0.00000      1.86676     -380055.     0.632603
      0.00000      1.86678     -664078.      1.23281
      0.00000      1.86679     -561376.     0.769126
      0.00000      1.86681  1.48295e+06    -0.306927
      0.00000      1.86682  2.61867e+06      2.64892
      0.00000      1.86683  4.30712e+06      2.53963
      0.00000      1.86685      199122.    -0.103586
      0.00000      1.86686      606493.    0.0708241
      0.00000      1.86688  1.82998e+06      1.98565
      0.00000      1.86689 -1.37762e+06      1.41920
      0.00000      1.86690      396182.    -0.657888
      0.00000      1.86692 -5.49275e+06     0.591494
      0.00000      1.86693 -3.12975e+06      2.79821
      0.00000      1.86695      124613.    -0.406089
      0.00000      1.86696     -527218.      1.77478
      0.00000      1.86697 -1.14046e+06      1.83952
      0.00000      1.86699      130889.    -0.219228
      0.00000      1.86700      452943.     0.380005
      0.00000      1.86702 -2.92587e+06      1.86264
      0.00000      1.86703     -796988.     0.745499
      0.00000      1.86704      339363.    -0.535704
      0.00000      1.86706      659425.     -1.28634
      0.00000      1.86707  2.25989e+06     -2.22522
      0.00000      1.86709  1.43496e+06     0.755136
      0.00000      1.86710      219840.     0.183759
      0.00000      1.86711 -1.37917e+06     -2.89502
      0.00000      1.86713     -377072.     -2.02816
      0.00000      1.86714  1.02693e+06      1.43522
      0.00000      1.86716  2.94868e+06      3.69453
      0.00000      1.86717 -3.97338e+06     0.495730
      0.00000      1.86719 -1.25308e+06      2.08677
      0.00000      1.86720 -2.62721e+06      2.81998
