# Generated by G. Mace on Wed Nov 21 21:18:02 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86629         -NaN         -NaN
      0.00000      1.86630      337744.     -1.05498
      0.00000      1.86631      14416.0    0.0111508
      0.00000      1.86633 -6.99821e+06     -2.84429
      0.00000      1.86634 -1.35490e+06     -3.15359
      0.00000      1.86636      153578.     0.507415
      0.00000      1.86637      669038.    -0.923344
      0.00000      1.86638  1.04732e+07     -2.57755
      0.00000      1.86640     -57921.2    -0.189510
      0.00000      1.86641 -1.70303e+06     -1.56287
      0.00000      1.86643  1.44940e+06    -0.980918
      0.00000      1.86644     -646753.     -3.25942
      0.00000      1.86646     -384104.     -1.17922
      0.00000      1.86647     -518323.     -1.01583
      0.00000      1.86648  7.32957e+06      3.10323
      0.00000      1.86650  4.62693e+06      2.41730
      0.00000      1.86651  5.30355e+06     0.888239
      0.00000      1.86653  2.53152e+06    -0.239708
      0.00000      1.86654      218189.     0.858124
      0.00000      1.86655 -1.14922e+06    -0.490064
      0.00000      1.86657 -2.78066e+07     0.543224
      0.00000      1.86658  3.76157e+06      2.10530
      0.00000      1.86660  1.67827e+07      1.66055
      0.00000      1.86661 -5.91048e+06      1.33861
      0.00000      1.86662 -1.22734e+07     -1.65041
      0.00000      1.86664 -3.49425e+06     -1.32386
      0.00000      1.86665      290332.    -0.642007
      0.00000      1.86667  2.08006e+06     0.176010
      0.00000      1.86668      227068.    -0.173920
      0.00000      1.86670  5.96225e+07    -0.269397
      0.00000      1.86671      14039.9    0.0545959
      0.00000      1.86672      665501.      2.30382
      0.00000      1.86674 -1.21937e+07      2.06320
      0.00000      1.86675      184629.     0.149395
      0.00000      1.86677     -193860.    -0.287113
      0.00000      1.86678 -1.32866e+06     -1.78721
      0.00000      1.86679  3.78578e+06    -0.931335
      0.00000      1.86681  5.42431e+06     -1.15938
      0.00000      1.86682  3.33954e+06     -1.01125
      0.00000      1.86684  2.01757e+06     -2.13616
      0.00000      1.86685      358952.     0.251786
      0.00000      1.86686 -1.03872e+07      1.80236
      0.00000      1.86688     -703169.    -0.778243
      0.00000      1.86689  1.15162e+06      2.10320
      0.00000      1.86691  1.73412e+06      1.91093
      0.00000      1.86692      49567.0    -0.134142
      0.00000      1.86694     -225622.     0.398008
      0.00000      1.86695      236247.   -0.0665648
      0.00000      1.86696     -520391.   -0.0207864
      0.00000      1.86698      872157.    -0.546905
      0.00000      1.86699  9.73886e+06     -1.57535
      0.00000      1.86701 -1.91608e+06     -1.11022
      0.00000      1.86702     -247334.   -0.0513353
      0.00000      1.86703     -13969.6 -0.000763985
      0.00000      1.86705 -1.23570e+06    -0.941907
      0.00000      1.86706     -70403.3    -0.114832
      0.00000      1.86708 -3.39023e+06      2.11754
      0.00000      1.86709  3.65447e+06      1.76097
      0.00000      1.86710  3.49139e+06     -2.79324
      0.00000      1.86712      937130.      1.66118
      0.00000      1.86713 -3.94798e+06      2.97884
      0.00000      1.86715     -889634.     -1.27172
      0.00000      1.86716     -965137.     -1.60151
      0.00000      1.86717  5.71746e+06     -1.82709
      0.00000      1.86719  2.73749e+06      1.39291
      0.00000      1.86720 -1.12191e+06     0.401613
      0.00000      1.86722 -1.13927e+06      1.47595
      0.00000      1.86723 -1.50655e+06      1.25449
      0.00000      1.86724  3.89231e+06      3.37830
      0.00000      1.86726  5.19470e+06      3.38445
      0.00000      1.86727  1.58604e+06      2.41302
      0.00000      1.86729  1.63764e+06      2.06585
      0.00000      1.86730      858658.      1.09280
      0.00000      1.86732      151117.     0.241648
      0.00000      1.86733     -611764.   -0.0833969
      0.00000      1.86734 -2.70895e+06     -1.49752
      0.00000      1.86736     -481228.    -0.277467
      0.00000      1.86737     -498101.    -0.759155
      0.00000      1.86739      172155.     0.480882
      0.00000      1.86740     -224644.    -0.412559
      0.00000      1.86741      729893.     0.136192
      0.00000      1.86743  9.02455e+06      1.18811
      0.00000      1.86744  2.81108e+06     0.862201
      0.00000      1.86746     -81530.6   -0.0784740
      0.00000      1.86747     -354425.    -0.199559
      0.00000      1.86748 -3.76833e+06      1.48462
      0.00000      1.86750  1.36109e+06      1.73202
      0.00000      1.86751     -147979.    -0.358616
      0.00000      1.86753      547539.    -0.473313
      0.00000      1.86754 -1.53837e+06     0.770282
      0.00000      1.86755     -393912.    -0.277078
      0.00000      1.86757  5.63511e+06      1.63785
      0.00000      1.86758  5.95809e+06      2.06030
      0.00000      1.86760  1.61954e+06      3.25167
