# Generated by G. Mace on Tue Nov 20 20:46:06 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86630         -NaN         -NaN
      0.00000      1.86631     -144390.      5.29607
      0.00000      1.86632 -1.55623e+06     -1.68621
      0.00000      1.86634  2.18877e+06    -0.700748
      0.00000      1.86635  2.63649e+06    -0.304341
      0.00000      1.86637      420664.     0.356245
      0.00000      1.86638  3.36361e+06      2.60150
      0.00000      1.86639 -1.19566e+06      1.35369
      0.00000      1.86641  3.71847e+06      2.04175
      0.00000      1.86642  1.07821e+06     0.692416
      0.00000      1.86644 -1.38704e+07      1.26282
      0.00000      1.86645 -1.61045e+06      1.10165
      0.00000      1.86647      228446.    -0.119970
      0.00000      1.86648      808250.     0.597866
      0.00000      1.86649      767797.     -1.02057
      0.00000      1.86651  6.24703e+06     -1.86791
      0.00000      1.86652  3.49677e+06      1.02372
      0.00000      1.86654  1.01834e+06      1.19854
      0.00000      1.86655  1.53892e+06      1.47777
      0.00000      1.86656 -6.54841e+06     0.460697
      0.00000      1.86658  1.33474e+07      1.17137
      0.00000      1.86659     -477778.     0.660262
      0.00000      1.86661  5.33188e+06    -0.695711
      0.00000      1.86662 -1.68997e+07     -2.85365
      0.00000      1.86663  4.54107e+06     -2.60628
      0.00000      1.86665     -619639.     0.855562
      0.00000      1.86666 -2.59465e+07    -0.266238
      0.00000      1.86668 -4.93861e+06     -1.69090
      0.00000      1.86669  1.65658e+06      1.60498
      0.00000      1.86670  3.82051e+06      1.97331
      0.00000      1.86672  3.10796e+06      3.93281
      0.00000      1.86673  1.49536e+07      7.77984
      0.00000      1.86675  5.42323e+06      1.47572
      0.00000      1.86676 -1.08213e+07      4.78379
      0.00000      1.86678 -1.14826e+06     0.243602
      0.00000      1.86679  2.90971e+06    -0.320062
      0.00000      1.86680  1.11920e+06      1.13063
      0.00000      1.86682 -5.01848e+07      1.07911
      0.00000      1.86683 -1.33004e+06     0.691745
      0.00000      1.86685     -132823.     0.291037
      0.00000      1.86686  5.06476e+06     -2.75827
      0.00000      1.86687 -9.09672e+06     -1.26384
      0.00000      1.86689  2.88899e+06     -4.06158
      0.00000      1.86690      994141.     0.583892
      0.00000      1.86692     -878749.    -0.721409
      0.00000      1.86693  2.65984e+06     -1.80127
      0.00000      1.86694 -3.10387e+06      1.71622
      0.00000      1.86696      952588.     -1.14207
      0.00000      1.86697 -2.52695e+06      1.66164
      0.00000      1.86699     -231355.     0.254834
      0.00000      1.86700  3.44124e+06     0.696388
      0.00000      1.86701      985471.     0.766071
      0.00000      1.86703 -1.15361e+06    -0.536965
      0.00000      1.86704  1.23225e+06    -0.707764
      0.00000      1.86706     -207724.     0.342676
      0.00000      1.86707  1.08724e+06     -1.20929
      0.00000      1.86708  7.30132e+07     -3.57996
      0.00000      1.86710      889290.     -1.17096
      0.00000      1.86711  2.95831e+06     -2.07055
      0.00000      1.86713  1.85298e+07     -1.82183
      0.00000      1.86714  4.14860e+06     -3.31542
      0.00000      1.86716  9.12007e+06     -1.12177
      0.00000      1.86717  4.28301e+06    -0.599232
      0.00000      1.86718  1.39665e+06     -2.78945
      0.00000      1.86720 -3.95497e+06     -3.54453
      0.00000      1.86721     -499840.    -0.255690
      0.00000      1.86723      384754.    -0.321670
      0.00000      1.86724  3.97748e+06     -2.01060
      0.00000      1.86725  2.02629e+07     -2.06761
      0.00000      1.86727 -3.67852e+06     -1.54250
      0.00000      1.86728 -1.58002e+07     -1.10503
      0.00000      1.86730  2.51508e+06     -1.11238
      0.00000      1.86731 -1.45711e+06    -0.262010
      0.00000      1.86732  2.41423e+06      2.99400
      0.00000      1.86734 -1.86946e+06      1.48220
      0.00000      1.86735 -1.07079e+06      1.82441
      0.00000      1.86737 -1.64103e+07      4.10975
      0.00000      1.86738 -5.98941e+06      1.28791
      0.00000      1.86739 -4.91933e+07     -3.06191
      0.00000      1.86741  4.13598e+07     -3.54447
      0.00000      1.86742  9.70346e+06     -4.16909
      0.00000      1.86744      876095.    -0.921037
      0.00000      1.86745  2.29285e+06      1.04370
      0.00000      1.86746      374924.   -0.0482823
      0.00000      1.86748  2.64486e+06     -1.01614
      0.00000      1.86749 -4.08080e+06      2.00700
      0.00000      1.86751  1.14085e+06     0.733590
      0.00000      1.86752      794980.    -0.851124
      0.00000      1.86753     -433817.      1.17392
      0.00000      1.86755 -1.98647e+06      2.86982
      0.00000      1.86756 -1.61293e+06      2.40181
      0.00000      1.86758 -1.33740e+06      2.26123
      0.00000      1.86759     -980071.      1.86568
      0.00000      1.86760 -1.00505e+06     0.399764
      0.00000      1.86762     -384885.     0.265257
      0.00000      1.86763      884733.    -0.243172
      0.00000      1.86765 -1.94184e+07     0.333615
      0.00000      1.86766      702585.     0.634367
      0.00000      1.86768 -2.63592e+06      1.50268
      0.00000      1.86769  6.94158e+06    -0.981978
      0.00000      1.86770  3.45942e+06     -1.21382
      0.00000      1.86772      530280.     0.985959
      0.00000      1.86773  2.66313e+06      3.76062
      0.00000      1.86775 -6.14688e+06     0.899813
      0.00000      1.86776      929875.     -1.29560
      0.00000      1.86777     -842665.      1.21745
      0.00000      1.86779     -104803.     0.138029
      0.00000      1.86780 -1.74226e+06      2.38294
      0.00000      1.86782 -1.07576e+06      2.25940
      0.00000      1.86783     -777514.      1.24078
      0.00000      1.86784 -1.13554e+06      2.11916
      0.00000      1.86786     -139066.     0.150111
      0.00000      1.86787      185774.    -0.187324
      0.00000      1.86789      361369.    -0.507900
      0.00000      1.86790 -6.84328e+06      4.31105
      0.00000      1.86791  1.58844e+06     0.907451
      0.00000      1.86793      474720.     0.348222
      0.00000      1.86794  4.28465e+06      2.11674
      0.00000      1.86796      430232.    -0.173805
      0.00000      1.86797 -3.09614e+06     -2.82805
      0.00000      1.86798  3.33391e+06     -3.66769
      0.00000      1.86800      439903.    -0.671093
