# Generated by G. Mace on Fri Nov 23 16:28:07 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86628         -NaN         -NaN
      0.00000      1.86629     -439794.    -0.510356
      0.00000      1.86630  7.07709e+06      1.62604
      0.00000      1.86632 -1.87118e+06      1.07787
      0.00000      1.86633 -1.17426e+06      1.51138
      0.00000      1.86635 -2.48728e+06     0.528364
      0.00000      1.86636      482377.      1.30028
      0.00000      1.86637      55056.1     0.121621
      0.00000      1.86639 -1.33286e+06     -2.91981
      0.00000      1.86640  1.23098e+06     0.685157
      0.00000      1.86642 -4.00306e+07      2.34385
      0.00000      1.86643 -1.14421e+06     0.983629
      0.00000      1.86645     -583842.    -0.309934
      0.00000      1.86646     -27527.5   -0.0178245
      0.00000      1.86647 -1.58396e+06     -2.12563
      0.00000      1.86649      192025.   -0.0951348
      0.00000      1.86650     -990669.     0.904691
      0.00000      1.86652 -1.75136e+06     0.969388
      0.00000      1.86653      30359.8   -0.0274161
      0.00000      1.86654     -681524.     -1.43069
      0.00000      1.86656     -677908.     -1.02830
      0.00000      1.86657 -1.25291e+06     -1.59281
      0.00000      1.86659      487982.      1.02432
      0.00000      1.86660      677473.     0.901422
      0.00000      1.86662     -883082.     0.320432
      0.00000      1.86663      63678.5    -0.189808
      0.00000      1.86664      319201.    -0.527953
      0.00000      1.86666      391139.     0.561216
      0.00000      1.86667      216433.     0.422178
      0.00000      1.86669      375997.    -0.323277
      0.00000      1.86670 -2.75226e+06      1.39325
      0.00000      1.86671  2.92797e+06     -1.65692
      0.00000      1.86673      377704.    -0.444058
      0.00000      1.86674     -420855.     0.924480
      0.00000      1.86676     -658088.    0.0774678
      0.00000      1.86677  1.64608e+06     0.736643
      0.00000      1.86679  1.71527e+06      1.84965
      0.00000      1.86680     -457044.    -0.135294
      0.00000      1.86681     -632698.    -0.502237
      0.00000      1.86683  1.32869e+06      2.46687
      0.00000      1.86684  3.27572e+07      5.03363
      0.00000      1.86686 -4.03604e+06      1.96585
      0.00000      1.86687  1.82253e+06     -1.93118
      0.00000      1.86688 -1.39894e+07     -3.78814
      0.00000      1.86690  5.41710e+06    -0.649159
      0.00000      1.86691      845905.     0.634486
      0.00000      1.86693  9.47463e+06      1.75350
      0.00000      1.86694 -1.58381e+06    -0.499198
      0.00000      1.86696     -931933.    -0.836642
      0.00000      1.86697  4.67257e+06     0.578177
      0.00000      1.86698 -1.82187e+06     -1.25290
      0.00000      1.86700     -782341.     -1.61612
      0.00000      1.86701     -623197.     -1.25756
      0.00000      1.86703 -1.49461e+06      1.08584
      0.00000      1.86704  1.81388e+06    -0.889804
      0.00000      1.86705 -1.03402e+06     -2.66953
      0.00000      1.86707  4.07385e+07     -3.56822
