# Generated by G. Mace on Mon Nov 19 23:56:52 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.84746         -NaN         -NaN
      0.00000      1.84747         -NaN         -NaN
      0.00000      1.84748         -NaN         -NaN
      0.00000      1.84750         -NaN         -NaN
      0.00000      1.84751         -NaN         -NaN
      0.00000      1.84752         -NaN         -NaN
      0.00000      1.84754         -NaN         -NaN
      0.00000      1.84755         -NaN         -NaN
      0.00000      1.84756         -NaN         -NaN
      0.00000      1.84758         -NaN         -NaN
      0.00000      1.84759         -NaN         -NaN
      0.00000      1.84760         -NaN         -NaN
      0.00000      1.84762         -NaN         -NaN
      0.00000      1.84763         -NaN         -NaN
      0.00000      1.84764         -NaN         -NaN
      0.00000      1.84766         -NaN         -NaN
      0.00000      1.84767         -NaN         -NaN
      0.00000      1.84768         -NaN         -NaN
      0.00000      1.84770         -NaN         -NaN
      0.00000      1.84771         -NaN         -NaN
      0.00000      1.84772         -NaN         -NaN
      0.00000      1.84774         -NaN         -NaN
      0.00000      1.84775         -NaN         -NaN
      0.00000      1.84776         -NaN         -NaN
      0.00000      1.84778         -NaN         -NaN
      0.00000      1.84779         -NaN         -NaN
      0.00000      1.84780         -NaN         -NaN
      0.00000      1.84782         -NaN         -NaN
      0.00000      1.84783         -NaN         -NaN
      0.00000      1.84784         -NaN         -NaN
      0.00000      1.84786         -NaN         -NaN
      0.00000      1.84787         -NaN         -NaN
      0.00000      1.84788         -NaN         -NaN
      0.00000      1.84790         -NaN         -NaN
      0.00000      1.84791         -NaN         -NaN
      0.00000      1.84792         -NaN         -NaN
      0.00000      1.84794         -NaN         -NaN
      0.00000      1.84795         -NaN         -NaN
      0.00000      1.84796         -NaN         -NaN
      0.00000      1.84798         -NaN         -NaN
      0.00000      1.84799         -NaN         -NaN
      0.00000      1.84800         -NaN         -NaN
      0.00000      1.84802         -NaN         -NaN
      0.00000      1.84803         -NaN         -NaN
      0.00000      1.84804         -NaN         -NaN
      0.00000      1.84806         -NaN         -NaN
      0.00000      1.84807         -NaN         -NaN
      0.00000      1.84808         -NaN         -NaN
      0.00000      1.84810         -NaN         -NaN
      0.00000      1.84811         -NaN         -NaN
      0.00000      1.84812         -NaN         -NaN
      0.00000      1.84814         -NaN         -NaN
      0.00000      1.84815         -NaN         -NaN
      0.00000      1.84816         -NaN         -NaN
      0.00000      1.84818         -NaN         -NaN
      0.00000      1.84819         -NaN         -NaN
      0.00000      1.84820         -NaN         -NaN
      0.00000      1.84822         -NaN         -NaN
      0.00000      1.84823         -NaN         -NaN
      0.00000      1.84824         -NaN         -NaN
      0.00000      1.84826         -NaN         -NaN
      0.00000      1.84827         -NaN         -NaN
      0.00000      1.84828         -NaN         -NaN
      0.00000      1.84830         -NaN         -NaN
      0.00000      1.84831         -NaN         -NaN
      0.00000      1.84832         -NaN         -NaN
      0.00000      1.84834         -NaN         -NaN
      0.00000      1.84835         -NaN         -NaN
      0.00000      1.84836         -NaN         -NaN
      0.00000      1.84838         -NaN         -NaN
      0.00000      1.84839         -NaN         -NaN
      0.00000      1.84840         -NaN         -NaN
      0.00000      1.84842         -NaN         -NaN
      0.00000      1.84843         -NaN         -NaN
      0.00000      1.84844         -NaN         -NaN
      0.00000      1.84846         -NaN         -NaN
      0.00000      1.84847         -NaN         -NaN
      0.00000      1.84848         -NaN         -NaN
