# Generated by G. Mace on Tue Nov 20 22:30:56 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.84748         -NaN         -NaN
      0.00000      1.84749         -NaN         -NaN
      0.00000      1.84750         -NaN         -NaN
      0.00000      1.84752         -NaN         -NaN
      0.00000      1.84753         -NaN         -NaN
      0.00000      1.84754         -NaN         -NaN
      0.00000      1.84756         -NaN         -NaN
      0.00000      1.84757         -NaN         -NaN
      0.00000      1.84758         -NaN         -NaN
      0.00000      1.84760         -NaN         -NaN
      0.00000      1.84761         -NaN         -NaN
      0.00000      1.84762         -NaN         -NaN
      0.00000      1.84764         -NaN         -NaN
      0.00000      1.84765         -NaN         -NaN
      0.00000      1.84766         -NaN         -NaN
      0.00000      1.84768         -NaN         -NaN
      0.00000      1.84769         -NaN         -NaN
      0.00000      1.84770         -NaN         -NaN
      0.00000      1.84772         -NaN         -NaN
      0.00000      1.84773         -NaN         -NaN
      0.00000      1.84774         -NaN         -NaN
      0.00000      1.84776         -NaN         -NaN
      0.00000      1.84777         -NaN         -NaN
      0.00000      1.84778         -NaN         -NaN
      0.00000      1.84780         -NaN         -NaN
      0.00000      1.84781         -NaN         -NaN
      0.00000      1.84782         -NaN         -NaN
      0.00000      1.84783         -NaN         -NaN
      0.00000      1.84785         -NaN         -NaN
      0.00000      1.84786         -NaN         -NaN
      0.00000      1.84787         -NaN         -NaN
      0.00000      1.84789         -NaN         -NaN
      0.00000      1.84790         -NaN         -NaN
      0.00000      1.84791         -NaN         -NaN
      0.00000      1.84793         -NaN         -NaN
      0.00000      1.84794         -NaN         -NaN
      0.00000      1.84795         -NaN         -NaN
      0.00000      1.84797         -NaN         -NaN
      0.00000      1.84798         -NaN         -NaN
      0.00000      1.84799         -NaN         -NaN
      0.00000      1.84801         -NaN         -NaN
      0.00000      1.84802         -NaN         -NaN
      0.00000      1.84803         -NaN         -NaN
      0.00000      1.84805         -NaN         -NaN
      0.00000      1.84806         -NaN         -NaN
      0.00000      1.84807         -NaN         -NaN
      0.00000      1.84809         -NaN         -NaN
      0.00000      1.84810         -NaN         -NaN
      0.00000      1.84811         -NaN         -NaN
      0.00000      1.84813         -NaN         -NaN
      0.00000      1.84814         -NaN         -NaN
      0.00000      1.84815         -NaN         -NaN
      0.00000      1.84817         -NaN         -NaN
      0.00000      1.84818         -NaN         -NaN
      0.00000      1.84819         -NaN         -NaN
      0.00000      1.84821         -NaN         -NaN
      0.00000      1.84822         -NaN         -NaN
      0.00000      1.84823         -NaN         -NaN
      0.00000      1.84825         -NaN         -NaN
      0.00000      1.84826         -NaN         -NaN
      0.00000      1.84827         -NaN         -NaN
      0.00000      1.84829         -NaN         -NaN
      0.00000      1.84830         -NaN         -NaN
      0.00000      1.84831         -NaN         -NaN
      0.00000      1.84833         -NaN         -NaN
      0.00000      1.84834         -NaN         -NaN
      0.00000      1.84835         -NaN         -NaN
      0.00000      1.84837         -NaN         -NaN
      0.00000      1.84838         -NaN         -NaN
      0.00000      1.84839         -NaN         -NaN
      0.00000      1.84841         -NaN         -NaN
      0.00000      1.84842         -NaN         -NaN
      0.00000      1.84843         -NaN         -NaN
      0.00000      1.84844         -NaN         -NaN
      0.00000      1.84846         -NaN         -NaN
      0.00000      1.84847         -NaN         -NaN
      0.00000      1.84848         -NaN         -NaN
      0.00000      1.84850         -NaN         -NaN
      0.00000      1.84851         -NaN         -NaN
      0.00000      1.84852         -NaN         -NaN
      0.00000      1.84854         -NaN         -NaN
      0.00000      1.84855         -NaN         -NaN
      0.00000      1.84856         -NaN         -NaN
      0.00000      1.84858         -NaN         -NaN
      0.00000      1.84859         -NaN         -NaN
      0.00000      1.84860         -NaN         -NaN
      0.00000      1.84862         -NaN         -NaN
      0.00000      1.84863         -NaN         -NaN
      0.00000      1.84864         -NaN         -NaN
      0.00000      1.84866         -NaN         -NaN
      0.00000      1.84867         -NaN         -NaN
      0.00000      1.84868         -NaN         -NaN
      0.00000      1.84870         -NaN         -NaN
      0.00000      1.84871         -NaN         -NaN
      0.00000      1.84872         -NaN         -NaN
      0.00000      1.84874         -NaN         -NaN
      0.00000      1.84875         -NaN         -NaN
      0.00000      1.84876         -NaN         -NaN
      0.00000      1.84878         -NaN         -NaN
      0.00000      1.84879         -NaN         -NaN
      0.00000      1.84880         -NaN         -NaN
      0.00000      1.84882         -NaN         -NaN
      0.00000      1.84883         -NaN         -NaN
      0.00000      1.84884         -NaN         -NaN
      0.00000      1.84886         -NaN         -NaN
      0.00000      1.84887         -NaN         -NaN
      0.00000      1.84888         -NaN         -NaN
      0.00000      1.84890         -NaN         -NaN
      0.00000      1.84891         -NaN         -NaN
      0.00000      1.84892         -NaN         -NaN
      0.00000      1.84894         -NaN         -NaN
      0.00000      1.84895         -NaN         -NaN
      0.00000      1.84896         -NaN         -NaN
      0.00000      1.84898         -NaN         -NaN
      0.00000      1.84899         -NaN         -NaN
      0.00000      1.84900         -NaN         -NaN
      0.00000      1.84902         -NaN         -NaN
      0.00000      1.84903         -NaN         -NaN
      0.00000      1.84904         -NaN         -NaN
      0.00000      1.84906         -NaN         -NaN
      0.00000      1.84907         -NaN         -NaN
      0.00000      1.84908         -NaN         -NaN
      0.00000      1.84910         -NaN         -NaN
      0.00000      1.84911         -NaN         -NaN
      0.00000      1.84912         -NaN         -NaN
      0.00000      1.84914         -NaN         -NaN
      0.00000      1.84915         -NaN         -NaN
      0.00000      1.84916         -NaN         -NaN
      0.00000      1.84918         -NaN         -NaN
      0.00000      1.84919         -NaN         -NaN
      0.00000      1.84920         -NaN         -NaN
      0.00000      1.84922         -NaN         -NaN
      0.00000      1.84923         -NaN         -NaN
      0.00000      1.84924         -NaN         -NaN
      0.00000      1.84926         -NaN         -NaN
      0.00000      1.84927         -NaN         -NaN
      0.00000      1.84928         -NaN         -NaN
      0.00000      1.84930         -NaN         -NaN
      0.00000      1.84931         -NaN         -NaN
      0.00000      1.84932         -NaN         -NaN
      0.00000      1.84934         -NaN         -NaN
      0.00000      1.84935         -NaN         -NaN
      0.00000      1.84936         -NaN         -NaN
      0.00000      1.84938         -NaN         -NaN
      0.00000      1.84939         -NaN         -NaN
      0.00000      1.84940         -NaN         -NaN
      0.00000      1.84942         -NaN         -NaN
      0.00000      1.84943         -NaN         -NaN
      0.00000      1.84944         -NaN         -NaN
      0.00000      1.84946         -NaN         -NaN
      0.00000      1.84947         -NaN         -NaN
      0.00000      1.84948         -NaN         -NaN
      0.00000      1.84950         -NaN         -NaN
      0.00000      1.84951         -NaN         -NaN
      0.00000      1.84952         -NaN         -NaN
      0.00000      1.84954         -NaN         -NaN
      0.00000      1.84955         -NaN         -NaN
      0.00000      1.84956         -NaN         -NaN
      0.00000      1.84958         -NaN         -NaN
      0.00000      1.84959         -NaN         -NaN
      0.00000      1.84960         -NaN         -NaN
      0.00000      1.84962         -NaN         -NaN
      0.00000      1.84963         -NaN         -NaN
      0.00000      1.84964         -NaN         -NaN
      0.00000      1.84966         -NaN         -NaN
      0.00000      1.84967         -NaN         -NaN
      0.00000      1.84968         -NaN         -NaN
      0.00000      1.84970         -NaN         -NaN
      0.00000      1.84971         -NaN         -NaN
      0.00000      1.84972         -NaN         -NaN
      0.00000      1.84974         -NaN         -NaN
      0.00000      1.84975         -NaN         -NaN
      0.00000      1.84976         -NaN         -NaN
      0.00000      1.84978         -NaN         -NaN
      0.00000      1.84979         -NaN         -NaN
      0.00000      1.84980         -NaN         -NaN
      0.00000      1.84982         -NaN         -NaN
      0.00000      1.84983         -NaN         -NaN
      0.00000      1.84985         -NaN         -NaN
      0.00000      1.84986         -NaN         -NaN
      0.00000      1.84987         -NaN         -NaN
      0.00000      1.84989         -NaN         -NaN
      0.00000      1.84990         -NaN         -NaN
      0.00000      1.84991         -NaN         -NaN
      0.00000      1.84993         -NaN         -NaN
      0.00000      1.84994         -NaN         -NaN
      0.00000      1.84995         -NaN         -NaN
      0.00000      1.84997         -NaN         -NaN
      0.00000      1.84998         -NaN         -NaN
      0.00000      1.84999         -NaN         -NaN
      0.00000      1.85001         -NaN         -NaN
      0.00000      1.85002         -NaN         -NaN
      0.00000      1.85003         -NaN         -NaN
      0.00000      1.85005         -NaN         -NaN
      0.00000      1.85006         -NaN         -NaN
      0.00000      1.85007         -NaN         -NaN
      0.00000      1.85009         -NaN         -NaN
      0.00000      1.85010         -NaN         -NaN
      0.00000      1.85011         -NaN         -NaN
      0.00000      1.85013         -NaN         -NaN
      0.00000      1.85014         -NaN         -NaN
      0.00000      1.85015         -NaN         -NaN
      0.00000      1.85017         -NaN         -NaN
      0.00000      1.85018         -NaN         -NaN
      0.00000      1.85019         -NaN         -NaN
      0.00000      1.85021         -NaN         -NaN
      0.00000      1.85022         -NaN         -NaN
      0.00000      1.85023         -NaN         -NaN
      0.00000      1.85025         -NaN         -NaN
      0.00000      1.85026         -NaN         -NaN
      0.00000      1.85027         -NaN         -NaN
      0.00000      1.85029         -NaN         -NaN
      0.00000      1.85030         -NaN         -NaN
      0.00000      1.85031         -NaN         -NaN
      0.00000      1.85033         -NaN         -NaN
      0.00000      1.85034         -NaN         -NaN
      0.00000      1.85035         -NaN         -NaN
      0.00000      1.85037         -NaN         -NaN
      0.00000      1.85038         -NaN         -NaN
      0.00000      1.85039         -NaN         -NaN
      0.00000      1.85041         -NaN         -NaN
      0.00000      1.85042         -NaN         -NaN
      0.00000      1.85043         -NaN         -NaN
      0.00000      1.85045         -NaN         -NaN
      0.00000      1.85046         -NaN         -NaN
      0.00000      1.85047         -NaN         -NaN
      0.00000      1.85049         -NaN         -NaN
      0.00000      1.85050         -NaN         -NaN
      0.00000      1.85051         -NaN         -NaN
      0.00000      1.85053         -NaN         -NaN
      0.00000      1.85054         -NaN         -NaN
      0.00000      1.85055         -NaN         -NaN
      0.00000      1.85057         -NaN         -NaN
      0.00000      1.85058         -NaN         -NaN
      0.00000      1.85059         -NaN         -NaN
      0.00000      1.85061         -NaN         -NaN
      0.00000      1.85062         -NaN         -NaN
      0.00000      1.85063         -NaN         -NaN
      0.00000      1.85065         -NaN         -NaN
      0.00000      1.85066         -NaN         -NaN
      0.00000      1.85067         -NaN         -NaN
      0.00000      1.85069         -NaN         -NaN
      0.00000      1.85070         -NaN         -NaN
      0.00000      1.85072         -NaN         -NaN
