# Generated by G. Mace on Tue Jan 29 14:32:34 2019
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86626         -NaN         -NaN
      0.00000      1.86628  3.61967e+06     -2.06381
      0.00000      1.86629 -3.37805e+06     0.637538
      0.00000      1.86631     -596368.      2.04982
      0.00000      1.86632     -299348.     0.582352
      0.00000      1.86634  1.27305e+07     -1.06799
      0.00000      1.86635 -2.43037e+06     0.435194
      0.00000      1.86636     -40802.7    0.0831776
      0.00000      1.86638 -1.58892e+06     -2.76577
      0.00000      1.86639 -9.43269e+06     -4.39877
      0.00000      1.86641  4.91072e+06     -3.17369
      0.00000      1.86642     -721023.     0.913882
      0.00000      1.86644     -617035.     0.750633
      0.00000      1.86645  1.63267e+06     -1.23714
      0.00000      1.86646      768587.     0.115676
      0.00000      1.86648  2.08805e+06      1.92835
      0.00000      1.86649  4.36592e+06      1.69553
      0.00000      1.86651 -2.67189e+06      1.61574
      0.00000      1.86652 -2.79957e+06      1.32876
      0.00000      1.86654 -1.36175e+06    -0.755554
      0.00000      1.86655 -2.81593e+06      1.97515
      0.00000      1.86656 -1.64543e+06      2.58313
      0.00000      1.86658      110232.    -0.155678
      0.00000      1.86659     -429428.    -0.657679
      0.00000      1.86661     -160866.    -0.427199
      0.00000      1.86662      765425.     -1.30731
      0.00000      1.86664 -7.46926e+06     -2.07752
      0.00000      1.86665  3.61126e+06      1.94698
      0.00000      1.86666 -2.22379e+06      1.63025
      0.00000      1.86668      60795.3    0.0572688
      0.00000      1.86669  2.35173e+06      1.74260
      0.00000      1.86671 -1.51425e+07      2.56853
      0.00000      1.86672     -453162.    -0.476179
      0.00000      1.86673  1.70735e+06     -1.80110
      0.00000      1.86675      855291.    -0.495642
      0.00000      1.86676  4.57277e+07     -1.32571
      0.00000      1.86678      322623.     0.519810
      0.00000      1.86679      335234.     0.752428
      0.00000      1.86681 -1.10573e+06     -1.15572
      0.00000      1.86682 -1.13003e+06     -2.50645
      0.00000      1.86683 -7.20300e+07     -2.15555
      0.00000      1.86685 -1.85746e+06     0.648871
      0.00000      1.86686 -1.80838e+06     -1.39828
      0.00000      1.86688      148456.     0.156060
      0.00000      1.86689 -3.21829e+06      1.16525
      0.00000      1.86691  1.67023e+06    -0.310590
      0.00000      1.86692 -1.78824e+07      2.44774
      0.00000      1.86693 -8.96429e+06      1.90884
      0.00000      1.86695     -735761.     0.290175
      0.00000      1.86696      243691.    -0.394439
      0.00000      1.86698  2.89327e+06      1.38420
      0.00000      1.86699     -710097.      1.82423
      0.00000      1.86700     -905060.    -0.609861
      0.00000      1.86702 -6.08978e+07     -1.75355
      0.00000      1.86703 -1.67628e+06     0.548929
      0.00000      1.86705      388128.     0.513095
      0.00000      1.86706  2.82712e+06    -0.931180
      0.00000      1.86708 -1.66090e+06     -3.42858
      0.00000      1.86709  7.04598e+06      1.06813
      0.00000      1.86710 -1.02429e+06      2.30306
      0.00000      1.86712  2.32899e+06     -1.69673
      0.00000      1.86713 -1.68084e+06     -1.17817
      0.00000      1.86715  5.98027e+08     -1.37815
      0.00000      1.86716 -1.53264e+06      2.08882
      0.00000      1.86717 -3.84929e+06      3.06478
      0.00000      1.86719  1.65937e+06      1.64187
      0.00000      1.86720      246574.     0.526586
      0.00000      1.86722  1.90482e+06     0.985454
      0.00000      1.86723  3.28400e+06     -1.83153
      0.00000      1.86725     -536123.    -0.203196
      0.00000      1.86726 -1.19281e+06      1.59481
      0.00000      1.86727 -1.47209e+07     -2.30690
      0.00000      1.86729 -7.55720e+06     -1.06210
      0.00000      1.86730  2.08069e+06      1.46308
      0.00000      1.86732     -87456.3     0.175457
      0.00000      1.86733 -3.25879e+06      2.54117
      0.00000      1.86734     -619224.    -0.494622
      0.00000      1.86736     -182909.     0.386060
      0.00000      1.86737  1.18786e+06    -0.655795
      0.00000      1.86739     -437702.     0.125592
      0.00000      1.86740 -1.24220e+06      1.41312
      0.00000      1.86742     -732216.      1.32014
      0.00000      1.86743 -7.30005e+06      1.09775
      0.00000      1.86744 -2.29045e+06      1.03040
      0.00000      1.86746      477862.     0.505199
      0.00000      1.86747     -578320.    -0.232889
      0.00000      1.86749     -265402.   -0.0807178
      0.00000      1.86750     -11751.7    0.0309049
      0.00000      1.86751  1.14705e+07    -0.665229
      0.00000      1.86753 -1.53122e+06     -1.04270
      0.00000      1.86754     -705170.      1.30337
      0.00000      1.86756     -58767.2     0.120852
      0.00000      1.86757  1.60208e+06     -1.77730
      0.00000      1.86759      449428.    -0.466352
      0.00000      1.86760  1.90855e+06     -3.46641
      0.00000      1.86761 -5.50971e+06     -3.41635
      0.00000      1.86763     -147967.    -0.135431
      0.00000      1.86764  1.91427e+06     -2.23452
      0.00000      1.86766      484164.    -0.774643
      0.00000      1.86767      707055.     -1.59693
      0.00000      1.86768     -572970.      1.09610
      0.00000      1.86770      6279.89   -0.0133154
      0.00000      1.86771  4.97058e+06     -1.28017
      0.00000      1.86773  1.31998e+06    -0.652881
      0.00000      1.86774      230831.    -0.750662
      0.00000      1.86776     -620090.     0.895561
      0.00000      1.86777      227292.    -0.344202
      0.00000      1.86778  1.88418e+06     -1.59488
      0.00000      1.86780     -115902.     0.380097
      0.00000      1.86781      924700.     -2.06770
      0.00000      1.86783  1.52928e+06    -0.415360
      0.00000      1.86784      819369.     -2.84051
      0.00000      1.86785 -6.40380e+06      1.33440
      0.00000      1.86787  1.53433e+07     -5.43298
      0.00000      1.86788  2.68698e+06    -0.156113
      0.00000      1.86790      12587.8   -0.0340047
      0.00000      1.86791  2.45896e+06     -1.77777
      0.00000      1.86792     -477036.     0.900571
      0.00000      1.86794  7.59393e+06     -1.55301
      0.00000      1.86795 -5.96570e+06     0.793010
      0.00000      1.86797      832074.     0.488684
      0.00000      1.86798      687476.     0.603715
      0.00000      1.86800  6.71841e+06      1.76226
      0.00000      1.86801 -3.39895e+07     0.815617
      0.00000      1.86802  2.97149e+06     -1.65390
      0.00000      1.86804  3.23289e+07    -0.977347
      0.00000      1.86805      371648.     -1.25528
      0.00000      1.86807  1.31167e+06      2.81530
      0.00000      1.86808     -439166.      1.66151
      0.00000      1.86809     -329753.     0.394963
      0.00000      1.86811  2.90047e+06      2.96611
      0.00000      1.86812     -445984.     0.210994
      0.00000      1.86814 -2.69305e+06      2.82165
      0.00000      1.86815  1.67168e+06     -2.76333
      0.00000      1.86816     -250499.     0.648327
      0.00000      1.86818     -648787.      1.54572
      0.00000      1.86819 -6.39960e+06      3.99952
      0.00000      1.86821     -937047.      1.43417
      0.00000      1.86822 -2.96075e+06      2.90086
      0.00000      1.86823     -514669.      1.29226
      0.00000      1.86825 -3.74282e+06    -0.901030
      0.00000      1.86826  4.37232e+06     -2.11938
      0.00000      1.86828 -3.57704e+06      3.76007
      0.00000      1.86829      594552.    -0.304904
      0.00000      1.86831     -82448.7     0.144674
      0.00000      1.86832     -137448.    0.0919480
      0.00000      1.86833  2.18135e+06     -4.25376
      0.00000      1.86835     -24360.9    0.0542846
      0.00000      1.86836 -2.08605e+06      1.91552
      0.00000      1.86838 -3.35001e+06      2.48944
      0.00000      1.86839     -270286.     0.394334
      0.00000      1.86840     -424812.      1.63085
      0.00000      1.86842  1.17887e+06   -0.0844603
      0.00000      1.86843      80640.6    0.0674527
      0.00000      1.86845      585802.     0.463505
      0.00000      1.86846 -2.45006e+06      2.03554
      0.00000      1.86847      648985.     -1.44703
      0.00000      1.86849     -547951.      1.68240
      0.00000      1.86850     -42491.9     0.112645
      0.00000      1.86852     -853626.      1.68870
      0.00000      1.86853     -678383.      2.02730
      0.00000      1.86854  2.20218e+06    -0.164055
      0.00000      1.86856  3.42800e+06     -1.91876
      0.00000      1.86857     -792329.      2.83621
      0.00000      1.86859 -2.55242e+06      2.29030
      0.00000      1.86860  1.14018e+06     -2.72161
      0.00000      1.86861      920283.     -2.52733
      0.00000      1.86863      595544.     -2.00166
      0.00000      1.86864 -1.46538e+06     -2.06531
      0.00000      1.86866      115687.    -0.118546
      0.00000      1.86867  1.70151e+06     -2.33975
      0.00000      1.86868      479980.    -0.706029
      0.00000      1.86870      44075.9    0.0555437
      0.00000      1.86871      564216.    -0.783764
      0.00000      1.86873     -331014.      1.25642
      0.00000      1.86874     -758185.      3.41659
      0.00000      1.86875     -472734.      2.89114
      0.00000      1.86877  3.65659e+06      4.72029
      0.00000      1.86878  1.05727e+06      1.08615
      0.00000      1.86880     -766064.      3.15859
      0.00000      1.86881     -703555.     0.523528
      0.00000      1.86882     -80713.3     0.296186
      0.00000      1.86884 -1.07181e+06      3.69381
      0.00000      1.86885 -1.49797e+06      3.10720
      0.00000      1.86887 -5.73466e+06      5.58339
      0.00000      1.86888  3.01912e+06      2.07429
      0.00000      1.86890      811974.      1.29527
      0.00000      1.86891  2.43050e+06     -2.04833
      0.00000      1.86892     -10473.1   0.00933718
      0.00000      1.86894  1.04899e+06     -2.67128
      0.00000      1.86895  3.55646e+06      3.75267
      0.00000      1.86897 -1.94507e+06      2.74445
      0.00000      1.86898  2.54388e+06    -0.276896
      0.00000      1.86899     -345559.      2.27782
      0.00000      1.86901 -1.05315e+06      2.11591
      0.00000      1.86902     -11664.2    0.0446532
      0.00000      1.86904     -461859.      1.03081
      0.00000      1.86905  2.68804e+06      1.71511
