# Generated by G. Mace on Wed Jan 23 11:41:42 2019
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86623         -NaN         -NaN
      0.00000      1.86625      921543.      1.18465
      0.00000      1.86626  1.39028e+06      1.41195
      0.00000      1.86627 -1.99218e+06    -0.969390
      0.00000      1.86629  1.00723e+06    -0.744978
      0.00000      1.86630      310583.     0.131885
      0.00000      1.86632  1.09310e+06    -0.740384
      0.00000      1.86633      573407.    -0.701460
      0.00000      1.86635 -2.78961e+06      1.26422
      0.00000      1.86636 -6.00593e+06     -1.28584
      0.00000      1.86638      424127.    -0.344600
      0.00000      1.86639 -8.04157e+06      1.33025
      0.00000      1.86640  4.83991e+06      2.69641
      0.00000      1.86642  1.51199e+06      2.07250
      0.00000      1.86643      205561.     0.230447
      0.00000      1.86645      49863.5    0.0549261
      0.00000      1.86646  1.61270e+06      1.10103
      0.00000      1.86648 -2.65499e+07     -1.89316
      0.00000      1.86649  8.38459e+06    -0.816813
      0.00000      1.86651      737359.     0.380391
      0.00000      1.86652      575650.   -0.0908870
      0.00000      1.86653 -1.77359e+06     0.444624
      0.00000      1.86655     -702240.     0.716589
      0.00000      1.86656      473367.    -0.632184
      0.00000      1.86658  6.82744e+06      2.17351
      0.00000      1.86659     -471008.     0.293940
      0.00000      1.86661 -3.13938e+06      2.32277
      0.00000      1.86662 -2.55133e+06      1.97383
      0.00000      1.86663  2.84565e+06     -1.07809
      0.00000      1.86665      505642.    -0.481952
      0.00000      1.86666 -1.31585e+06    -0.655172
      0.00000      1.86668 -1.03500e+06     -1.54363
      0.00000      1.86669      244631.     0.181691
      0.00000      1.86671 -1.84811e+06     -1.06511
      0.00000      1.86672 -7.32353e+06      1.77741
      0.00000      1.86674 -7.79543e+06     -1.61386
      0.00000      1.86675 -2.74798e+06     -2.35569
      0.00000      1.86676  2.52565e+06      1.00463
      0.00000      1.86678  3.48181e+06      1.64713
      0.00000      1.86679      788419.      1.28164
      0.00000      1.86681     -480401.     -1.50298
      0.00000      1.86682 -1.46118e+08     -2.95364
      0.00000      1.86684 -6.23389e+06     -2.96062
      0.00000      1.86685     -677530.    -0.418230
      0.00000      1.86686      626638.     0.783963
      0.00000      1.86688  7.10734e+06     -1.74492
      0.00000      1.86689      355588.    -0.161629
