# Generated by G. Mace on Sat Nov 24 17:38:23 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86634         -NaN         -NaN
      0.00000      1.86635      201821.     0.510213
      0.00000      1.86637  1.31936e+06      2.24219
      0.00000      1.86638  4.31037e+06      2.57763
      0.00000      1.86639  9.14956e+06    -0.920399
      0.00000      1.86641      51380.4    0.0542097
      0.00000      1.86642  1.12043e+06     0.337167
      0.00000      1.86644 -1.76922e+06     -1.34743
      0.00000      1.86645      727476.     0.829515
      0.00000      1.86646 -1.21225e+06     0.945099
      0.00000      1.86648      910980.     -1.56287
      0.00000      1.86649  1.49052e+06     -1.75010
      0.00000      1.86651     -32488.0    0.0777723
      0.00000      1.86652      445064.    -0.243784
      0.00000      1.86653 -1.57584e+06    -0.129747
      0.00000      1.86655  3.85833e+06     -2.53678
      0.00000      1.86656  4.12452e+06     -1.14574
      0.00000      1.86657 -3.34793e+06     -2.04983
      0.00000      1.86659      470089.    -0.361061
      0.00000      1.86660     -165649.   -0.0138486
      0.00000      1.86662  1.16727e+06     -1.41198
      0.00000      1.86663      138719.    -0.306851
      0.00000      1.86664  1.75439e+06     -1.01611
      0.00000      1.86666 -7.98787e+06      1.38169
      0.00000      1.86667      629696.     0.925481
      0.00000      1.86669  2.60175e+06      2.27024
      0.00000      1.86670 -2.09601e+07      1.88355
      0.00000      1.86671  1.85679e+06      3.59581
      0.00000      1.86673      473744.     0.862466
      0.00000      1.86674     -598738.    -0.373903
      0.00000      1.86676      779851.     0.829414
      0.00000      1.86677      792760.      1.00068
      0.00000      1.86678  3.23985e+06     -1.60138
      0.00000      1.86680     -471204.     0.850759
      0.00000      1.86681     -735834.     0.964440
      0.00000      1.86683 -1.04485e+06      1.10604
      0.00000      1.86684 -1.09208e+06      1.11798
      0.00000      1.86685  1.41568e+07      1.80242
      0.00000      1.86687  9.33735e+07      1.88580
      0.00000      1.86688  6.10797e+06      2.53978
      0.00000      1.86690     -391393.     0.508978
      0.00000      1.86691      769428.     0.640146
      0.00000      1.86692     -345734.    -0.684911
      0.00000      1.86694     -66670.8    -0.146180
      0.00000      1.86695  2.41453e+06    -0.819704
      0.00000      1.86697      462273.    -0.426454
      0.00000      1.86698      328370.    -0.187110
      0.00000      1.86699     -605206.      1.03312
      0.00000      1.86701 -1.14979e+06      1.55965
      0.00000      1.86702 -4.66448e+06      2.86933
      0.00000      1.86704  1.61658e+06      1.31980
      0.00000      1.86705      503620.    -0.230804
      0.00000      1.86706  6.65556e+06     -3.91214
      0.00000      1.86708  1.44884e+06     -1.67376
      0.00000      1.86709 -1.24041e+06      1.08182
      0.00000      1.86711     -240591.    -0.158840
      0.00000      1.86712 -2.95122e+06     0.269782
      0.00000      1.86713  1.02601e+07     -1.52059
      0.00000      1.86715 -4.09009e+07      4.06761
      0.00000      1.86716 -2.02154e+06      1.57876
      0.00000      1.86718      543310.     -1.13096
      0.00000      1.86719      404514.     -1.31128
      0.00000      1.86720      128322.    0.0317136
      0.00000      1.86722  1.56626e+06      1.64967
      0.00000      1.86723     -86063.3    0.0443245
      0.00000      1.86724 -5.03397e+06      2.20857
      0.00000      1.86726     -110158.     0.201995
      0.00000      1.86727  1.30477e+06     -2.07057
      0.00000      1.86729      753843.    -0.615082
      0.00000      1.86730 -2.62832e+06      1.05309
      0.00000      1.86731 -4.35486e+06     0.168941
      0.00000      1.86733  3.09809e+06      2.01686
      0.00000      1.86734 -1.72573e+06    -0.287782
      0.00000      1.86736 -1.57533e+06      2.06563
      0.00000      1.86737      152886.    -0.223819
      0.00000      1.86738  4.77536e+06     -1.48607
      0.00000      1.86740  4.66485e+06      2.68599
      0.00000      1.86741  9.91946e+07     0.359188
      0.00000      1.86743  1.35033e+06    -0.626202
      0.00000      1.86744 -1.79507e+06      2.41452
      0.00000      1.86745 -1.53429e+06      2.58231
      0.00000      1.86747  2.33259e+06     -1.05822
      0.00000      1.86748 -1.31485e+06     -2.74265
      0.00000      1.86750     -795399.     -1.37869
      0.00000      1.86751      181143.     0.219628
      0.00000      1.86752  2.76785e+07     -2.46598
      0.00000      1.86754  3.66873e+06     -1.05969
      0.00000      1.86755 -1.18630e+06    -0.281051
      0.00000      1.86757      630089.    -0.478031
      0.00000      1.86758      18629.9    0.0395642
      0.00000      1.86759  1.31245e+06      1.13056
      0.00000      1.86761  2.04210e+06      2.06611
      0.00000      1.86762     -311902.    -0.152358
      0.00000      1.86763 -1.44806e+06    -0.378854
      0.00000      1.86765 -7.79948e+07     -2.57433
      0.00000      1.86766     -916513.    -0.587241
      0.00000      1.86768  3.46396e+06      3.35866
      0.00000      1.86769  3.85178e+06      1.68087
      0.00000      1.86770     -762309.     -1.20417
      0.00000      1.86772 -1.32361e+06     -1.76641
      0.00000      1.86773     -474684.    -0.788902
      0.00000      1.86775      117409.     0.212615
      0.00000      1.86776      770821.    -0.738052
      0.00000      1.86777  4.02601e+06     -2.90482
      0.00000      1.86779  2.08614e+06     -1.64187
      0.00000      1.86780     -604026.    -0.764350
      0.00000      1.86782     -450031.     0.126448
      0.00000      1.86783      850775.     -1.14041
      0.00000      1.86784  2.79110e+06      1.88379
      0.00000      1.86786 -1.45900e+06    -0.553424
      0.00000      1.86787      37650.4    0.0416741
      0.00000      1.86789     -958221.    -0.888596
      0.00000      1.86790  1.65576e+06      2.49898
      0.00000      1.86791  2.23522e+06      2.16446
      0.00000      1.86793      304862.     0.433383
      0.00000      1.86794      62842.8     0.184269
      0.00000      1.86795 -1.14888e+06    -0.159132
      0.00000      1.86797  2.78098e+07    -0.547275
      0.00000      1.86798      592637.     0.882078
      0.00000      1.86800      776897.      1.18519
      0.00000      1.86801  1.47103e+06      1.81534
      0.00000      1.86802     -528564.    -0.928547
      0.00000      1.86804 -1.89256e+06     -2.34210
      0.00000      1.86805 -1.11755e+06     -2.69765
      0.00000      1.86807     -50842.1    -0.196627
      0.00000      1.86808      112484.     0.482046
      0.00000      1.86809     -835847.     -2.49065
      0.00000      1.86811  1.77366e+06     -2.43236
      0.00000      1.86812 -8.61283e+06     -1.53477
      0.00000      1.86814 -1.00857e+06    -0.235459
      0.00000      1.86815     -923053.     -1.68881
      0.00000      1.86816      973545.    -0.507856
      0.00000      1.86818  1.52207e+06      5.10796
      0.00000      1.86819  6.20244e+06      2.82787
      0.00000      1.86821      613400.    -0.906854
      0.00000      1.86822     -567590.     -1.41605
      0.00000      1.86823      31720.5    0.0317802
      0.00000      1.86825      203623.     0.278446
      0.00000      1.86826 -5.56595e+06     -5.16121
      0.00000      1.86827 -2.76583e+06     -2.03476
      0.00000      1.86829  2.23647e+06    -0.900195
      0.00000      1.86830  1.66911e+06     0.392404
      0.00000      1.86832      593122.     -2.17856
      0.00000      1.86833  2.88665e+06     -2.49784
      0.00000      1.86834  1.05123e+06      1.55964
      0.00000      1.86836  6.54693e+07      1.62225
      0.00000      1.86837      350542.     0.968280
      0.00000      1.86839     -243857.    -0.192163
      0.00000      1.86840     -730465.     0.887348
      0.00000      1.86841      652262.     -2.15468
      0.00000      1.86843 -2.70520e+06     -1.41005
      0.00000      1.86844      224783.    -0.178638
      0.00000      1.86846     -714168.     0.463973
      0.00000      1.86847     -130814.     0.144965
      0.00000      1.86848  5.25673e+06     -1.22623
      0.00000      1.86850 -3.55689e+06      1.54981
      0.00000      1.86851  1.07115e+06      1.65823
      0.00000      1.86852     -31010.9   -0.0884249
      0.00000      1.86854 -7.11494e+06     -3.49634
      0.00000      1.86855 -4.57560e+06     -3.77025
      0.00000      1.86857 -1.44179e+06     -1.31397
      0.00000      1.86858      38556.7    0.0817287
      0.00000      1.86859  3.48112e+07      1.47725
      0.00000      1.86861      937890.     0.368218
      0.00000      1.86862  1.16609e+06    -0.675609
      0.00000      1.86864     -607197.     0.541276
      0.00000      1.86865      763656.     -1.72632
      0.00000      1.86866 -4.33908e+06     -2.03382
      0.00000      1.86868 -7.94834e+07     0.373207
      0.00000      1.86869 -1.03785e+06     -1.43471
      0.00000      1.86870     -455680.    -0.892671
      0.00000      1.86872      137859.     0.290916
      0.00000      1.86873     -69789.6    -0.290976
      0.00000      1.86875 -2.72775e+06      2.11734
      0.00000      1.86876 -3.12685e+06      1.09980
      0.00000      1.86877      59480.3    0.0160364
      0.00000      1.86879  2.76320e+07      2.87839
      0.00000      1.86880 -2.30563e+06      1.21181
      0.00000      1.86882      419200.     0.881741
      0.00000      1.86883  1.87310e+06      1.22848
      0.00000      1.86884 -2.50801e+06     -1.01470
      0.00000      1.86886 -5.98339e+07    -0.763975
      0.00000      1.86887     -169553.    -0.530851
      0.00000      1.86888 -1.33057e+06     0.146787
      0.00000      1.86890      853678.      1.33835
      0.00000      1.86891 -4.56045e+06      2.64313
      0.00000      1.86893      635983.      1.11772
      0.00000      1.86894  1.69346e+06      1.93723
      0.00000      1.86895      731311.     0.941297
      0.00000      1.86897     -152149.    -0.391160
      0.00000      1.86898     -201619.    -0.296023
      0.00000      1.86900     -240507.     0.220079
      0.00000      1.86901      494884.      1.84094
      0.00000      1.86902     -308556.    -0.446029
      0.00000      1.86904      230238.     0.313830
      0.00000      1.86905      135648.     0.461331
      0.00000      1.86906 -1.58105e+06     -1.48262
      0.00000      1.86908      240872.     0.440957
      0.00000      1.86909      164237.     0.108050
      0.00000      1.86911 -1.35669e+06     -1.89704
      0.00000      1.86912      875969.     0.512093
      0.00000      1.86913  3.90796e+06      2.06132
      0.00000      1.86915     -871610.   -0.0815299
      0.00000      1.86916 -7.57870e+06      1.43032
      0.00000      1.86918     -544864.     0.414279
      0.00000      1.86919  1.11279e+07      2.21546
      0.00000      1.86920      337022.     0.981674
      0.00000      1.86922      401000.    -0.305077
      0.00000      1.86923 -4.82267e+06      1.65739
      0.00000      1.86924 -2.08688e+06      1.49810
      0.00000      1.86926  3.03233e+07      2.66672
      0.00000      1.86927  1.64100e+06      1.30354
      0.00000      1.86929  1.63445e+06      2.11924
      0.00000      1.86930      156554.     0.255648
      0.00000      1.86931  2.29176e+06      1.98814
      0.00000      1.86933      985244.      1.59201
      0.00000      1.86934  1.42176e+07      2.37660
      0.00000      1.86936      775135.     -1.03964
      0.00000      1.86937     -708056.     0.908073
      0.00000      1.86938 -1.63057e+06    -0.771712
      0.00000      1.86940 -1.42853e+06     -1.30516
      0.00000      1.86941  6.38787e+06      2.37287
      0.00000      1.86942  3.94466e+06      2.72328
      0.00000      1.86944 -3.09936e+06      2.44948
      0.00000      1.86945     -947618.      1.70900
      0.00000      1.86947 -1.41450e+06      2.81053
      0.00000      1.86948     -860397.      1.25241
      0.00000      1.86949     -835978.      1.66145
      0.00000      1.86951  7.60011e+06      1.42522
      0.00000      1.86952      727471.    -0.496330
      0.00000      1.86953  8.17164e+06     -1.03520
      0.00000      1.86955  4.14067e+06     -2.04542
      0.00000      1.86956 -7.48493e+07     -1.96198
      0.00000      1.86958      233399.     0.374897
      0.00000      1.86959      593439.     0.861984
      0.00000      1.86960 -1.18784e+06    -0.217174
      0.00000      1.86962  5.46010e+06      1.94915
      0.00000      1.86963     -904653.    -0.906817
      0.00000      1.86965     -323391.    -0.276174
      0.00000      1.86966 -1.39185e+07      2.81194
      0.00000      1.86967 -5.99047e+06    -0.637222
      0.00000      1.86969  1.11519e+06    -0.220462
      0.00000      1.86970 -8.74251e+07     -1.58351
      0.00000      1.86971     -65968.1    0.0458745
      0.00000      1.86973      233811.    -0.271143
      0.00000      1.86974     -614240.    -0.391953
      0.00000      1.86976      537294.    -0.313611
      0.00000      1.86977      266477.     0.101146
      0.00000      1.86978  9.86001e+06     -1.23466
      0.00000      1.86980      380161.    -0.540609
      0.00000      1.86981     -793151.      1.95422
      0.00000      1.86982 -2.38044e+06      1.98878
      0.00000      1.86984     -637281.      1.28415
      0.00000      1.86985     -261705.     0.401238
      0.00000      1.86987     -567562.      1.43262
      0.00000      1.86988 -1.37192e+06      1.18662
      0.00000      1.86989 -5.63950e+06      2.29760
      0.00000      1.86991     -173651.    -0.141091
      0.00000      1.86992  1.12488e+06     -1.26681
      0.00000      1.86993  9.75504e+07      2.59744
      0.00000      1.86995      789609.    -0.463755
      0.00000      1.86996  1.35752e+06     -1.76552
      0.00000      1.86998     -68017.4     0.172955
      0.00000      1.86999 -3.22536e+06     0.655606
      0.00000      1.87000 -1.03544e+06     0.799812
      0.00000      1.87002 -1.14467e+06      3.27225
      0.00000      1.87003      681537.    -0.795283
      0.00000      1.87005  1.14177e+06     0.551839
      0.00000      1.87006  1.93436e+06      1.89044
      0.00000      1.87007  2.12833e+07      1.29391
      0.00000      1.87009  4.13300e+06     0.606423
      0.00000      1.87010      798037.     -1.52812
      0.00000      1.87011      147223.    -0.272588
      0.00000      1.87013     -427859.     0.740510
      0.00000      1.87014     -699896.     0.969230
      0.00000      1.87016 -2.75490e+06      1.59856
      0.00000      1.87017      188089.    -0.415798
      0.00000      1.87018      133654.    -0.437966
      0.00000      1.87020  5.49716e+06     -1.80646
      0.00000      1.87021  2.79614e+06     -3.41566
      0.00000      1.87022      107750.    -0.218552
      0.00000      1.87024     -646296.     0.170479
      0.00000      1.87025 -8.72077e+06      1.93312
      0.00000      1.87027     -684878.     0.415768
      0.00000      1.87028     -685593.      1.81128
      0.00000      1.87029 -1.52274e+06      1.93303
      0.00000      1.87031     -348045.     0.670310
      0.00000      1.87032 -2.65395e+07     -1.27925
      0.00000      1.87033     -411288.      1.14608
      0.00000      1.87035     -490002.      1.22602
      0.00000      1.87036     -807200.      3.44631
      0.00000      1.87038      135155.   -0.0741034
      0.00000      1.87039  4.22096e+06      3.29436
      0.00000      1.87040      39704.1     0.104701
      0.00000      1.87042 -1.69237e+06     -1.08222
      0.00000      1.87043     -685631.    -0.382215
      0.00000      1.87044 -1.64588e+06     -2.46883
      0.00000      1.87046     -422362.    -0.780807
      0.00000      1.87047  6.31442e+06     0.466973
      0.00000      1.87049     -134307.    -0.150375
      0.00000      1.87050     -912018.    -0.952106
      0.00000      1.87051      609764.    -0.617736
      0.00000      1.87053 -2.87435e+06      3.23705
      0.00000      1.87054 -1.93823e+06     -2.74989
      0.00000      1.87055      224310.     0.271296
      0.00000      1.87057     -202333.    -0.439986
      0.00000      1.87058     -971494.     -1.44561
      0.00000      1.87060 -1.00780e+06    -0.757043
      0.00000      1.87061  3.04582e+06     -1.68988
      0.00000      1.87062 -1.01296e+06      1.65799
      0.00000      1.87064     -205107.     0.145212
      0.00000      1.87065  1.26391e+06      1.35843
      0.00000      1.87066     -672451.     -1.02808
      0.00000      1.87068 -1.35757e+06     0.502407
      0.00000      1.87069     -306623.     0.107386
      0.00000      1.87071     -251859.     0.123781
      0.00000      1.87072  7.78840e+06     -2.29102
      0.00000      1.87073  3.52349e+06     -1.01880
      0.00000      1.87075  2.39281e+06    -0.676381
      0.00000      1.87076      471531.    -0.364441
      0.00000      1.87077 -1.84226e+06      3.63264
      0.00000      1.87079      284161.    -0.317280
      0.00000      1.87080      653250.     0.159303
      0.00000      1.87081 -1.14730e+06    -0.586567
      0.00000      1.87083  1.06810e+06     0.292199
      0.00000      1.87084  2.07357e+06    -0.847497
      0.00000      1.87086 -4.23647e+06    -0.800621
      0.00000      1.87087  9.08334e+06    -0.992652
      0.00000      1.87088      784910.     -1.29631
      0.00000      1.87090 -2.35958e+06     -1.65912
      0.00000      1.87091     -206331.    -0.276533
      0.00000      1.87092     -425851.     0.553236
      0.00000      1.87094      427221.     -1.18285
      0.00000      1.87095 -1.67660e+06     0.623838
      0.00000      1.87097     -720327.     0.870764
      0.00000      1.87098      455734.    -0.608320
      0.00000      1.87099      673984.    -0.861715
      0.00000      1.87101  2.93409e+06     -2.33651
      0.00000      1.87102      523097.    -0.943620
      0.00000      1.87103      426449.     0.287482
      0.00000      1.87105 -1.28762e+06     0.882539
      0.00000      1.87106     -656001.     0.565425
      0.00000      1.87108 -2.80113e+06     0.547742
      0.00000      1.87109 -9.25363e+06      1.81168
      0.00000      1.87110     -59891.7    0.0587140
      0.00000      1.87112      119890.    -0.147652
      0.00000      1.87113  5.02851e+06     0.692377
      0.00000      1.87114 -1.44379e+06     0.746804
      0.00000      1.87116  1.22787e+07     -11.2534
      0.00000      1.87117      594683.     -1.92923
      0.00000      1.87118      243431.    -0.403257
      0.00000      1.87120      827968.     -1.25725
      0.00000      1.87121      48134.9   -0.0381304
      0.00000      1.87123      858295.     -1.59480
      0.00000      1.87124      93632.1   -0.0943739
      0.00000      1.87125     -264311.     0.422520
      0.00000      1.87127     -85673.7    0.0830328
      0.00000      1.87128  8.66628e+06     -3.02538
      0.00000      1.87129     -644023.     0.368595
      0.00000      1.87131 -1.85221e+06      2.39234
      0.00000      1.87132     -464852.      1.09623
      0.00000      1.87133      645515.     -1.45369
      0.00000      1.87135      246038.    -0.213366
      0.00000      1.87136  1.57899e+07     0.853528
      0.00000      1.87138 -5.11764e+06     -1.08635
      0.00000      1.87139      681771.     -1.65676
      0.00000      1.87140 -8.52383e+06      1.08382
      0.00000      1.87142 -6.73006e+06      3.83801
      0.00000      1.87143      461217.    -0.659353
      0.00000      1.87144 -1.27447e+06      1.98416
      0.00000      1.87146      322528.    -0.102757
      0.00000      1.87147     -750465.      1.16282
      0.00000      1.87149     -232393.     0.354127
      0.00000      1.87150     -716793.     0.842190
      0.00000      1.87151     -222614.     0.372053
      0.00000      1.87153      970020.     -1.19599
      0.00000      1.87154      870469.     -1.63377
      0.00000      1.87155  4.98846e+06      1.13422
      0.00000      1.87157 -6.07847e+06      1.68952
      0.00000      1.87158     -604020.     0.922435
      0.00000      1.87159      423094.    -0.290706
      0.00000      1.87161 -2.01193e+06    -0.701370
      0.00000      1.87162  1.43919e+07     0.360524
      0.00000      1.87164 -7.46639e+06      2.56486
      0.00000      1.87165     -915354.      1.49151
      0.00000      1.87166     -2403.40   0.00467210
      0.00000      1.87168     -126533.    -0.133663
      0.00000      1.87169  1.44441e+06     -2.41875
      0.00000      1.87170  2.57643e+06     -1.67312
      0.00000      1.87172  5.26246e+06      1.50785
      0.00000      1.87173 -1.25379e+06      1.10062
      0.00000      1.87174      727748.     0.859809
      0.00000      1.87176 -1.07038e+06      2.19357
      0.00000      1.87177 -1.74186e+06      1.53665
      0.00000      1.87179  1.15784e+06      1.72369
      0.00000      1.87180     -22603.6   -0.0306206
      0.00000      1.87181      916889.     0.168841
      0.00000      1.87183 -1.16173e+06      1.29221
      0.00000      1.87184     -550528.     0.634481
      0.00000      1.87185 -3.27108e+06      1.68534
      0.00000      1.87187 -4.68049e+06      1.33022
      0.00000      1.87188  4.38684e+06      1.71347
      0.00000      1.87189  3.40161e+06      1.45394
      0.00000      1.87191     -173263.   -0.0780660
      0.00000      1.87192      673700.    -0.212498
      0.00000      1.87194      329230.     0.466945
      0.00000      1.87195     -778188.     -1.29134
      0.00000      1.87196 -2.97197e+06      1.17938
      0.00000      1.87198 -3.47583e+06      3.55335
      0.00000      1.87199 -1.23609e+06      1.12478
      0.00000      1.87200      827040.     0.531685
      0.00000      1.87202      127698.    -0.269109
      0.00000      1.87203  1.94876e+06     -1.86196
      0.00000      1.87204  3.46585e+06     -1.60690
      0.00000      1.87206 -3.05416e+06      1.43060
      0.00000      1.87207 -3.89046e+06      1.10563
      0.00000      1.87208      958918.     -2.73021
      0.00000      1.87210      912580.     -1.52162
      0.00000      1.87211 -1.00963e+06     -1.49057
      0.00000      1.87213 -1.17306e+06     0.987543
      0.00000      1.87214  3.94230e+08      1.77333
      0.00000      1.87215  1.17715e+06     -1.28505
      0.00000      1.87217      828264.     0.442132
      0.00000      1.87218      404215.     0.556018
      0.00000      1.87219  1.21939e+06      1.24244
      0.00000      1.87221     -712145.      1.30531
      0.00000      1.87222 -1.65416e+06      1.95530
      0.00000      1.87223  1.54947e+06      1.41462
      0.00000      1.87225     -654348.     0.795132
