# Generated by G. Mace on Mon Jan 21 14:37:21 2019
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86630         -NaN         -NaN
      0.00000      1.86632     -35125.7     -2.75997
      0.00000      1.86633  1.08616e+07     -1.00614
      0.00000      1.86635     -823360.    -0.493430
      0.00000      1.86636 -1.77139e+06    -0.854424
      0.00000      1.86637  2.01481e+06     -1.44670
      0.00000      1.86639 -2.94897e+06     -1.25665
      0.00000      1.86640 -1.02226e+06     -2.02392
      0.00000      1.86642 -1.99112e+06     -1.25033
      0.00000      1.86643     -158362.    -0.339492
      0.00000      1.86644      884034.      1.80148
      0.00000      1.86646     -656225.    -0.614142
      0.00000      1.86647  2.44995e+06     -1.56904
      0.00000      1.86649 -8.17398e+06     -2.63611
      0.00000      1.86650     -442257.    -0.613154
      0.00000      1.86651 -1.39297e+06     0.590406
      0.00000      1.86653     -349045.     0.501801
      0.00000      1.86654      53639.4    0.0419767
      0.00000      1.86656  2.58937e+06   -0.0675872
      0.00000      1.86657  1.08654e+06      1.44755
      0.00000      1.86658  1.05224e+07     0.571439
      0.00000      1.86660 -3.56782e+07      2.18434
      0.00000      1.86661 -4.64155e+07      1.96439
      0.00000      1.86663 -4.89554e+06     -1.14981
      0.00000      1.86664     -68667.1    0.0575035
      0.00000      1.86665      92963.8    -0.138798
      0.00000      1.86667 -2.18354e+06      1.45915
      0.00000      1.86668 -1.44479e+06      1.14016
      0.00000      1.86670     -35867.0   -0.0435650
      0.00000      1.86671  9.25473e+06     -2.80147
      0.00000      1.86673     -358628.     0.499450
      0.00000      1.86674     -359355.    -0.455765
      0.00000      1.86675      326029.      1.14513
      0.00000      1.86677      781783.     0.344262
      0.00000      1.86678      383944.    0.0671530
      0.00000      1.86680      610881.      1.06255
      0.00000      1.86681      677918.      1.21978
      0.00000      1.86682  1.48986e+06     0.633422
      0.00000      1.86684 -1.18145e+06     -2.01736
      0.00000      1.86685     -138126.    -0.322215
      0.00000      1.86687      424992.     0.855781
      0.00000      1.86688      3931.04   0.00527194
      0.00000      1.86689      122573.     0.294789
      0.00000      1.86691      58296.1    0.0927147
      0.00000      1.86692 -1.17438e+06      2.26119
      0.00000      1.86694 -8.71865e+06     -1.30325
      0.00000      1.86695 -1.18394e+06     -1.45469
      0.00000      1.86696 -1.09395e+06     -1.41316
      0.00000      1.86698 -1.46769e+06     0.894744
      0.00000      1.86699     -125550.    -0.327837
      0.00000      1.86701      182214.      1.05100
      0.00000      1.86702      81975.6     0.359443
      0.00000      1.86703      783034.    -0.675111
      0.00000      1.86705 -1.94615e+06     -1.00363
      0.00000      1.86706 -1.45625e+06     -1.04537
      0.00000      1.86708      446470.     0.544533
      0.00000      1.86709      527358.     0.513353
      0.00000      1.86710      875959.    -0.374382
      0.00000      1.86712      243383.     0.363009
      0.00000      1.86713     -357641.     -1.08164
      0.00000      1.86715     -319915.     -1.49846
      0.00000      1.86716     -142133.    -0.843133
      0.00000      1.86717     -576953.     -2.68636
      0.00000      1.86719      79870.8    0.0844546
      0.00000      1.86720      6204.90    0.0233077
      0.00000      1.86722      403258.     0.840779
      0.00000      1.86723  2.71004e+06     0.823493
      0.00000      1.86724 -2.09658e+06     -1.82207
      0.00000      1.86726      738809.     -1.32337
      0.00000      1.86727  3.91581e+06    -0.307186
      0.00000      1.86729      186380.    -0.212269
