# Generated by G. Mace on Wed Nov 21 21:18:06 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86629         -NaN         -NaN
      0.00000      1.86630  5.90528e+06      1.12054
      0.00000      1.86631      215409.     0.772900
      0.00000      1.86633      287042.     0.550138
      0.00000      1.86634  1.04407e+07      3.49824
      0.00000      1.86636  1.46364e+06      2.77270
      0.00000      1.86637 -1.01963e+06      1.03213
      0.00000      1.86638      45801.1    -0.179653
      0.00000      1.86640  2.60527e+06     -2.31365
      0.00000      1.86641  1.58971e+06     -2.78940
      0.00000      1.86643      83528.7    -0.249376
      0.00000      1.86644      571460.    -0.913815
      0.00000      1.86646     -464218.    -0.544298
      0.00000      1.86647      299998.      1.42916
      0.00000      1.86648      674944.     0.374118
      0.00000      1.86650 -1.84228e+06      1.91450
      0.00000      1.86651 -1.07736e+06      3.34396
      0.00000      1.86653      155383.    -0.249253
      0.00000      1.86654      306844.    0.0899331
      0.00000      1.86655  1.21412e+06      2.10605
      0.00000      1.86657     -472360.    -0.670310
      0.00000      1.86658 -6.21092e+06    -0.733227
      0.00000      1.86660 -3.55401e+06      2.87729
      0.00000      1.86661  1.53728e+07      2.35267
      0.00000      1.86662     -658642.     0.512877
      0.00000      1.86664      691522.     -1.01718
      0.00000      1.86665      303906.     0.756832
      0.00000      1.86667 -5.10560e+06      4.15145
      0.00000      1.86668  1.35292e+07      3.27394
      0.00000      1.86670      424530.      1.43488
      0.00000      1.86671  3.69695e+06      3.47270
      0.00000      1.86672 -3.97407e+06    -0.189565
      0.00000      1.86674     -412518.    -0.458908
      0.00000      1.86675 -3.84378e+06     -1.19957
      0.00000      1.86677      287917.     0.298589
      0.00000      1.86678      157031.     0.349478
      0.00000      1.86679     -129922.    -0.306633
      0.00000      1.86681      511516.      1.37958
      0.00000      1.86682  2.63420e+06      1.52571
      0.00000      1.86684 -1.38570e+06      1.37703
      0.00000      1.86685     -833169.      1.17590
      0.00000      1.86686  2.01020e+06      1.29579
      0.00000      1.86688      151787.     0.316709
      0.00000      1.86689      674470.     0.495765
      0.00000      1.86691  2.77568e+07      1.72820
      0.00000      1.86692  1.96089e+06      1.66161
      0.00000      1.86694      33846.0   -0.0133436
      0.00000      1.86695     -30899.9    0.0479770
      0.00000      1.86696      178175.    -0.314252
      0.00000      1.86698     -712913.     -1.52534
      0.00000      1.86699      141229.     0.605463
      0.00000      1.86701     -280062.    -0.381346
      0.00000      1.86702  3.23195e+06      3.89112
      0.00000      1.86703  1.01523e+06      1.76646
      0.00000      1.86705  1.53937e+06      3.10620
      0.00000      1.86706  5.65669e+06      2.92909
      0.00000      1.86708  1.72501e+06      3.64781
      0.00000      1.86709      994652.      2.19147
      0.00000      1.86710     -373248.     0.287872
      0.00000      1.86712  1.90372e+06      1.82515
      0.00000      1.86713  3.79020e+07      3.17364
      0.00000      1.86715     -647759.     0.827375
      0.00000      1.86716  6.01105e+06      2.21971
      0.00000      1.86717  6.85702e+06      1.68052
      0.00000      1.86719     -550853.     0.680233
      0.00000      1.86720  5.69023e+06     -1.99943
      0.00000      1.86722 -2.45804e+06     -1.97315
      0.00000      1.86723     -331115.    -0.754965
      0.00000      1.86724      736792.    -0.866776
      0.00000      1.86726 -2.01054e+06     0.188375
      0.00000      1.86727     -300969.     0.623015
      0.00000      1.86729      482801.    -0.727800
      0.00000      1.86730     -354164.    -0.624644
      0.00000      1.86732      329800.     0.592064
      0.00000      1.86733  1.05681e+06      2.49554
      0.00000      1.86734     -441825.    -0.433405
      0.00000      1.86736      570454.      1.26566
      0.00000      1.86737      49735.1     0.177661
      0.00000      1.86739  1.90558e+06     -1.29261
      0.00000      1.86740      121609.    0.0580171
      0.00000      1.86741  1.11340e+06      2.34169
      0.00000      1.86743  3.34199e+06      2.20210
      0.00000      1.86744     -416795.     0.505617
      0.00000      1.86746  1.19962e+06    -0.809456
      0.00000      1.86747 -2.80634e+06     -1.31122
      0.00000      1.86748      54974.0    0.0485330
      0.00000      1.86750      707933.      1.29142
      0.00000      1.86751     -905027.     -1.25346
      0.00000      1.86753     -808203.     -1.19998
      0.00000      1.86754  1.48854e+06    -0.388387
      0.00000      1.86755  2.11530e+06     -1.47159
      0.00000      1.86757  2.11150e+06     -1.32310
      0.00000      1.86758  7.00061e+06     -1.25474
      0.00000      1.86760 -1.63117e+06    -0.448384
      0.00000      1.86761      343040.     0.405066
      0.00000      1.86762     -556362.    -0.750810
      0.00000      1.86764  1.57456e+07     -2.92770
      0.00000      1.86765 -1.05396e+07     -1.80507
      0.00000      1.86767  3.26591e+06      1.08242
      0.00000      1.86768  4.32348e+06      1.14162
      0.00000      1.86769  5.67708e+07     0.888472
      0.00000      1.86771      523146.      1.46891
      0.00000      1.86772      879217.      1.89335
      0.00000      1.86774      180309.    -0.202414
      0.00000      1.86775      493320.    -0.348262
      0.00000      1.86776 -3.01880e+06     0.452880
      0.00000      1.86778  1.79055e+06     0.603021
      0.00000      1.86779 -4.73686e+06     -1.95912
      0.00000      1.86781  1.19811e+06     -2.43864
      0.00000      1.86782      916680.     -1.01498
      0.00000      1.86784      461176.    -0.746289
      0.00000      1.86785 -7.39719e+06     -1.90619
      0.00000      1.86786     -216611.    -0.870907
      0.00000      1.86788      178590.     0.690903
      0.00000      1.86789     -953975.    -0.577854
      0.00000      1.86791 -1.13324e+06     -1.62676
      0.00000      1.86792     -378074.    -0.521779
      0.00000      1.86793     -209997.     0.150603
      0.00000      1.86795 -2.97835e+06    -0.855608
      0.00000      1.86796  3.70602e+06     -1.62516
      0.00000      1.86798 -1.23018e+06    -0.980407
      0.00000      1.86799     -17120.2   -0.0177205
      0.00000      1.86800     -517111.    -0.574789
      0.00000      1.86802 -1.25444e+06     -2.06629
      0.00000      1.86803  2.46223e+06     -1.41606
      0.00000      1.86805      479566.     0.742988
      0.00000      1.86806      863330.      2.64427
      0.00000      1.86807  2.31948e+06      2.80874
      0.00000      1.86809      610230.     0.965086
      0.00000      1.86810      449581.      1.01803
      0.00000      1.86812  2.83227e+06      2.11845
      0.00000      1.86813 -3.71634e+06      1.87935
      0.00000      1.86814     -205485.   -0.0790972
      0.00000      1.86816      158278.    -0.400527
      0.00000      1.86817     -49469.7     0.142292
      0.00000      1.86819     -655956.     0.816199
      0.00000      1.86820  1.00914e+06     0.796897
      0.00000      1.86821 -6.23014e+07      2.15991
      0.00000      1.86823  1.21598e+06      1.93652
      0.00000      1.86824  3.03552e+06      2.69209
      0.00000      1.86826 -1.45682e+06      1.10569
      0.00000      1.86827      952747.    -0.954087
      0.00000      1.86828      65696.1    -0.100062
      0.00000      1.86830     -12560.0    0.0189542
      0.00000      1.86831      39077.3    0.0226760
      0.00000      1.86833  4.95807e+07      1.00855
      0.00000      1.86834     -677962.     0.878695
      0.00000      1.86835      416803.     0.493037
      0.00000      1.86837      180907.     0.339900
      0.00000      1.86838 -3.50650e+06     0.960311
      0.00000      1.86840  3.60899e+06      1.82667
      0.00000      1.86841  2.48229e+06     0.519620
      0.00000      1.86842  3.41342e+06     -1.12323
      0.00000      1.86844      576438.     0.492662
      0.00000      1.86845  1.62249e+06      1.58283
      0.00000      1.86847     -424684.    -0.358308
      0.00000      1.86848     -580126.    -0.358620
      0.00000      1.86849      929358.     0.517905
      0.00000      1.86851     -836099.    -0.991486
      0.00000      1.86852 -1.51141e+06     -1.38634
      0.00000      1.86854  1.95260e+06     0.951151
      0.00000      1.86855     -275482.     0.579299
      0.00000      1.86856     -18702.5   -0.0323019
      0.00000      1.86858      267825.     0.703456
      0.00000      1.86859 -3.92746e+06      1.25596
      0.00000      1.86861     -949281.     0.808050
      0.00000      1.86862     -652021.     0.481190
      0.00000      1.86863      493354.     0.332061
      0.00000      1.86865     -59252.0    -0.103472
      0.00000      1.86866     -501365.    -0.571291
      0.00000      1.86867  1.71150e+06      1.70198
      0.00000      1.86869  4.39057e+06      2.46302
      0.00000      1.86870      973629.     0.241984
      0.00000      1.86872      662930.     -1.54589
      0.00000      1.86873      56986.3    -0.231371
      0.00000      1.86874     -680630.      1.28496
      0.00000      1.86876     -509263.    -0.450998
      0.00000      1.86877  3.30802e+06     -1.30087
      0.00000      1.86879  1.45700e+06    -0.440695
      0.00000      1.86880     -815299.    -0.533453
      0.00000      1.86881     -243029.    -0.333779
      0.00000      1.86883     -541997.    -0.545124
      0.00000      1.86884  1.51541e+06     -2.92244
      0.00000      1.86886  1.08670e+06     -2.73076
      0.00000      1.86887  1.53891e+07     -2.09896
      0.00000      1.86888 -3.67925e+06     -2.19864
      0.00000      1.86890 -3.21798e+06     -2.95571
      0.00000      1.86891 -1.44257e+06     -3.72246
      0.00000      1.86893 -2.16688e+06     -3.01803
      0.00000      1.86894 -2.89062e+06    -0.201009
      0.00000      1.86895     -660847.     0.733351
      0.00000      1.86897  1.44037e+06     -1.41228
      0.00000      1.86898 -2.73777e+06     -2.38177
      0.00000      1.86900 -4.93539e+06     -3.36778
      0.00000      1.86901 -1.24121e+06     -1.93466
      0.00000      1.86902     -811400.     -1.85057
      0.00000      1.86904 -2.45434e+07     -1.47025
      0.00000      1.86905     -931371.     -1.01819
      0.00000      1.86907      617663.     0.860615
      0.00000      1.86908 -4.53432e+06      1.01065
      0.00000      1.86909      120719.    -0.108385
      0.00000      1.86911  1.98410e+06     -2.14302
      0.00000      1.86912  4.92771e+06     -1.57309
      0.00000      1.86913  1.26309e+06     0.752555
      0.00000      1.86915      341629.     0.681006
      0.00000      1.86916 -2.78102e+06     -1.13209
      0.00000      1.86918 -2.14722e+06     -2.96899
      0.00000      1.86919 -2.90251e+06     -3.38956
      0.00000      1.86920 -2.72447e+06     -2.03035
      0.00000      1.86922 -2.10821e+06     -1.81914
      0.00000      1.86923     -539646.     -1.01802
      0.00000      1.86925 -1.04168e+06    -0.837269
      0.00000      1.86926 -8.27514e+06    -0.766832
      0.00000      1.86927 -1.38261e+08     -1.23661
      0.00000      1.86929      525632.    -0.530487
      0.00000      1.86930  4.16641e+06    -0.427529
      0.00000      1.86932  1.97179e+06    -0.949400
      0.00000      1.86933  2.14193e+06     -1.55979
      0.00000      1.86934  2.08460e+06     -1.08812
      0.00000      1.86936 -1.26426e+06     0.814253
      0.00000      1.86937     -263674.     0.182300
      0.00000      1.86939  2.30787e+06     0.603694
      0.00000      1.86940      514866.     0.378038
      0.00000      1.86941     -823049.     -1.50151
      0.00000      1.86943 -1.46028e+06     -2.32427
      0.00000      1.86944 -1.07944e+07     -1.43281
      0.00000      1.86945  1.06547e+06     -2.25762
      0.00000      1.86947      436712.     -1.27292
      0.00000      1.86948  1.22052e+06     -1.52105
      0.00000      1.86950      477581.    -0.502805
      0.00000      1.86951  3.75084e+06     -1.65322
      0.00000      1.86952  5.13484e+06     -2.22815
      0.00000      1.86954  4.26763e+06     -2.41249
      0.00000      1.86955  1.86649e+07     -3.08734
      0.00000      1.86957      217280.     0.100003
      0.00000      1.86958  1.13589e+06    -0.283984
      0.00000      1.86959     -518996.     0.748503
      0.00000      1.86961     -202876.     0.328840
      0.00000      1.86962  3.92743e+06     -1.46121
      0.00000      1.86964  1.29311e+06     -1.21530
      0.00000      1.86965      757328.    -0.893549
      0.00000      1.86966      609975.     -1.55521
      0.00000      1.86968  7.15523e+06     -2.41179
      0.00000      1.86969     -254918.    -0.879442
      0.00000      1.86970     -114358.    -0.352702
      0.00000      1.86972  3.40819e+06     -2.08035
      0.00000      1.86973     -102297.     0.237798
      0.00000      1.86975  4.09435e+08    -0.714216
      0.00000      1.86976 -1.54142e+06     -2.96730
      0.00000      1.86977  2.89562e+06     -1.68549
      0.00000      1.86979  6.87026e+06     -1.25420
      0.00000      1.86980  5.77948e+06     -2.18723
      0.00000      1.86982  7.64092e+06    -0.458857
      0.00000      1.86983     -158872.    -0.267441
      0.00000      1.86984  6.76876e+06    -0.671640
      0.00000      1.86986     -707393.     0.511093
      0.00000      1.86987 -5.69935e+06     -1.25497
      0.00000      1.86988 -1.47881e+06     -2.50772
      0.00000      1.86990  1.08555e+06     -1.84623
      0.00000      1.86991  3.73885e+06     -2.48479
      0.00000      1.86993  2.65020e+06     -2.78709
      0.00000      1.86994  7.04535e+06     -2.14184
      0.00000      1.86995 -1.14250e+06    -0.517009
      0.00000      1.86997     -127699.    -0.265154
      0.00000      1.86998     -636416.     -1.60761
      0.00000      1.87000 -1.67798e+06     -1.21283
      0.00000      1.87001  3.89803e+06    -0.433949
      0.00000      1.87002     -387681.    -0.778340
      0.00000      1.87004     -467427.     -1.11743
      0.00000      1.87005     -682357.    -0.981095
      0.00000      1.87006     -591025.     -1.24782
      0.00000      1.87008 -1.53914e+06     -3.10949
      0.00000      1.87009 -2.16422e+06     -4.49896
      0.00000      1.87011 -1.11854e+06     -2.93763
      0.00000      1.87012     -666361.     -1.70696
      0.00000      1.87013      150993.     0.333442
      0.00000      1.87015      150614.    -0.204745
      0.00000      1.87016      986255.    -0.755238
      0.00000      1.87018     -277369.    -0.799928
      0.00000      1.87019     -532966.     -1.01707
      0.00000      1.87020 -2.00758e+06    -0.674865
      0.00000      1.87022      598636.      1.39485
      0.00000      1.87023      134425.     0.425818
      0.00000      1.87024 -2.14291e+06     -1.69351
      0.00000      1.87026     -729861.    -0.860107
      0.00000      1.87027     -98858.7    -0.316698
      0.00000      1.87029      811308.     0.469406
      0.00000      1.87030 -1.55553e+06     0.230973
      0.00000      1.87031      804214.     0.583381
      0.00000      1.87033      54218.9   -0.0634632
      0.00000      1.87034      95079.0    -0.220430
      0.00000      1.87036  2.03853e+07    -0.808056
      0.00000      1.87037 -1.56852e+06     -2.30882
      0.00000      1.87038     -427963.    -0.894257
      0.00000      1.87040      994463.      1.53032
      0.00000      1.87041     -203450.    -0.425823
      0.00000      1.87042 -1.41264e+06     -3.61549
      0.00000      1.87044 -5.17293e+07     -3.50436
      0.00000      1.87045  4.13268e+06     -2.53732
      0.00000      1.87047  3.28026e+07     -1.05600
      0.00000      1.87048 -4.25375e+06    -0.939748
      0.00000      1.87049      859296.     -1.75787
      0.00000      1.87051      317272.    -0.998133
      0.00000      1.87052     -94495.9     0.222933
      0.00000      1.87053      13638.1    0.0205405
      0.00000      1.87055 -1.84262e+06     -2.61732
      0.00000      1.87056 -1.32759e+07     -2.18250
      0.00000      1.87058 -1.37481e+06    -0.609594
