# Generated by G. Mace on Tue Nov 20 20:46:22 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86630         -NaN         -NaN
      0.00000      1.86631 -1.20567e+06     -57.1937
      0.00000      1.86633 -1.48597e+06     -1.82059
      0.00000      1.86634      44265.9    0.0861147
      0.00000      1.86635      421869.     0.603765
      0.00000      1.86637     -551234.     -1.77950
      0.00000      1.86638      213621.    0.0698363
      0.00000      1.86640  3.53751e+06      1.41318
      0.00000      1.86641     -199685.    0.0776166
      0.00000      1.86642  6.06220e+06     -2.02010
      0.00000      1.86644  4.72252e+06     -2.85744
      0.00000      1.86645 -1.85258e+06      1.41237
      0.00000      1.86647      922452.    -0.342818
      0.00000      1.86648 -2.20460e+07     -2.02674
      0.00000      1.86649 -2.79308e+06    0.0696111
      0.00000      1.86651     -514290.    -0.924788
      0.00000      1.86652  4.13211e+06     0.443600
      0.00000      1.86654     -33981.5    0.0782248
      0.00000      1.86655 -2.05029e+07     -1.05986
      0.00000      1.86656      19979.8   -0.0311039
      0.00000      1.86658  7.92468e+06     -3.00637
      0.00000      1.86659  2.50557e+06     -1.21672
      0.00000      1.86661  8.13464e+06      1.03654
      0.00000      1.86662  3.16211e+06     -1.32139
      0.00000      1.86663     -276568.     0.605963
      0.00000      1.86665 -1.55515e+07      4.15912
      0.00000      1.86666  5.67880e+06      1.11485
      0.00000      1.86668  3.35313e+06     -2.63736
      0.00000      1.86669 -2.22804e+06     -3.17984
      0.00000      1.86670 -1.18175e+07    -0.636896
      0.00000      1.86672     -361404.    -0.354475
      0.00000      1.86673 -2.90336e+07     -3.69733
      0.00000      1.86675 -2.07518e+06     -1.66390
      0.00000      1.86676 -6.20452e+06    -0.522351
      0.00000      1.86677  1.12797e+06      1.52496
      0.00000      1.86679  2.18421e+06     0.761016
      0.00000      1.86680 -3.81266e+06     -1.43092
      0.00000      1.86682 -7.10754e+07     -2.20694
      0.00000      1.86683  6.11700e+07     -4.70486
      0.00000      1.86684  3.46532e+07     -7.35435
      0.00000      1.86686  1.43625e+07     -7.46998
      0.00000      1.86687  5.72676e+06    -0.923875
      0.00000      1.86689 -2.04586e+06    -0.782137
      0.00000      1.86690  4.18871e+06     -1.65016
      0.00000      1.86691  1.42303e+06     -1.18061
      0.00000      1.86693 -1.08506e+06      1.32614
      0.00000      1.86694 -2.23889e+06     -1.20528
      0.00000      1.86696 -1.35998e+06    -0.725933
      0.00000      1.86697  1.50233e+06     0.879818
      0.00000      1.86698      651128.      1.18420
      0.00000      1.86700 -1.60113e+06     -1.76189
      0.00000      1.86701  1.80564e+06     -3.59853
      0.00000      1.86703     -598003.     0.133759
      0.00000      1.86704 -2.24916e+06     -2.11017
      0.00000      1.86706 -8.58554e+06     -4.59348
