# Generated by G. Mace on Fri Jan 25 14:33:20 2019
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86634         -NaN         -NaN
      0.00000      1.86635      171830.     -2.22311
      0.00000      1.86636     -610503.      1.51638
      0.00000      1.86638 -4.89090e+06      1.43818
      0.00000      1.86639     -374716.     0.834349
      0.00000      1.86641  2.21855e+06      6.16540
      0.00000      1.86642  2.69311e+06      1.74570
      0.00000      1.86643     -317486.     0.426485
      0.00000      1.86645 -2.63057e+06      1.67434
      0.00000      1.86646 -1.39216e+06    -0.899796
      0.00000      1.86647  4.38160e+06    -0.729931
      0.00000      1.86649  3.73700e+06     -1.27839
      0.00000      1.86650 -1.26859e+06     -1.08459
      0.00000      1.86652  3.36572e+06      1.58143
      0.00000      1.86653      826932.      1.40212
      0.00000      1.86654      44719.4   -0.0310850
      0.00000      1.86656 -2.37052e+06      1.23835
      0.00000      1.86657      584309.      1.31308
      0.00000      1.86659      601581.     -1.05272
      0.00000      1.86660      363355.    -0.631225
      0.00000      1.86661 -1.31779e+06    -0.598805
      0.00000      1.86663     -362024.    -0.234764
      0.00000      1.86664 -1.07080e+06     -2.17691
      0.00000      1.86665     -473888.    -0.686656
      0.00000      1.86667      53581.6    -0.149241
      0.00000      1.86668  1.98373e+06     -2.99378
      0.00000      1.86670      87309.1     0.130505
      0.00000      1.86671      498144.     0.910311
      0.00000      1.86672 -1.08066e+06    -0.313052
      0.00000      1.86674      728546.     -1.87796
      0.00000      1.86675      165145.    -0.835446
      0.00000      1.86676     -614511.      1.16583
      0.00000      1.86678     -820126.      1.13507
      0.00000      1.86679 -4.85037e+06     -1.07535
      0.00000      1.86681  2.57221e+06     -1.73232
      0.00000      1.86682 -1.53844e+06    -0.924070
      0.00000      1.86683      902739.     -1.98100
      0.00000      1.86685      300937.    -0.730927
      0.00000      1.86686  2.19715e+06     -2.77305
      0.00000      1.86687      899446.     -1.86057
      0.00000      1.86689 -1.28762e+06     -1.44003
      0.00000      1.86690      137198.     0.244234
      0.00000      1.86692     -400964.    -0.528768
      0.00000      1.86693  2.77175e+06    -0.821621
      0.00000      1.86694 -1.23867e+06     -1.80917
      0.00000      1.86696     -919384.     -2.13039
      0.00000      1.86697  3.91409e+06     -2.62388
      0.00000      1.86699 -1.31383e+06     -2.50444
      0.00000      1.86700 -4.32225e+06     -3.15926
      0.00000      1.86701      538773.     -1.06258
      0.00000      1.86703  8.28659e+06     -2.91961
      0.00000      1.86704     -569626.     -1.13021
      0.00000      1.86705      149467.     0.369646
      0.00000      1.86707      996754.     0.669385
      0.00000      1.86708 -4.47112e+06     -3.47256
      0.00000      1.86710  1.09430e+07     -5.12080
      0.00000      1.86711  3.09336e+07     -1.19897
      0.00000      1.86712 -1.21661e+06    -0.995559
      0.00000      1.86714  1.00493e+06     0.967029
      0.00000      1.86715      711447.    -0.962867
      0.00000      1.86717 -2.02263e+06     -4.95659
      0.00000      1.86718 -1.31309e+06     -1.86419
      0.00000      1.86719 -8.05995e+06     -2.43221
      0.00000      1.86721 -3.70352e+06     -4.13874
      0.00000      1.86722 -5.46496e+06     -3.22752
      0.00000      1.86723     -850728.     -1.10959
      0.00000      1.86725  7.01585e+06      1.41133
      0.00000      1.86726  3.80608e+06    -0.714415
      0.00000      1.86728     -126583.    -0.367922
      0.00000      1.86729     -466215.    -0.880385
      0.00000      1.86730 -1.86231e+07     -2.83037
      0.00000      1.86732  1.51417e+06     -1.56023
      0.00000      1.86733      479077.     -1.30569
      0.00000      1.86734      786833.     -1.07296
      0.00000      1.86736 -2.12241e+06    -0.726739
      0.00000      1.86737 -1.08881e+06     -1.27556
      0.00000      1.86739 -2.16968e+07     -4.01352
      0.00000      1.86740 -1.22497e+06     -2.54753
      0.00000      1.86741 -4.69524e+06     -1.42707
      0.00000      1.86743 -1.57558e+06     -1.14606
      0.00000      1.86744     -35746.1    -0.109273
      0.00000      1.86746      158361.     0.287591
      0.00000      1.86747 -5.47590e+06     -1.37353
      0.00000      1.86748      238674.     0.667701
      0.00000      1.86750      266865.     0.405383
      0.00000      1.86751     -472489.    -0.243897
      0.00000      1.86752 -7.29102e+06     -2.05255
      0.00000      1.86754 -1.28254e+06     -1.37917
      0.00000      1.86755     -527569.    -0.769504
      0.00000      1.86757      675574.     0.983714
      0.00000      1.86758  1.34403e+06      1.04512
      0.00000      1.86759      112672.     0.385907
      0.00000      1.86761 -1.54158e+06     -1.06260
      0.00000      1.86762 -1.87466e+06    -0.894986
      0.00000      1.86764     -12336.5   -0.0264068
      0.00000      1.86765 -1.18679e+06     -1.95395
      0.00000      1.86766      654924.     -2.18527
      0.00000      1.86768     -110659.     0.268956
      0.00000      1.86769     -369210.    -0.169259
      0.00000      1.86770     -665223.    -0.494162
      0.00000      1.86772     -786372.    -0.951730
      0.00000      1.86773     -698590.     -1.17134
      0.00000      1.86775     -619283.     -1.14488
      0.00000      1.86776 -2.48063e+07     -3.62555
      0.00000      1.86777     -192043.    -0.325106
      0.00000      1.86779      971189.     0.538350
      0.00000      1.86780  8.98011e+06     -1.27568
      0.00000      1.86782  1.23940e+07     -3.56268
      0.00000      1.86783  1.05502e+06     -1.68556
      0.00000      1.86784  2.43176e+06     -3.49692
      0.00000      1.86786 -1.21910e+07     -3.62299
      0.00000      1.86787  2.73080e+06     -2.13004
      0.00000      1.86788  1.58757e+06     -2.37997
      0.00000      1.86790  7.27629e+06    -0.541589
      0.00000      1.86791 -3.00617e+06     -2.41530
      0.00000      1.86793 -1.11795e+06    -0.758695
      0.00000      1.86794     -257834.    -0.488613
      0.00000      1.86795     -96234.7    0.0453272
      0.00000      1.86797     -521031.     -1.32046
      0.00000      1.86798      41230.3    0.0749712
      0.00000      1.86799 -2.53041e+06     0.994552
      0.00000      1.86801 -1.74383e+06    -0.781753
      0.00000      1.86802     -289394.    -0.677115
      0.00000      1.86804 -1.61977e+06     0.978241
      0.00000      1.86805      645049.     -1.05114
      0.00000      1.86806     -812469.     0.572087
      0.00000      1.86808     -589002.     0.411009
      0.00000      1.86809 -5.90885e+06     -1.52391
      0.00000      1.86811  4.23918e+06    -0.917996
      0.00000      1.86812 -1.52068e+06      1.04444
      0.00000      1.86813      652997.      1.01852
      0.00000      1.86815     -239819.    -0.366683
      0.00000      1.86816 -7.02103e+06     -2.28963
      0.00000      1.86817 -9.17891e+06     -1.65968
      0.00000      1.86819      854631.      1.88831
      0.00000      1.86820     -109622.  -0.00964402
      0.00000      1.86822      106196.    0.0780860
      0.00000      1.86823      177322.    0.0915010
      0.00000      1.86824  1.17733e+06      1.05764
      0.00000      1.86826     -917076.     0.480821
      0.00000      1.86827 -1.00697e+06     0.750368
      0.00000      1.86829 -1.43477e+06      1.06140
      0.00000      1.86830     -84549.5     0.188659
      0.00000      1.86831     -436519.     0.733732
      0.00000      1.86833 -1.99254e+06     -1.19950
      0.00000      1.86834 -1.44836e+06    -0.650589
      0.00000      1.86835      243062.    -0.195777
      0.00000      1.86837     -150015.     0.266107
      0.00000      1.86838      822969.    -0.404475
      0.00000      1.86840 -3.61900e+06     -2.48543
      0.00000      1.86841  2.32130e+06      1.97947
      0.00000      1.86842  1.50602e+06      1.06795
      0.00000      1.86844 -5.63292e+06     -3.17430
      0.00000      1.86845 -5.36806e+06     -1.31850
      0.00000      1.86846     -340171.    -0.625670
      0.00000      1.86848 -1.63726e+06    -0.259269
      0.00000      1.86849      790761.     0.882026
      0.00000      1.86851      27937.8    0.0649759
      0.00000      1.86852     -450871.    -0.422637
      0.00000      1.86853  1.12484e+06     -1.76031
      0.00000      1.86855     -296812.     0.737491
      0.00000      1.86856     -142162.     0.240206
      0.00000      1.86858  5.46000e+06     -2.14033
      0.00000      1.86859  2.64258e+06    -0.896264
      0.00000      1.86860  2.88784e+06     -2.12381
      0.00000      1.86862  2.44174e+06     -1.89312
      0.00000      1.86863      538748.     -1.20187
      0.00000      1.86864      388364.    -0.832151
      0.00000      1.86866 -6.41536e+06    -0.911586
      0.00000      1.86867     -659707.     0.386174
      0.00000      1.86869      668674.     0.541952
      0.00000      1.86870  2.04961e+06      1.27333
      0.00000      1.86871     -92799.5     0.146607
      0.00000      1.86873      120822.   -0.0586036
      0.00000      1.86874 -2.94274e+06      1.42922
      0.00000      1.86876 -1.03872e+06      1.24766
      0.00000      1.86877 -6.02878e+07    -0.990148
      0.00000      1.86878     -308482.     0.603479
      0.00000      1.86880      721183.    -0.505236
      0.00000      1.86881     -44471.8   -0.0842228
      0.00000      1.86882  2.83525e+06      2.46006
      0.00000      1.86884      71070.3   -0.0383333
      0.00000      1.86885  3.76487e+06     -2.39188
      0.00000      1.86887  2.87841e+07     -1.55227
      0.00000      1.86888     -87037.6    -0.136513
      0.00000      1.86889      81372.5     0.283987
      0.00000      1.86891     -219917.    -0.247194
      0.00000      1.86892  2.93555e+06      1.45252
      0.00000      1.86894     -524690.    -0.479394
      0.00000      1.86895 -1.29879e+06     -1.76189
      0.00000      1.86896 -2.44580e+06     -2.24047
      0.00000      1.86898  8.07290e+06     -2.34270
      0.00000      1.86899      576625.     -1.83652
      0.00000      1.86900      224862.    -0.653195
      0.00000      1.86902  2.80262e+06     -2.22456
      0.00000      1.86903  4.87335e+07     -4.42053
