# Generated by G. Mace on Wed Nov 21 19:24:57 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.84725         -NaN         -NaN
      0.00000      1.84727         -NaN         -NaN
      0.00000      1.84728         -NaN         -NaN
      0.00000      1.84730         -NaN         -NaN
      0.00000      1.84731         -NaN         -NaN
      0.00000      1.84733         -NaN         -NaN
      0.00000      1.84734         -NaN         -NaN
      0.00000      1.84735         -NaN         -NaN
      0.00000      1.84737         -NaN         -NaN
      0.00000      1.84738         -NaN         -NaN
      0.00000      1.84740         -NaN         -NaN
      0.00000      1.84741         -NaN         -NaN
      0.00000      1.84743         -NaN         -NaN
      0.00000      1.84744         -NaN         -NaN
      0.00000      1.84746         -NaN         -NaN
      0.00000      1.84747         -NaN         -NaN
      0.00000      1.84748         -NaN         -NaN
      0.00000      1.84750         -NaN         -NaN
      0.00000      1.84751         -NaN         -NaN
      0.00000      1.84753         -NaN         -NaN
      0.00000      1.84754         -NaN         -NaN
      0.00000      1.84756         -NaN         -NaN
      0.00000      1.84757         -NaN         -NaN
      0.00000      1.84759         -NaN         -NaN
      0.00000      1.84760         -NaN         -NaN
      0.00000      1.84761         -NaN         -NaN
      0.00000      1.84763         -NaN         -NaN
      0.00000      1.84764         -NaN         -NaN
      0.00000      1.84766         -NaN         -NaN
      0.00000      1.84767         -NaN         -NaN
      0.00000      1.84769         -NaN         -NaN
      0.00000      1.84770         -NaN         -NaN
      0.00000      1.84772         -NaN         -NaN
      0.00000      1.84773         -NaN         -NaN
      0.00000      1.84774         -NaN         -NaN
      0.00000      1.84776         -NaN         -NaN
      0.00000      1.84777         -NaN         -NaN
      0.00000      1.84779         -NaN         -NaN
      0.00000      1.84780         -NaN         -NaN
      0.00000      1.84782         -NaN         -NaN
      0.00000      1.84783         -NaN         -NaN
      0.00000      1.84784         -NaN         -NaN
      0.00000      1.84786         -NaN         -NaN
      0.00000      1.84787         -NaN         -NaN
      0.00000      1.84789         -NaN         -NaN
      0.00000      1.84790         -NaN         -NaN
      0.00000      1.84792         -NaN         -NaN
      0.00000      1.84793         -NaN         -NaN
      0.00000      1.84794         -NaN         -NaN
      0.00000      1.84796         -NaN         -NaN
      0.00000      1.84797         -NaN         -NaN
      0.00000      1.84799         -NaN         -NaN
      0.00000      1.84800         -NaN         -NaN
      0.00000      1.84802         -NaN         -NaN
      0.00000      1.84803         -NaN         -NaN
      0.00000      1.84805         -NaN         -NaN
      0.00000      1.84806         -NaN         -NaN
      0.00000      1.84807         -NaN         -NaN
      0.00000      1.84809         -NaN         -NaN
      0.00000      1.84810         -NaN         -NaN
      0.00000      1.84812         -NaN         -NaN
      0.00000      1.84813         -NaN         -NaN
      0.00000      1.84815         -NaN         -NaN
      0.00000      1.84816         -NaN         -NaN
      0.00000      1.84817         -NaN         -NaN
      0.00000      1.84819         -NaN         -NaN
      0.00000      1.84820         -NaN         -NaN
      0.00000      1.84822         -NaN         -NaN
      0.00000      1.84823         -NaN         -NaN
      0.00000      1.84825         -NaN         -NaN
      0.00000      1.84826         -NaN         -NaN
      0.00000      1.84827         -NaN         -NaN
      0.00000      1.84829         -NaN         -NaN
      0.00000      1.84830         -NaN         -NaN
      0.00000      1.84832         -NaN         -NaN
      0.00000      1.84833         -NaN         -NaN
      0.00000      1.84835         -NaN         -NaN
      0.00000      1.84836         -NaN         -NaN
      0.00000      1.84837         -NaN         -NaN
      0.00000      1.84839         -NaN         -NaN
      0.00000      1.84840         -NaN         -NaN
      0.00000      1.84842         -NaN         -NaN
      0.00000      1.84843         -NaN         -NaN
      0.00000      1.84844         -NaN         -NaN
      0.00000      1.84846         -NaN         -NaN
      0.00000      1.84847         -NaN         -NaN
      0.00000      1.84849         -NaN         -NaN
      0.00000      1.84850         -NaN         -NaN
      0.00000      1.84852         -NaN         -NaN
      0.00000      1.84853         -NaN         -NaN
      0.00000      1.84854         -NaN         -NaN
