# Generated by G. Mace on Tue Nov 20 20:46:17 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86630         -NaN         -NaN
      0.00000      1.86631     -112273.     -23.5645
      0.00000      1.86633      189921.     0.313925
      0.00000      1.86634     -325639.    -0.756693
      0.00000      1.86635 -1.00204e+06     -1.67086
      0.00000      1.86637      179420.     0.686428
      0.00000      1.86638  1.68723e+06     0.674672
      0.00000      1.86640     -617977.    -0.296849
      0.00000      1.86641  3.13874e+06     -1.37683
      0.00000      1.86642  2.26019e+06    -0.880812
      0.00000      1.86644      671249.    -0.468227
      0.00000      1.86645     -584747.     0.519529
      0.00000      1.86647 -2.99406e+06      1.30685
      0.00000      1.86648  8.90441e+06     0.987401
      0.00000      1.86649 -3.94487e+07      1.16758
      0.00000      1.86651 -1.35798e+06     -2.89858
      0.00000      1.86652 -2.05864e+07     -2.63913
      0.00000      1.86654     -154692.     0.412454
      0.00000      1.86655  3.25328e+07      1.93851
      0.00000      1.86656      361996.    -0.664561
      0.00000      1.86658 -1.60553e+06     0.694287
      0.00000      1.86659      805028.    -0.450064
      0.00000      1.86661 -5.11186e+06    -0.759141
      0.00000      1.86662 -2.87298e+06      1.42445
      0.00000      1.86663      625310.     -1.60114
      0.00000      1.86665 -2.16881e+06     0.692295
      0.00000      1.86666  1.48282e+07      3.50645
      0.00000      1.86668      171407.    -0.160295
      0.00000      1.86669 -1.16746e+06     -1.95987
      0.00000      1.86670 -3.42884e+06    -0.215591
      0.00000      1.86672 -1.54676e+06     -1.80571
      0.00000      1.86673 -5.69827e+06    -0.859574
      0.00000      1.86675      342225.     0.325355
      0.00000      1.86676      196666.    0.0194324
      0.00000      1.86677  1.33857e+06      2.11883
      0.00000      1.86679  9.10433e+06      3.72469
      0.00000      1.86680  3.18556e+06      1.42669
      0.00000      1.86682  3.76353e+07      1.37769
      0.00000      1.86683 -2.03565e+07      1.88776
      0.00000      1.86684  1.60613e+06    -0.416235
      0.00000      1.86686 -1.31936e+06     0.847766
      0.00000      1.86687  5.45210e+06     -1.03043
      0.00000      1.86689 -3.09056e+06     -1.38659
      0.00000      1.86690     -137269.    0.0623765
      0.00000      1.86691     -243609.     0.239858
      0.00000      1.86693      395132.    -0.576771
      0.00000      1.86694 -1.25682e+06    -0.807947
      0.00000      1.86696 -2.25329e+06     -1.42318
      0.00000      1.86697 -3.37109e+06     -2.32915
      0.00000      1.86698     -823718.     -1.77786
      0.00000      1.86700     -436327.    -0.562159
      0.00000      1.86701     -506294.      1.21553
      0.00000      1.86703 -6.07261e+06      1.62492
      0.00000      1.86704 -1.94932e+06     -2.19978
      0.00000      1.86706      639820.     0.401955
      0.00000      1.86707      381129.    -0.622684
      0.00000      1.86708  3.99031e+06     -2.02478
      0.00000      1.86710 -2.56694e+06     -1.74371
      0.00000      1.86711 -3.38470e+06     0.284073
      0.00000      1.86713     -337939.    -0.698084
      0.00000      1.86714      517394.     0.235841
      0.00000      1.86715  6.40659e+06      4.03218
      0.00000      1.86717  1.99878e+06      1.93039
      0.00000      1.86718     -3176.21  -0.00241665
      0.00000      1.86720      184655.    -0.121244
      0.00000      1.86721 -4.73528e+06     -1.72360
      0.00000      1.86722  2.22907e+06    0.0386462
      0.00000      1.86724      609146.      1.19266
      0.00000      1.86725      536922.     0.332015
      0.00000      1.86727 -1.78120e+06   -0.0672573
      0.00000      1.86728     -245107.    -0.549872
      0.00000      1.86729      765940.      1.34499
      0.00000      1.86731     -879960.     -1.17530
      0.00000      1.86732 -4.77666e+07     -2.26411
      0.00000      1.86734 -2.07399e+06     -1.20341
      0.00000      1.86735 -2.44455e+07     -4.74512
      0.00000      1.86736  1.08017e+07     -4.53373
      0.00000      1.86738  3.44881e+06     -1.54466
      0.00000      1.86739  1.39801e+06     -1.11685
      0.00000      1.86741  1.48407e+06     -1.60188
      0.00000      1.86742 -8.57982e+06     -1.51561
      0.00000      1.86743     -165966.    -0.303410
      0.00000      1.86745     -124649.    -0.206052
      0.00000      1.86746  1.05935e+06     0.451577
      0.00000      1.86748 -1.31216e+06     -2.31940
      0.00000      1.86749     -976116.    -0.809758
      0.00000      1.86750     -606170.     -1.00734
      0.00000      1.86752      845506.     0.308266
      0.00000      1.86753     -525757.     0.613531
      0.00000      1.86755  9.83504e+06     -1.38951
      0.00000      1.86756 -1.07088e+06     -1.35331
      0.00000      1.86757 -1.83370e+07     -1.80959
      0.00000      1.86759  1.46979e+06      1.42000
      0.00000      1.86760     -116333.    0.0366822
      0.00000      1.86762  4.99630e+06    -0.974390
      0.00000      1.86763 -2.38387e+06     -2.61539
      0.00000      1.86764 -1.91867e+06     0.452593
      0.00000      1.86766      352872.     0.632950
      0.00000      1.86767     -823660.     0.391536
      0.00000      1.86769     -174305.     0.103793
      0.00000      1.86770     -523839.    -0.801328
      0.00000      1.86771      210039.     0.210985
      0.00000      1.86773  2.05621e+06      1.82491
      0.00000      1.86774 -1.09011e+07    -0.656207
      0.00000      1.86776  3.20103e+06     0.674911
      0.00000      1.86777     -770104.      2.09362
      0.00000      1.86778     -637773.      2.05952
