# Generated by G. Mace on Wed Nov 21 21:17:29 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86630         -NaN         -NaN
      0.00000      1.86631     -886116.     -2.66313
      0.00000      1.86632 -1.60751e+06     -2.01221
      0.00000      1.86634  6.18564e+06     -4.53241
      0.00000      1.86635  7.56858e+06     -5.56944
      0.00000      1.86637  1.03572e+07     -3.99849
      0.00000      1.86638 -2.84398e+07     -5.46979
      0.00000      1.86640 -1.57595e+06     -2.84850
      0.00000      1.86641     -421066.     0.347332
      0.00000      1.86642      612502.    -0.271415
      0.00000      1.86644  1.93215e+06     -1.55770
      0.00000      1.86645  1.09595e+06     -1.30946
      0.00000      1.86647  1.42692e+06     -2.54473
      0.00000      1.86648  2.83880e+06     -5.58515
      0.00000      1.86649  4.42345e+06     -2.92465
      0.00000      1.86651 -4.42241e+07     -2.85407
      0.00000      1.86652 -2.47353e+07     -3.97785
      0.00000      1.86654  1.32662e+06     -2.10551
      0.00000      1.86655  1.27966e+06     -2.45552
      0.00000      1.86657  2.91313e+06     -3.50686
      0.00000      1.86658  4.19098e+06     -4.15085
      0.00000      1.86659  2.82072e+06     -3.41612
      0.00000      1.86661  1.18369e+06     -2.39669
      0.00000      1.86662  1.95304e+06     -3.10672
      0.00000      1.86664  2.90892e+06     -4.96685
      0.00000      1.86665 -7.59467e+06     -3.51019
      0.00000      1.86666     -553207.    -0.242320
      0.00000      1.86668 -2.52981e+07     -1.68542
      0.00000      1.86669      778015.     0.487918
      0.00000      1.86671     -673274.    -0.241467
      0.00000      1.86672  2.21547e+06     -1.35653
      0.00000      1.86673  2.47438e+07     -6.11803
      0.00000      1.86675  3.75136e+06     -2.21226
      0.00000      1.86676      723128.     -1.63723
      0.00000      1.86678  4.97767e+06     -1.74765
      0.00000      1.86679 -3.05438e+06     -1.63880
      0.00000      1.86681 -4.94423e+06     -1.77945
      0.00000      1.86682 -1.45160e+06     0.499620
      0.00000      1.86683  4.08302e+06     -2.96354
      0.00000      1.86685  2.22443e+06     -2.93746
      0.00000      1.86686  1.70611e+06     -1.56029
      0.00000      1.86688  1.04683e+06     -1.23277
      0.00000      1.86689  3.04570e+06     -1.66409
      0.00000      1.86690  4.01790e+06     -2.37548
      0.00000      1.86692  2.75388e+06     -3.09942
      0.00000      1.86693  5.50933e+06     -1.86583
      0.00000      1.86695  2.01868e+06     -1.37246
      0.00000      1.86696      996847.    -0.710987
      0.00000      1.86698 -2.61762e+06     -1.53264
      0.00000      1.86699      883767.     0.213531
      0.00000      1.86700     -472086.   -0.0404292
      0.00000      1.86702  6.51009e+06     -4.50284
      0.00000      1.86703  1.77784e+06     -3.01339
      0.00000      1.86705      842369.     -1.09104
      0.00000      1.86706  1.01567e+06     -1.90894
      0.00000      1.86707  1.56852e+07     -4.47408
      0.00000      1.86709      199026.    0.0623790
      0.00000      1.86710      626642.    -0.671227
      0.00000      1.86712 -1.52788e+07     -1.85942
      0.00000      1.86713      511332.    -0.611926
      0.00000      1.86714  1.46594e+06     -4.53140
      0.00000      1.86716  1.27232e+06     -2.61492
      0.00000      1.86717  1.09869e+07      1.60300
      0.00000      1.86719  5.67668e+06     -1.29013
      0.00000      1.86720  4.37825e+06     -2.74225
      0.00000      1.86721  2.31645e+06     -5.71167
      0.00000      1.86723  2.28789e+06     -3.41136
      0.00000      1.86724      880556.     -1.59971
      0.00000      1.86726      556308.     -1.51617
      0.00000      1.86727      557040.     -1.00114
      0.00000      1.86729      861081.     -2.05213
      0.00000      1.86730      212963.    -0.250694
      0.00000      1.86731  6.13841e+06     -3.09225
      0.00000      1.86733  2.19791e+06     -2.06873
      0.00000      1.86734  3.73066e+06     -2.95588
      0.00000      1.86736  4.25739e+06     -6.80110
      0.00000      1.86737  1.89417e+06     -4.29180
      0.00000      1.86738 -5.83579e+06     -2.85853
      0.00000      1.86740  8.08526e+06     -2.82874
      0.00000      1.86741  2.75154e+06     -2.13096
      0.00000      1.86743  1.05683e+06    -0.914864
      0.00000      1.86744      960109.     -1.49988
      0.00000      1.86745  1.94372e+06     -3.16663
      0.00000      1.86747      903256.     -1.48852
      0.00000      1.86748  1.02622e+06     -1.97631
      0.00000      1.86750  3.32784e+06     -5.25120
      0.00000      1.86751  1.07002e+07     -2.54129
      0.00000      1.86752  4.12619e+06     -3.85253
      0.00000      1.86754      728624.     -1.05046
      0.00000      1.86755  6.78450e+06     -6.66337
      0.00000      1.86757  1.62798e+06     -2.75578
      0.00000      1.86758     -540303.     0.314947
      0.00000      1.86759  4.67875e+06     -4.56118
      0.00000      1.86761  2.88209e+06     -5.56269
      0.00000      1.86762  1.47327e+06     -2.18070
      0.00000      1.86764  3.45623e+06     -1.82957
      0.00000      1.86765 -1.49438e+07     -2.92288
      0.00000      1.86767      75365.7   -0.0461462
      0.00000      1.86768 -1.06629e+06     0.960247
      0.00000      1.86769  3.69674e+06     -1.27249
      0.00000      1.86771 -4.37632e+07     -3.84568
      0.00000      1.86772      345358.    -0.390982
      0.00000      1.86774  5.57091e+06     -5.41675
      0.00000      1.86775  2.62426e+06     -3.77050
      0.00000      1.86776  5.87131e+06     -2.58456
      0.00000      1.86778  1.26720e+06     -2.02019
      0.00000      1.86779  2.67371e+06     -4.39221
      0.00000      1.86781  1.04298e+07     -4.00531
      0.00000      1.86782 -1.44205e+07     -1.15087
      0.00000      1.86783  1.02328e+07     -3.98989
      0.00000      1.86785  1.31945e+07     -5.08242
      0.00000      1.86786  7.34049e+06     -2.22333
      0.00000      1.86788  6.75934e+06     -2.31199
      0.00000      1.86789      804826.     -1.74882
      0.00000      1.86790     -905285.      1.05772
      0.00000      1.86792  7.29604e+06     -3.34916
      0.00000      1.86793      431520.    -0.452612
      0.00000      1.86795 -3.48444e+06      1.11968
      0.00000      1.86796      55458.3   -0.0207313
      0.00000      1.86797 -3.49038e+06     -2.27935
      0.00000      1.86799 -1.32271e+07     -4.04495
      0.00000      1.86800  8.63408e+06     -4.11326
      0.00000      1.86802      689367.    -0.743921
      0.00000      1.86803  1.62781e+06     -1.16185
      0.00000      1.86804  2.13706e+06     -2.88416
      0.00000      1.86806      426281.     -1.33643
      0.00000      1.86807      470460.    -0.929230
      0.00000      1.86809      991620.     -2.70654
      0.00000      1.86810      234005.    -0.339527
      0.00000      1.86811      375529.    -0.708863
      0.00000      1.86813      538249.     0.137999
      0.00000      1.86814     -454528.     0.912230
      0.00000      1.86816     -868415.      1.56240
      0.00000      1.86817     -774500.      1.87306
      0.00000      1.86818     -420112.     0.451038
      0.00000      1.86820      208517.    -0.261195
      0.00000      1.86821     -5820.01   0.00679666
      0.00000      1.86823     -664121.     0.130338
      0.00000      1.86824  3.12270e+06     -2.33264
      0.00000      1.86825  2.38921e+06     -1.52738
      0.00000      1.86827  1.83469e+07    -0.499970
      0.00000      1.86828  4.20394e+06     -2.24263
      0.00000      1.86830      446765.    -0.506735
      0.00000      1.86831     -289476.     0.848734
      0.00000      1.86832  1.64689e+06     -2.77754
      0.00000      1.86834  5.90196e+06     -2.34624
      0.00000      1.86835  3.55318e+06    -0.918655
      0.00000      1.86837  8.97877e+07     -2.91628
      0.00000      1.86838      188956.    0.0402757
      0.00000      1.86839  5.05512e+06     -3.51957
      0.00000      1.86841  2.35518e+06     -2.43089
      0.00000      1.86842  6.07210e+07     -3.03158
      0.00000      1.86844  4.32773e+06     -2.53941
      0.00000      1.86845  2.13448e+06    -0.542858
      0.00000      1.86846      97836.1    -0.110596
      0.00000      1.86848  1.40484e+06     -1.00463
      0.00000      1.86849  8.48146e+06     -1.31764
      0.00000      1.86851  1.44254e+06    -0.772173
      0.00000      1.86852     -13137.8   -0.0117249
      0.00000      1.86853     -578799.    -0.307853
      0.00000      1.86855  1.33265e+07     -1.01463
      0.00000      1.86856  3.05576e+06    -0.939935
      0.00000      1.86858 -3.00468e+06      2.95329
      0.00000      1.86859  1.33840e+06     -1.54351
      0.00000      1.86860  3.30200e+06     -3.57094
      0.00000      1.86862  1.36162e+07     -10.2065
      0.00000      1.86863  1.56576e+07     -13.2680
      0.00000      1.86865  8.58063e+06     -4.28369
      0.00000      1.86866      902644.     -1.15255
      0.00000      1.86867      804676.     -1.67428
      0.00000      1.86869     -712452.     0.954670
      0.00000      1.86870     -679019.      1.38413
      0.00000      1.86872      138627.    -0.241149
      0.00000      1.86873  2.58289e+06     -1.94552
      0.00000      1.86874  1.88461e+06     -1.69336
      0.00000      1.86876     -646091.      1.27378
      0.00000      1.86877     -410375.     0.785669
      0.00000      1.86879     -206901.     0.348748
      0.00000      1.86880  2.62796e+06     -1.69083
      0.00000      1.86881 -1.39987e+06      1.13411
      0.00000      1.86883 -1.54288e+06     0.362014
      0.00000      1.86884  1.41043e+06     -1.42798
      0.00000      1.86886  2.19182e+06     -2.48714
      0.00000      1.86887      460184.    -0.528919
      0.00000      1.86888  2.26394e+06    -0.226471
      0.00000      1.86890 -2.67575e+06      1.04476
      0.00000      1.86891 -4.53915e+06    -0.873440
      0.00000      1.86892 -2.48174e+06     -1.77498
      0.00000      1.86894  1.01473e+06    -0.806435
      0.00000      1.86895  1.18509e+06    -0.856740
      0.00000      1.86897 -7.50418e+07      1.94126
      0.00000      1.86898 -5.60011e+06      2.69974
      0.00000      1.86899      101267.   -0.0549758
      0.00000      1.86901     -88071.5    0.0213231
      0.00000      1.86902  2.03684e+06     -1.22627
      0.00000      1.86904  1.47798e+06      1.08088
      0.00000      1.86905      314239.     0.242446
      0.00000      1.86906  4.11075e+06     -1.29611
      0.00000      1.86908  5.39468e+06     -3.12771
      0.00000      1.86909  1.12040e+07     -1.99684
      0.00000      1.86911     -48244.2    0.0435132
      0.00000      1.86912  2.28878e+06     0.619424
      0.00000      1.86913  2.69457e+06      1.62530
      0.00000      1.86915  1.47275e+07    -0.474803
      0.00000      1.86916  1.70898e+06     -1.96018
      0.00000      1.86918      71654.0   -0.0382960
      0.00000      1.86919 -9.65002e+06     0.232138
      0.00000      1.86920  2.32273e+06    -0.798894
      0.00000      1.86922 -1.15710e+06      1.21121
      0.00000      1.86923     -537585.     0.838580
      0.00000      1.86925 -1.05885e+06     0.519548
      0.00000      1.86926  1.45207e+06     0.900988
      0.00000      1.86927 -2.03754e+06    0.0216520
      0.00000      1.86929  2.46234e+06      1.91305
      0.00000      1.86930 -1.02521e+06     0.465964
      0.00000      1.86931  1.53963e+06     -1.38630
      0.00000      1.86933      197790.    -0.367234
      0.00000      1.86934  1.61692e+06     -1.79489
      0.00000      1.86936  1.42697e+06    -0.396801
      0.00000      1.86937 -4.87336e+07      1.04144
      0.00000      1.86938     -287274.     0.662154
      0.00000      1.86940 -1.35997e+06      2.07902
      0.00000      1.86941 -3.39725e+06      1.98343
      0.00000      1.86943      509403.    -0.423479
      0.00000      1.86944  1.15985e+06     -1.20494
      0.00000      1.86945  2.59097e+06      1.04766
      0.00000      1.86947 -1.48454e+06     -1.34201
      0.00000      1.86948  1.30727e+06     -1.08224
      0.00000      1.86950     -181140.     0.334058
      0.00000      1.86951      66621.8   -0.0847377
      0.00000      1.86952  1.51651e+06     -1.49053
      0.00000      1.86954 -2.15060e+06     0.537513
      0.00000      1.86955 -3.11946e+06      2.27126
      0.00000      1.86957     -851870.     0.935503
      0.00000      1.86958 -7.15393e+06      4.46975
      0.00000      1.86959  1.43845e+06     0.301921
      0.00000      1.86961  1.65602e+06    -0.490825
      0.00000      1.86962  1.47509e+07    -0.257956
      0.00000      1.86963      55297.6   -0.0420670
      0.00000      1.86965     -249006.     0.304246
      0.00000      1.86966 -2.77284e+06      1.24442
      0.00000      1.86968  3.77807e+07      3.95606
      0.00000      1.86969  3.10778e+07      7.12632
      0.00000      1.86970  5.13798e+06      7.79128
      0.00000      1.86972  5.64095e+06      4.69304
      0.00000      1.86973  1.82920e+06      1.03604
      0.00000      1.86975 -3.27924e+07      1.62794
      0.00000      1.86976     -237857.     0.350805
      0.00000      1.86977  1.10634e+06    -0.912748
      0.00000      1.86979  1.26026e+06     -1.22889
      0.00000      1.86980  5.75472e+07      1.14628
      0.00000      1.86981  8.42354e+06     0.742465
      0.00000      1.86983  3.89111e+06     -1.03222
      0.00000      1.86984  2.17253e+06      1.30830
      0.00000      1.86986 -1.94974e+06    -0.736381
      0.00000      1.86987      14887.1   0.00653639
      0.00000      1.86988 -3.77603e+06     0.994034
      0.00000      1.86990 -1.44769e+06     0.996529
      0.00000      1.86991     -396265.     0.388388
      0.00000      1.86993 -1.38679e+07     0.305577
      0.00000      1.86994  1.73225e+06     -1.28305
      0.00000      1.86995      233028.    -0.229315
      0.00000      1.86997      821429.    -0.547417
      0.00000      1.86998 -8.68316e+07    -0.750977
      0.00000      1.86999  2.55188e+07     -2.68116
      0.00000      1.87001      729209.    -0.324019
      0.00000      1.87002  2.00092e+06    -0.281270
      0.00000      1.87004     -399156.     0.547305
      0.00000      1.87005     -349857.     0.313935
      0.00000      1.87006  1.44975e+06    -0.837924
      0.00000      1.87008     -920963.     -1.13083
      0.00000      1.87009     -965460.    -0.777030
      0.00000      1.87011 -8.02620e+06      2.32567
      0.00000      1.87012  9.59412e+06      3.62132
      0.00000      1.87013      232341.     0.386926
      0.00000      1.87015 -1.08383e+06     -1.18998
      0.00000      1.87016  2.46743e+06      1.03208
      0.00000      1.87017      268014.     0.182120
      0.00000      1.87019 -1.48008e+07     -1.12080
      0.00000      1.87020  1.95430e+06     -1.26443
      0.00000      1.87022 -6.04377e+06      2.37084
      0.00000      1.87023 -1.33024e+06      1.40193
      0.00000      1.87024 -7.50402e+06     0.974589
      0.00000      1.87026 -1.77784e+06    -0.933703
      0.00000      1.87027 -2.94137e+06     -1.10287
      0.00000      1.87029 -3.73548e+06     0.449103
      0.00000      1.87030     -110893.    0.0877022
      0.00000      1.87031 -5.10960e+06      2.67653
      0.00000      1.87033  1.27952e+06      1.81843
      0.00000      1.87034  1.23211e+06      1.70856
      0.00000      1.87035 -2.54165e+06     0.925737
      0.00000      1.87037  5.20240e+06     -1.38626
      0.00000      1.87038     -609241.     0.343255
      0.00000      1.87040     -476023.     0.216540
      0.00000      1.87041     -708594.    -0.677767
      0.00000      1.87042     -332382.    -0.352689
      0.00000      1.87044  6.38586e+06      1.37299
      0.00000      1.87045  4.95035e+06      1.02329
      0.00000      1.87046 -5.03746e+06     0.496499
      0.00000      1.87048      40426.7   -0.0398078
      0.00000      1.87049     -708591.     0.525443
      0.00000      1.87051  7.53091e+06     -2.01406
      0.00000      1.87052 -1.98711e+06     -1.37427
      0.00000      1.87053  6.51350e+06      3.28259
      0.00000      1.87055 -7.06876e+06      2.52967
      0.00000      1.87056     -150215.     0.173270
      0.00000      1.87058      9695.33  -0.00995263
      0.00000      1.87059 -1.68764e+06    -0.596428
      0.00000      1.87060 -4.94726e+06    -0.769430
      0.00000      1.87062  6.18812e+06     -1.83271
      0.00000      1.87063  2.93096e+06     -2.58185
      0.00000      1.87064 -2.30798e+06      1.00433
      0.00000      1.87066 -1.02431e+07      2.19281
      0.00000      1.87067  1.40209e+06     -1.22363
      0.00000      1.87069  5.67656e+06     -2.21585
      0.00000      1.87070      354343.     0.311340
      0.00000      1.87071  6.34262e+06    -0.716467
