# Generated by G. Mace on Sun Nov 18 13:32:18 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86629         -NaN         -NaN
      0.00000      1.86631      432724.      43.4057
      0.00000      1.86632  1.83431e+07      6.08330
      0.00000      1.86633     -744817.      1.45436
      0.00000      1.86635      731625.      1.80460
      0.00000      1.86636 -1.29386e+06      2.57036
      0.00000      1.86638 -1.13665e+06     -1.83780
      0.00000      1.86639  2.05454e+06    -0.720908
      0.00000      1.86640  1.04311e+06     -1.00297
      0.00000      1.86642 -1.84674e+06     -2.31909
      0.00000      1.86643 -5.54808e+06     -2.88055
      0.00000      1.86645     -213844.     0.239677
      0.00000      1.86646 -3.37217e+06      1.53272
      0.00000      1.86647  1.25371e+06     0.507645
      0.00000      1.86649 -1.20010e+06    -0.866465
      0.00000      1.86650     -160972.    -0.232413
      0.00000      1.86652  1.16309e+06    -0.581044
      0.00000      1.86653 -1.88380e+06    -0.821599
      0.00000      1.86654      472648.    -0.517894
      0.00000      1.86656 -5.68334e+06      2.13802
      0.00000      1.86657  1.47771e+07     0.835088
      0.00000      1.86659      749661.    -0.745632
      0.00000      1.86660  2.08146e+06      1.85864
      0.00000      1.86661 -3.71184e+06      2.65409
      0.00000      1.86663 -1.66680e+06     0.440479
      0.00000      1.86664 -1.31364e+06     0.816305
      0.00000      1.86666     -663061.      1.41006
      0.00000      1.86667  3.38957e+06     -1.26432
      0.00000      1.86668 -4.88285e+06     -1.23700
      0.00000      1.86670     -238749.    -0.125228
      0.00000      1.86671  2.52133e+06     -1.89618
      0.00000      1.86673  1.44574e+06     0.485090
      0.00000      1.86674      819576.     -3.07829
      0.00000      1.86675      28236.7   -0.0744630
      0.00000      1.86677  5.51182e+06    -0.529843
      0.00000      1.86678  1.02227e+06    -0.929569
      0.00000      1.86679      674702.    -0.647944
      0.00000      1.86681     -606738.      1.03897
      0.00000      1.86682 -1.84305e+06      1.07235
      0.00000      1.86684      49031.7   -0.0197589
      0.00000      1.86685      928285.     0.172986
      0.00000      1.86686  7.45287e+06      1.46524
      0.00000      1.86688     -49204.9    -0.107382
      0.00000      1.86689     -411990.    -0.475796
      0.00000      1.86691 -3.22229e+06     -1.11756
      0.00000      1.86692 -3.74371e+06    -0.594730
      0.00000      1.86693 -1.53867e+06     0.735270
      0.00000      1.86695 -1.32739e+06    -0.573997
      0.00000      1.86696     -216077.     0.497687
      0.00000      1.86698     -879563.     0.881944
      0.00000      1.86699     -58609.6    0.0520517
      0.00000      1.86700 -1.11292e+06    -0.410970
      0.00000      1.86702 -6.72823e+06     -2.95507
      0.00000      1.86703     -277336.     0.151279
      0.00000      1.86705 -2.44821e+06      1.39910
      0.00000      1.86706  1.83025e+06      2.19264
      0.00000      1.86707 -2.41984e+07     0.746598
      0.00000      1.86709 -2.56067e+06      2.22327
      0.00000      1.86710     -48463.2   -0.0422910
      0.00000      1.86712     -29712.9   -0.0294894
      0.00000      1.86713  1.92174e+07      1.22218
      0.00000      1.86714 -1.76299e+06      1.46709
      0.00000      1.86716  1.77365e+06    -0.823742
      0.00000      1.86717     -216198.    -0.310755
      0.00000      1.86719 -7.69310e+06      2.97552
      0.00000      1.86720  1.44537e+06     0.219227
      0.00000      1.86721  3.44510e+07      1.33338
      0.00000      1.86723 -3.61848e+07     -1.52752
      0.00000      1.86724  1.06061e+07      1.89495
      0.00000      1.86726 -1.78187e+06      2.11587
      0.00000      1.86727 -2.65903e+06      3.87937
      0.00000      1.86728  6.62274e+06      2.19268
      0.00000      1.86730 -5.89614e+06      2.07362
      0.00000      1.86731  4.13874e+06      1.23632
      0.00000      1.86733     -375907.    -0.290366
      0.00000      1.86734 -1.27388e+06    -0.885162
