# Generated by G. Mace on Thu Nov 22 00:15:01 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86613         -NaN         -NaN
      0.00000      1.86615 -1.08130e+07      2.33210
      0.00000      1.86616 -1.73988e+07      1.20609
      0.00000      1.86618     -655615.     -1.44984
      0.00000      1.86619 -1.35244e+06     -1.23810
      0.00000      1.86621 -4.70193e+06     -1.17447
      0.00000      1.86622     -138284.    -0.137215
      0.00000      1.86624  1.21643e+06     -1.13295
      0.00000      1.86625     -811856.      1.13804
      0.00000      1.86627 -1.80785e+06      2.13343
      0.00000      1.86628      298933.     0.278144
      0.00000      1.86630      417595.     0.689264
      0.00000      1.86631     -287414.     0.204176
      0.00000      1.86633  1.35492e+07     -2.14620
      0.00000      1.86634      832731.     0.598547
      0.00000      1.86636  2.39420e+06     -3.41195
      0.00000      1.86637 -6.14906e+06     -1.80276
      0.00000      1.86639     -285249.     0.394208
      0.00000      1.86640      709791.     0.390519
      0.00000      1.86642 -1.03071e+06    -0.797381
      0.00000      1.86643 -1.47122e+06     -2.11340
      0.00000      1.86645  1.02704e+06    -0.137671
      0.00000      1.86646  2.72234e+06     -2.93639
      0.00000      1.86648  2.54670e+06     -1.59077
      0.00000      1.86650 -4.42482e+06    -0.964994
      0.00000      1.86651  2.67472e+06     0.738930
      0.00000      1.86653     -688105.    -0.654370
      0.00000      1.86654 -1.44434e+06     -1.10279
      0.00000      1.86656  1.06168e+06     -1.40041
      0.00000      1.86657     -177871.   -0.0371850
      0.00000      1.86659 -1.96414e+06     -2.38512
      0.00000      1.86660     -195350.     0.271685
      0.00000      1.86662 -8.00168e+06     0.174588
      0.00000      1.86663 -1.08185e+06    -0.947004
      0.00000      1.86665      220183.    -0.321759
      0.00000      1.86666 -1.80031e+07    -0.654185
      0.00000      1.86668  4.98264e+06     -1.15138
      0.00000      1.86669     -369428.     0.493106
      0.00000      1.86671      612023.    -0.614916
      0.00000      1.86672  1.62719e+06     -1.26224
      0.00000      1.86674 -2.18385e+06     -1.39405
      0.00000      1.86675  4.87905e+07      1.14016
      0.00000      1.86677      803180.     -1.47627
      0.00000      1.86678 -3.13254e+07     -2.01031
      0.00000      1.86680  2.02330e+06     -1.87962
      0.00000      1.86681 -4.73125e+06     -1.30209
      0.00000      1.86683      242507.     0.383230
      0.00000      1.86684 -2.49666e+06     -2.54456
      0.00000      1.86686  2.01241e+06     -1.84811
      0.00000      1.86687      620947.     -1.13102
      0.00000      1.86689 -8.40197e+07      1.14735
      0.00000      1.86690  2.49379e+06    -0.759754
      0.00000      1.86692 -3.02064e+06      1.81926
      0.00000      1.86693     -389534.     0.429472
      0.00000      1.86695     -106208.     0.123310
      0.00000      1.86696 -1.02770e+07     -2.32278
      0.00000      1.86698 -1.57189e+06     -1.75060
      0.00000      1.86699  1.63962e+06      1.63365
      0.00000      1.86701 -5.68612e+06     0.896088
      0.00000      1.86702 -6.43739e+06     -2.95687
      0.00000      1.86704 -4.19084e+06     -2.20626
      0.00000      1.86705  3.74469e+06     -1.63761
      0.00000      1.86707     -371622.     0.362382
      0.00000      1.86708      645407.    -0.620705
      0.00000      1.86710 -3.81418e+06      2.02308
      0.00000      1.86711  2.68938e+06      2.43667
      0.00000      1.86713      427007.     0.601656
      0.00000      1.86714  4.05389e+06      1.92810
      0.00000      1.86716  2.14580e+06      3.21750
      0.00000      1.86717     -662137.     0.258359
