# Generated by G. Mace on Fri Nov 23 16:28:02 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86632         -NaN         -NaN
      0.00000      1.86633      520196.      1.48857
      0.00000      1.86635  5.20275e+06     0.940207
      0.00000      1.86636     -36424.9   0.00207088
      0.00000      1.86637 -1.54796e+06     -2.03343
      0.00000      1.86639      743709.     0.742913
      0.00000      1.86640  3.55495e+06      1.69398
      0.00000      1.86642  4.55834e+06     0.574949
      0.00000      1.86643      463370.   -0.0958362
      0.00000      1.86644     -248600.    0.0721788
      0.00000      1.86646      463345.    -0.316341
      0.00000      1.86647  1.66476e+06    -0.825512
      0.00000      1.86649 -1.45025e+06      1.38167
      0.00000      1.86650     -422244.     0.265369
      0.00000      1.86651  1.96467e+06     -2.19464
      0.00000      1.86653 -1.43274e+07      1.22512
      0.00000      1.86654  3.52341e+06      2.11594
      0.00000      1.86656  1.37240e+06     0.408219
      0.00000      1.86657      719145.    -0.404240
      0.00000      1.86659  3.09910e+06     -1.21187
      0.00000      1.86660      956108.    -0.546761
      0.00000      1.86661 -1.73393e+06      1.62194
      0.00000      1.86663 -4.33184e+06      1.16544
      0.00000      1.86664 -6.57122e+06     -1.10639
      0.00000      1.86666  3.04181e+06     -1.19837
      0.00000      1.86667  6.06601e+06     -1.53104
      0.00000      1.86668     -463266.    -0.195789
      0.00000      1.86670  1.30256e+06     0.533581
      0.00000      1.86671 -7.85185e+06     -1.73473
      0.00000      1.86673  1.14121e+06    -0.413877
      0.00000      1.86674 -2.63108e+06      2.73657
      0.00000      1.86675     -625241.     0.604342
      0.00000      1.86677 -1.48480e+06      1.12265
      0.00000      1.86678 -2.16965e+06      1.40665
      0.00000      1.86680 -2.83553e+06      1.03300
      0.00000      1.86681 -4.29069e+06      2.98470
      0.00000      1.86682     -70309.7    0.0532413
      0.00000      1.86684  8.15794e+06     -2.34788
      0.00000      1.86685  1.75161e+07     -2.58441
      0.00000      1.86687 -1.87442e+07      2.02965
      0.00000      1.86688  5.93718e+06      1.55607
      0.00000      1.86689  2.23858e+06     -1.33217
      0.00000      1.86691  2.56769e+06     -1.53855
      0.00000      1.86692 -2.65870e+06     0.100307
      0.00000      1.86694     -383466.     0.392593
      0.00000      1.86695      97497.2    -0.126475
      0.00000      1.86696  1.51043e+06     -1.20942
      0.00000      1.86698 -1.01646e+06     0.494086
      0.00000      1.86699  1.80684e+06     -1.05596
      0.00000      1.86701  3.15694e+06    -0.771027
      0.00000      1.86702     -995664.    -0.867051
      0.00000      1.86703 -1.50214e+06    -0.349366
      0.00000      1.86705 -4.03715e+06    -0.922064
      0.00000      1.86706  1.96723e+06    -0.747856
      0.00000      1.86708     -925894.      1.11492
      0.00000      1.86709     -761387.     0.959146
      0.00000      1.86711      368904.    -0.443026
      0.00000      1.86712     -428331.     0.892601
      0.00000      1.86713      398412.    -0.278450
      0.00000      1.86715 -1.14807e+06      1.27503
      0.00000      1.86716      919531.     -1.14237
