# Generated by G. Mace on Tue Nov 20 16:01:29 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.84746         -NaN         -NaN
      0.00000      1.84747         -NaN         -NaN
      0.00000      1.84749         -NaN         -NaN
      0.00000      1.84750         -NaN         -NaN
      0.00000      1.84751         -NaN         -NaN
      0.00000      1.84753         -NaN         -NaN
      0.00000      1.84754         -NaN         -NaN
      0.00000      1.84755         -NaN         -NaN
      0.00000      1.84757         -NaN         -NaN
      0.00000      1.84758         -NaN         -NaN
      0.00000      1.84759         -NaN         -NaN
      0.00000      1.84761         -NaN         -NaN
      0.00000      1.84762         -NaN         -NaN
      0.00000      1.84763         -NaN         -NaN
      0.00000      1.84765         -NaN         -NaN
      0.00000      1.84766         -NaN         -NaN
      0.00000      1.84767         -NaN         -NaN
      0.00000      1.84769         -NaN         -NaN
      0.00000      1.84770         -NaN         -NaN
      0.00000      1.84771         -NaN         -NaN
      0.00000      1.84773         -NaN         -NaN
      0.00000      1.84774         -NaN         -NaN
      0.00000      1.84775         -NaN         -NaN
      0.00000      1.84777         -NaN         -NaN
      0.00000      1.84778         -NaN         -NaN
      0.00000      1.84779         -NaN         -NaN
      0.00000      1.84781         -NaN         -NaN
      0.00000      1.84782         -NaN         -NaN
      0.00000      1.84783         -NaN         -NaN
      0.00000      1.84785         -NaN         -NaN
      0.00000      1.84786         -NaN         -NaN
      0.00000      1.84787         -NaN         -NaN
      0.00000      1.84789         -NaN         -NaN
      0.00000      1.84790         -NaN         -NaN
      0.00000      1.84791         -NaN         -NaN
      0.00000      1.84793         -NaN         -NaN
      0.00000      1.84794         -NaN         -NaN
      0.00000      1.84795         -NaN         -NaN
      0.00000      1.84797         -NaN         -NaN
      0.00000      1.84798         -NaN         -NaN
      0.00000      1.84799         -NaN         -NaN
      0.00000      1.84801         -NaN         -NaN
      0.00000      1.84802         -NaN         -NaN
      0.00000      1.84803         -NaN         -NaN
      0.00000      1.84805         -NaN         -NaN
      0.00000      1.84806         -NaN         -NaN
      0.00000      1.84807         -NaN         -NaN
      0.00000      1.84809         -NaN         -NaN
      0.00000      1.84810         -NaN         -NaN
      0.00000      1.84811         -NaN         -NaN
      0.00000      1.84813         -NaN         -NaN
      0.00000      1.84814         -NaN         -NaN
      0.00000      1.84815         -NaN         -NaN
      0.00000      1.84817         -NaN         -NaN
      0.00000      1.84818         -NaN         -NaN
      0.00000      1.84819         -NaN         -NaN
      0.00000      1.84821         -NaN         -NaN
      0.00000      1.84822         -NaN         -NaN
      0.00000      1.84823         -NaN         -NaN
      0.00000      1.84825         -NaN         -NaN
      0.00000      1.84826         -NaN         -NaN
      0.00000      1.84827         -NaN         -NaN
      0.00000      1.84829         -NaN         -NaN
      0.00000      1.84830         -NaN         -NaN
      0.00000      1.84831         -NaN         -NaN
      0.00000      1.84833         -NaN         -NaN
      0.00000      1.84834         -NaN         -NaN
      0.00000      1.84835         -NaN         -NaN
      0.00000      1.84837         -NaN         -NaN
      0.00000      1.84838         -NaN         -NaN
      0.00000      1.84839         -NaN         -NaN
      0.00000      1.84841         -NaN         -NaN
      0.00000      1.84842         -NaN         -NaN
      0.00000      1.84843         -NaN         -NaN
      0.00000      1.84845         -NaN         -NaN
      0.00000      1.84846         -NaN         -NaN
      0.00000      1.84847         -NaN         -NaN
      0.00000      1.84849         -NaN         -NaN
