# Generated by G. Mace on Sun Feb  5 00:12:16 2017
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86604         -NaN         -NaN
      0.00000      1.86606         -NaN         -NaN
      0.00000      1.86607         -NaN         -NaN
      0.00000      1.86609         -NaN         -NaN
      0.00000      1.86610      375629.      1.14863
      0.00000      1.86612     -878145.     -1.06491
      0.00000      1.86613 -5.56489e+06     -3.69098
      0.00000      1.86615  1.15400e+08      3.88821
      0.00000      1.86616     -680162.     -1.70855
      0.00000      1.86618 -1.95626e+06     -2.69859
      0.00000      1.86620  1.94983e+07     -1.91672
      0.00000      1.86621      758712.    -0.781710
      0.00000      1.86623 -1.41106e+07     -1.77937
      0.00000      1.86624      339050.    -0.189157
      0.00000      1.86626      143453.    -0.115891
      0.00000      1.86627  5.18567e+06     -2.85682
      0.00000      1.86629      810520.    -0.866828
      0.00000      1.86630  3.17986e+06     -2.94516
      0.00000      1.86632      860682.    -0.438254
      0.00000      1.86633  1.80211e+06     -3.38921
      0.00000      1.86635      60475.3    0.0725465
      0.00000      1.86637  4.21639e+06      5.04164
      0.00000      1.86638 -2.05940e+06     0.729436
      0.00000      1.86640      489064.    -0.805651
      0.00000      1.86641      40765.3   -0.0451472
      0.00000      1.86643 -4.91663e+06      3.94929
      0.00000      1.86644  2.33393e+06      2.78935
      0.00000      1.86646  2.35397e+06    -0.743407
      0.00000      1.86647 -7.81310e+06      3.01364
      0.00000      1.86649     -630239.    -0.428048
      0.00000      1.86650 -2.25965e+06     -3.86105
      0.00000      1.86652  1.49245e+06     0.896945
      0.00000      1.86653      399756.     0.223976
      0.00000      1.86655     -276064.     0.319752
      0.00000      1.86657  6.72403e+06     -1.82837
      0.00000      1.86658     -600843.    -0.540559
      0.00000      1.86660 -1.89251e+07     0.522194
      0.00000      1.86661      243214.    -0.412859
      0.00000      1.86663 -3.22874e+07     -5.32254
      0.00000      1.86664  1.90389e+06    -0.646465
      0.00000      1.86666     -999547.      2.32380
      0.00000      1.86667  6.94477e+06     -5.33569
      0.00000      1.86669  1.73889e+06     -4.70833
      0.00000      1.86670     -312825.     0.258864
      0.00000      1.86672     -267412.    -0.177757
      0.00000      1.86673  1.91760e+07     -4.34307
      0.00000      1.86675 -5.04679e+06     -1.79928
      0.00000      1.86676  1.15852e+07     -3.22333
      0.00000      1.86678 -2.22437e+06      1.60180
      0.00000      1.86679      630883.     -1.21135
      0.00000      1.86681     -883028.    -0.586932
      0.00000      1.86682  1.87753e+06     -2.05601
      0.00000      1.86684  7.85455e+06     -2.88028
      0.00000      1.86686 -4.78985e+07     -4.97716
      0.00000      1.86687  4.01728e+07     -3.94507
      0.00000      1.86689     -611140.     -1.35368
      0.00000      1.86690     -809927.    -0.704287
      0.00000      1.86692 -7.25131e+06     -1.97066
      0.00000      1.86693  1.15387e+07     -2.27753
      0.00000      1.86695  1.63638e+06     -3.13100
      0.00000      1.86696  2.45638e+06    -0.890069
      0.00000      1.86698 -1.11835e+06     -2.39271
      0.00000      1.86699  1.54327e+06     -1.89049
      0.00000      1.86701 -5.50907e+06     -3.56415
      0.00000      1.86702 -4.17666e+06     -4.15451
      0.00000      1.86704 -4.43267e+06     -5.19293
      0.00000      1.86705 -1.51945e+06     -2.67879
      0.00000      1.86707 -3.30065e+06     -1.90182
      0.00000      1.86708  3.52067e+06     -1.03802
      0.00000      1.86710 -3.29171e+06     -3.64660
      0.00000      1.86711 -2.51676e+06     -1.83768
      0.00000      1.86713     -422457.     0.236438
      0.00000      1.86714 -5.05923e+06     -2.49290
      0.00000      1.86716     -249565.     0.293140
      0.00000      1.86717 -3.56938e+06    -0.735495
      0.00000      1.86719  1.26610e+06     0.716737
      0.00000      1.86720      710335.     -1.54070
      0.00000      1.86722  3.62000e+06     -3.29964
      0.00000      1.86723      986697.     0.226145
      0.00000      1.86725 -7.94082e+06     -1.60799
      0.00000      1.86726  3.43404e+06     -1.94274
      0.00000      1.86728 -1.82894e+06     -1.77073
      0.00000      1.86729 -2.51322e+06     -2.52761
      0.00000      1.86731 -1.51287e+06     -3.13193
      0.00000      1.86732 -3.78714e+06     -1.65455
      0.00000      1.86734 -6.95575e+06     -3.92219
      0.00000      1.86735 -8.10135e+07     -1.50198
      0.00000      1.86737      980953.     -1.38933
      0.00000      1.86738  1.14098e+06     -1.60504
      0.00000      1.86740 -1.08959e+06     -1.03847
      0.00000      1.86741 -2.20618e+07     -6.58506
      0.00000      1.86743 -2.72500e+08     -3.37553
      0.00000      1.86745 -1.56330e+06    -0.411903
      0.00000      1.86746  2.52700e+06      2.17972
      0.00000      1.86748      276689.     0.346504
      0.00000      1.86749 -1.18928e+06     -1.10391
      0.00000      1.86751 -5.99445e+06     -2.74354
      0.00000      1.86752 -1.30088e+06     -2.33891
      0.00000      1.86754      107994.    0.0382270
      0.00000      1.86755  1.01755e+06      1.51490
      0.00000      1.86757 -9.54259e+06     -4.08608
      0.00000      1.86758 -2.25531e+06     -5.43736
      0.00000      1.86759     -41294.5  -0.00784697
      0.00000      1.86761 -4.83036e+06     -2.36644
      0.00000      1.86762  1.18346e+06     0.996948
      0.00000      1.86764 -1.40773e+06     -2.10544
      0.00000      1.86765      540633.    -0.571433
      0.00000      1.86767  1.14443e+06     -2.55961
      0.00000      1.86768     -754789.    -0.415152
      0.00000      1.86770      57581.6   -0.0765157
      0.00000      1.86771 -3.18819e+06     -2.46811
      0.00000      1.86773 -2.49860e+06     -3.25954
      0.00000      1.86774     -317732.    -0.240745
      0.00000      1.86776     -346944.    -0.647960
      0.00000      1.86777  8.38258e+06     -3.31748
      0.00000      1.86779  3.65121e+06     0.957518
      0.00000      1.86780      285285.    -0.312764
      0.00000      1.86782     -345478.    -0.655093
      0.00000      1.86783 -1.03835e+07     -2.74921
      0.00000      1.86785 -1.46355e+06     -2.60819
      0.00000      1.86786 -1.31932e+06     0.526327
      0.00000      1.86788 -1.88463e+06      3.03339
      0.00000      1.86789      904576.    -0.879938
      0.00000      1.86791      401439.     0.327939
      0.00000      1.86792     -730109.     0.815705
      0.00000      1.86794 -1.96541e+06     -3.53872
      0.00000      1.86795  6.22941e+06      2.84569
      0.00000      1.86797 -1.33573e+06     -2.28286
      0.00000      1.86798  1.72773e+06     -1.62292
      0.00000      1.86800  1.95614e+06     -1.66553
      0.00000      1.86801 -5.45057e+06     -1.06621
      0.00000      1.86803 -2.77056e+06      1.63091
      0.00000      1.86804 -1.56293e+06      1.88960
      0.00000      1.86806 -3.02704e+06      2.95877
      0.00000      1.86807     -506291.      1.17387
      0.00000      1.86809  1.16707e+06     -2.56206
      0.00000      1.86810 -1.31630e+07      2.53232
      0.00000      1.86812      535344.    -0.471631
      0.00000      1.86813 -1.60296e+06      2.41938
      0.00000      1.86815  1.15666e+07     0.324580
      0.00000      1.86816  1.82475e+06     -1.58577
      0.00000      1.86818      987649.    -0.706470
      0.00000      1.86819      468348.     0.677814
      0.00000      1.86820  1.30842e+06    -0.876100
      0.00000      1.86822     -778621.     0.654215
      0.00000      1.86823     -962175.      1.26055
      0.00000      1.86825      152973.    -0.179698
      0.00000      1.86826     -641962.     0.298154
      0.00000      1.86828 -1.66744e+07     -1.82393
      0.00000      1.86829 -3.84690e+06      2.67985
      0.00000      1.86831 -1.46631e+06      1.63318
      0.00000      1.86832 -2.33374e+06      1.20993
      0.00000      1.86834     -371492.    -0.628087
      0.00000      1.86835  1.41584e+06     -1.62571
      0.00000      1.86837  4.26002e+06      2.97824
      0.00000      1.86838      732758.     -1.00802
      0.00000      1.86840     -690937.     0.870956
      0.00000      1.86841     -799196.      1.55789
      0.00000      1.86843 -4.85220e+06     -3.46747
      0.00000      1.86844  4.07739e+06     -1.43256
      0.00000      1.86846 -1.46703e+06     0.795694
      0.00000      1.86847  5.17907e+06     0.444654
      0.00000      1.86848  2.40708e+06    -0.855776
      0.00000      1.86850     -895174.     0.623736
      0.00000      1.86851     -199982.    -0.159860
      0.00000      1.86853     -691538.     0.748304
      0.00000      1.86854 -1.71402e+06      1.02002
      0.00000      1.86856  2.51189e+06      1.60227
      0.00000      1.86857 -4.26195e+06      1.79777
      0.00000      1.86859 -5.38737e+06     -3.67267
      0.00000      1.86860 -2.35798e+06     0.444068
      0.00000      1.86862 -5.09053e+06      3.88764
      0.00000      1.86863 -3.17756e+06    -0.395711
      0.00000      1.86865 -1.80872e+06      1.61861
      0.00000      1.86866 -5.67900e+06      2.34044
      0.00000      1.86868  1.95792e+06    -0.246564
      0.00000      1.86869 -5.37312e+06    -0.234728
      0.00000      1.86870     -608362.     0.449503
      0.00000      1.86872  1.60347e+08      1.20321
      0.00000      1.86873 -2.55201e+06      3.49385
      0.00000      1.86875     -558210.     0.794500
      0.00000      1.86876      980657.      1.19468
      0.00000      1.86878     -245288.    0.0907421
      0.00000      1.86879 -1.10996e+06    -0.404385
      0.00000      1.86881  3.47919e+06     -1.71591
      0.00000      1.86882 -1.84167e+06      2.31478
      0.00000      1.86884 -1.22518e+06      1.63135
      0.00000      1.86885     -757610.      1.65638
      0.00000      1.86887     -925184.      1.38528
      0.00000      1.86888     -449049.     0.331252
      0.00000      1.86889 -3.69091e+06     -1.51841
      0.00000      1.86891  1.27431e+06     -1.77176
      0.00000      1.86892  1.55077e+06     -2.51691
      0.00000      1.86894  1.87366e+06      1.36281
      0.00000      1.86895  1.28492e+06      1.61161
      0.00000      1.86897  1.16384e+06      1.18835
      0.00000      1.86898 -2.53483e+07      2.93259
      0.00000      1.86900  1.94202e+06      1.74768
      0.00000      1.86901     -845235.      1.45209
      0.00000      1.86903  1.40951e+07      1.35743
      0.00000      1.86904      943741.     -1.09865
      0.00000      1.86905 -1.32888e+07      3.97561
      0.00000      1.86907 -1.91045e+06      2.40612
      0.00000      1.86908  1.04848e+06      1.43621
      0.00000      1.86910     -483604.     0.588629
      0.00000      1.86911     -189639.     0.289177
      0.00000      1.86913     -585716.      1.06887
      0.00000      1.86914     -574233.     0.712820
      0.00000      1.86916 -1.81458e+06      1.46665
      0.00000      1.86917 -2.05727e+06      3.81598
      0.00000      1.86918 -1.13238e+06      2.25024
      0.00000      1.86920 -1.48595e+06      2.89178
      0.00000      1.86921 -3.05558e+06      2.05227
      0.00000      1.86923 -2.87806e+06      2.68068
      0.00000      1.86924 -1.32421e+06      1.66565
      0.00000      1.86926     -285424.   -0.0619057
      0.00000      1.86927 -1.07298e+06      2.55489
      0.00000      1.86929 -1.89033e+06      2.53627
      0.00000      1.86930  2.29516e+06      1.08482
      0.00000      1.86932      928.583  6.50358e-05
      0.00000      1.86933      697952.    -0.286839
      0.00000      1.86934     -95561.0    0.0649203
      0.00000      1.86936  2.34644e+07     -1.50951
      0.00000      1.86937 -7.17187e+06     0.720759
      0.00000      1.86939  4.22848e+06      1.32731
      0.00000      1.86940  4.15964e+06     -2.37681
      0.00000      1.86942 -3.90280e+06     0.459185
      0.00000      1.86943      461180.     0.721894
