# Generated by G. Mace on Thu Feb  2 02:14:19 2017
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86621         -NaN         -NaN
      0.00000      1.86623         -NaN         -NaN
      0.00000      1.86624         -NaN         -NaN
      0.00000      1.86626         -NaN         -NaN
      0.00000      1.86627  3.79674e+06     0.713643
      0.00000      1.86629 -7.19624e+06      2.80936
      0.00000      1.86630  1.91550e+07      2.31640
      0.00000      1.86631 -1.00048e+08     -1.86430
      0.00000      1.86633      852468.    -0.289241
      0.00000      1.86634 -2.71367e+06     -1.06391
      0.00000      1.86636      537044.    -0.328319
      0.00000      1.86637 -1.64645e+06    -0.553668
      0.00000      1.86639 -6.42974e+06     0.878529
      0.00000      1.86640  1.24675e+07      1.75704
      0.00000      1.86642 -3.62048e+06    -0.409595
      0.00000      1.86643  1.26745e+06     0.835512
      0.00000      1.86645  2.61040e+06    -0.320121
      0.00000      1.86646  6.12679e+06      1.36108
      0.00000      1.86647     -843224.    -0.694593
      0.00000      1.86649  2.17432e+06      2.50373
      0.00000      1.86650      822048.     0.624836
      0.00000      1.86652  2.53106e+06      1.55988
      0.00000      1.86653     -125923.   -0.0909732
      0.00000      1.86655  4.34833e+06    -0.413921
      0.00000      1.86656     -312394.     0.957331
      0.00000      1.86658 -1.06352e+06      1.53460
      0.00000      1.86659      419286.     0.672853
      0.00000      1.86661      466685.     0.537390
      0.00000      1.86662  1.04541e+07      1.66888
      0.00000      1.86663 -1.44436e+06     0.947639
      0.00000      1.86665  1.48087e+06      1.68447
      0.00000      1.86666  3.00576e+06      4.13741
      0.00000      1.86668  2.17131e+06      2.25144
      0.00000      1.86669  1.90213e+06     0.767733
      0.00000      1.86671 -3.97308e+06      1.01821
      0.00000      1.86672  4.71473e+06     -2.87135
      0.00000      1.86674      51596.7    0.0149185
      0.00000      1.86675      873582.    -0.490606
      0.00000      1.86677      425251.    -0.369532
      0.00000      1.86678  4.69808e+07      2.09480
