# Generated by G. Mace on Sat Feb  4 22:00:53 2017
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86627         -NaN         -NaN
      0.00000      1.86629         -NaN         -NaN
      0.00000      1.86630         -NaN         -NaN
      0.00000      1.86632         -NaN         -NaN
      0.00000      1.86633 -2.86582e+06      1.63522
      0.00000      1.86635 -1.02987e+06      2.26436
      0.00000      1.86636  8.55927e+06     -2.41925
      0.00000      1.86638      398165.    -0.337052
      0.00000      1.86639     -764279.    -0.619184
      0.00000      1.86640      68015.1   -0.0785737
      0.00000      1.86642 -1.29473e+06      1.48463
      0.00000      1.86643     -721227.     0.147296
      0.00000      1.86645 -4.08941e+06     0.429810
      0.00000      1.86646 -6.44042e+06     0.358134
      0.00000      1.86648      838836.    -0.499625
      0.00000      1.86649  1.58562e+08      3.26025
      0.00000      1.86651      481182.     0.308884
      0.00000      1.86652 -5.85162e+06    -0.775792
      0.00000      1.86653 -1.15259e+07      5.07725
      0.00000      1.86655 -1.14131e+06      1.65422
      0.00000      1.86656  1.24637e+06     -2.60736
      0.00000      1.86658     -488875.    -0.492312
      0.00000      1.86659     -710228.     -1.04699
      0.00000      1.86661  1.30259e+06    -0.841329
      0.00000      1.86662  1.52791e+06     0.694329
      0.00000      1.86663      148298.     0.214028
      0.00000      1.86665     -191882.     0.236448
      0.00000      1.86666 -1.24138e+06      1.08069
      0.00000      1.86668 -1.91739e+06      4.97580
      0.00000      1.86669     -280801.     0.224647
      0.00000      1.86671     -607973.     0.981249
      0.00000      1.86672 -8.02812e+06      1.15803
      0.00000      1.86674      36202.9   -0.0600004
      0.00000      1.86675     -214356.    -0.269610
      0.00000      1.86676      215690.    -0.208540
      0.00000      1.86678 -2.43274e+06     -2.63337
      0.00000      1.86679     -24330.7   -0.0875509
      0.00000      1.86681  1.56287e+06     0.782966
      0.00000      1.86682 -1.81364e+06    -0.880241
      0.00000      1.86684  1.07588e+06    -0.949040
      0.00000      1.86685     -317766.    -0.745571
      0.00000      1.86686 -1.59233e+07     -2.03340
      0.00000      1.86688     -655840.     0.600769
      0.00000      1.86689     -276056.     -1.08044
      0.00000      1.86691     -781413.      1.86686
      0.00000      1.86692  3.78011e+06    -0.680649
      0.00000      1.86694     -582050.     0.158046
      0.00000      1.86695     -889734.     0.693755
      0.00000      1.86697     -791203.     0.664778
      0.00000      1.86698      24592.0   -0.0408649
      0.00000      1.86699  2.13316e+06     -1.90348
      0.00000      1.86701  3.94237e+06      1.55130
      0.00000      1.86702  1.74305e+07      2.19056
      0.00000      1.86704     -187571.    -0.102326
      0.00000      1.86705  4.47772e+06      3.60968
      0.00000      1.86707     -805458.      1.27114
      0.00000      1.86708  1.90205e+06     -1.13595
      0.00000      1.86709      53690.6   -0.0325446
      0.00000      1.86711  1.05130e+06    -0.690495
      0.00000      1.86712 -1.96232e+07     0.838793
      0.00000      1.86714  3.23022e+06      3.63893
      0.00000      1.86715  1.21407e+07      1.73029
      0.00000      1.86717  2.11025e+06     -4.69150
      0.00000      1.86718 -1.24410e+06      3.76563
      0.00000      1.86719     -620490.     0.964735
      0.00000      1.86721      229639.    -0.414665
      0.00000      1.86722      508071.     0.863637
      0.00000      1.86724 -1.47795e+06     -1.34058
      0.00000      1.86725  9.29723e+06    -0.796535
      0.00000      1.86727  9.27411e+06      7.78453
      0.00000      1.86728     -771234.     0.154150
      0.00000      1.86729      729058.     -1.35446
      0.00000      1.86731 -1.18221e+06     0.955445
      0.00000      1.86732  2.57972e+07      2.26963
      0.00000      1.86734 -7.13585e+06     -1.06865
      0.00000      1.86735  1.58827e+07      3.42160
      0.00000      1.86737 -1.31712e+07      2.88331
      0.00000      1.86738      332822.     -1.00244
      0.00000      1.86739 -9.69745e+06     -1.29929
      0.00000      1.86741 -2.73045e+07     -4.19460
      0.00000      1.86742     -730763.      1.09009
      0.00000      1.86744      243218.    0.0892077
      0.00000      1.86745 -1.19079e+06      1.90427
