# Generated by G. Mace on Sun Feb  5 00:13:01 2017
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86604         -NaN         -NaN
      0.00000      1.86606         -NaN         -NaN
      0.00000      1.86607         -NaN         -NaN
      0.00000      1.86609         -NaN         -NaN
      0.00000      1.86610 -6.90403e+06      3.91771
      0.00000      1.86612      410551.     0.379069
      0.00000      1.86613  1.41951e+06      2.89256
      0.00000      1.86615  2.57348e+06      2.64381
      0.00000      1.86616     -112711.     0.111097
      0.00000      1.86618      33123.9    -0.147261
      0.00000      1.86620      831217.     -1.34344
      0.00000      1.86621  1.01167e+07     -3.77487
      0.00000      1.86623     -278309.      1.44490
      0.00000      1.86624 -1.17070e+06      2.19386
      0.00000      1.86626 -2.24099e+07      1.97878
      0.00000      1.86627  1.98894e+06      1.25431
      0.00000      1.86629     -551004.      1.87124
      0.00000      1.86630  1.55591e+06      2.63613
      0.00000      1.86632  1.47389e+06      3.14178
      0.00000      1.86633  2.94176e+06      3.67126
      0.00000      1.86635 -3.71393e+06      2.57749
      0.00000      1.86637     -957039.      1.85951
      0.00000      1.86638     -101962.     0.159228
      0.00000      1.86640  1.41079e+06      1.12307
      0.00000      1.86641     -28411.5    0.0270149
      0.00000      1.86643     -170070.     0.442685
      0.00000      1.86644 -3.67667e+06      4.88713
      0.00000      1.86646 -1.12234e+06     -2.55702
      0.00000      1.86647 -2.06595e+06     -3.16165
      0.00000      1.86649      559138.    -0.372153
      0.00000      1.86650     -960295.      1.45903
      0.00000      1.86652 -4.10726e+07      1.38202
      0.00000      1.86653 -1.06750e+06      2.26956
      0.00000      1.86655     -440748.     0.974050
      0.00000      1.86657      114919.    -0.175246
      0.00000      1.86658  1.09236e+06     -1.37735
      0.00000      1.86660     -426033.     0.357162
      0.00000      1.86661     -819594.     0.421543
      0.00000      1.86663      160914.    -0.389695
      0.00000      1.86664      43828.7    -0.201892
      0.00000      1.86666 -1.13352e+06      2.35438
      0.00000      1.86667     -269880.      1.05013
      0.00000      1.86669 -4.64261e+06     -4.30274
      0.00000      1.86670  1.84470e+06      1.13675
      0.00000      1.86672     -145677.     0.275357
      0.00000      1.86673      82190.0   -0.0992272
      0.00000      1.86675      849918.     -1.49322
      0.00000      1.86676      279111.     0.106534
      0.00000      1.86678  4.97043e+06     -1.44199
      0.00000      1.86679     -513966.      2.12555
      0.00000      1.86681 -1.14682e+06      1.72770
      0.00000      1.86682  1.40273e+06      2.58205
      0.00000      1.86684  3.07040e+06      1.85349
      0.00000      1.86686      167076.     0.534061
      0.00000      1.86687     -153859.    -0.125287
      0.00000      1.86689      955082.     -1.31663
      0.00000      1.86690     -240010.     -1.11597
      0.00000      1.86692 -3.26745e+06     -1.34663
      0.00000      1.86693 -8.58919e+06     -1.23357
      0.00000      1.86695 -2.63798e+06     -2.90083
      0.00000      1.86696      746993.      1.62070
      0.00000      1.86698     -481226.     -1.15050
      0.00000      1.86699     -842273.     -1.74689
      0.00000      1.86701 -4.47633e+07     -5.01227
      0.00000      1.86702     -301110.    -0.830829
      0.00000      1.86704 -2.83178e+06      4.69425
      0.00000      1.86705      39029.0   -0.0736141
      0.00000      1.86707      931144.    -0.543024
      0.00000      1.86708  2.24472e+06     -1.92988
      0.00000      1.86710  3.36586e+09    -0.993549
      0.00000      1.86711 -1.56823e+06     0.966828
      0.00000      1.86713 -1.10866e+06      1.43531
      0.00000      1.86714     -680800.     0.163067
      0.00000      1.86716      209544.    -0.912460
      0.00000      1.86717     -205096.    -0.174388
      0.00000      1.86719  2.94318e+06     -1.28302
      0.00000      1.86720  4.49718e+06      1.95608
      0.00000      1.86722 -1.85281e+06      3.90475
      0.00000      1.86723      286418.    -0.980910
      0.00000      1.86725  1.75793e+07      2.60379
      0.00000      1.86726 -1.44297e+06      1.18199
      0.00000      1.86728 -3.71064e+06      1.92761
      0.00000      1.86729 -2.94347e+06      2.46111
      0.00000      1.86731      445071.    -0.856267
      0.00000      1.86732  1.36988e+06    -0.806487
      0.00000      1.86734 -9.21430e+06     -1.55567
      0.00000      1.86735     -231279.      1.00861
      0.00000      1.86737     -528960.     0.776569
      0.00000      1.86738  1.14603e+06     -1.21266
      0.00000      1.86740 -2.22677e+06     -1.20810
      0.00000      1.86741 -2.21658e+06      1.34002
      0.00000      1.86743      386933.     0.786428
      0.00000      1.86745  3.04064e+06     -3.16729
      0.00000      1.86746 -1.81340e+06     -4.86044
      0.00000      1.86748  1.40618e+06      2.10283
      0.00000      1.86749 -3.25839e+06     -1.24339
      0.00000      1.86751     -491491.    -0.606757
      0.00000      1.86752 -4.04205e+06     -1.74914
      0.00000      1.86754  9.73282e+06     -4.64174
      0.00000      1.86755  1.93350e+06     -1.91616
      0.00000      1.86757  1.36742e+06      2.95756
      0.00000      1.86758 -3.53578e+08      4.60425
      0.00000      1.86759      113469.     0.238278
      0.00000      1.86761      257379.     0.453335
      0.00000      1.86762     -117067.    -0.472839
      0.00000      1.86764     -976295.     -1.89354
      0.00000      1.86765  1.07811e+06     -1.58110
      0.00000      1.86767      410556.    -0.552675
      0.00000      1.86768     -498884.     0.571219
      0.00000      1.86770 -7.39704e+06     -2.28625
      0.00000      1.86771 -1.02543e+06     -2.06726
      0.00000      1.86773  1.45169e+06     -1.17668
      0.00000      1.86774      95120.8    -0.155908
      0.00000      1.86776  3.36016e+07     -2.81207
      0.00000      1.86777  1.81344e+06      2.64209
      0.00000      1.86779  1.23582e+06      1.51576
      0.00000      1.86780 -9.02234e+06    -0.796665
      0.00000      1.86782      577055.      1.02262
      0.00000      1.86783      661644.     0.305414
      0.00000      1.86785  2.09713e+06      1.60814
      0.00000      1.86786  2.03322e+06     -1.90078
      0.00000      1.86788 -2.23879e+06      1.26719
      0.00000      1.86789 -2.53519e+06      2.19056
      0.00000      1.86791     -925666.     0.580311
      0.00000      1.86792      927111.      1.04693
      0.00000      1.86794     -397511.     -1.45814
      0.00000      1.86795     -186828.    -0.743779
      0.00000      1.86797 -6.17748e+06     -1.88854
      0.00000      1.86798     -268184.     0.451699
      0.00000      1.86800     -82805.8    0.0812963
      0.00000      1.86801      82047.1     0.258109
      0.00000      1.86803     -515783.     -1.14827
      0.00000      1.86804 -1.20627e+06     -1.96941
      0.00000      1.86806     -311822.    -0.329789
      0.00000      1.86807      647062.    -0.630394
      0.00000      1.86809  4.85901e+06     -4.20636
      0.00000      1.86810 -1.17090e+06     -2.77194
      0.00000      1.86812 -1.05087e+06     -1.43890
      0.00000      1.86813  1.89443e+06      1.93587
      0.00000      1.86815 -3.19891e+07      2.13220
      0.00000      1.86816 -1.73223e+06    -0.973170
      0.00000      1.86818     -804124.    -0.538356
      0.00000      1.86819      265379.     0.155057
      0.00000      1.86820     -264623.    -0.492284
      0.00000      1.86822  3.42481e+06     -1.27021
      0.00000      1.86823  1.20889e+06     -2.05280
      0.00000      1.86825      319463.     0.924256
      0.00000      1.86826      114677.     0.565523
      0.00000      1.86828     -80182.7    -0.219904
      0.00000      1.86829  1.17763e+06     -1.74021
      0.00000      1.86831     -519515.     -1.32859
      0.00000      1.86832  3.08679e+06      3.22991
      0.00000      1.86834      864169.      1.63435
      0.00000      1.86835      38280.2    0.0864412
      0.00000      1.86837      256229.      1.85888
      0.00000      1.86838      221859.      1.24492
      0.00000      1.86840     -127845.     -1.00953
      0.00000      1.86841      263375.      1.54862
      0.00000      1.86843 -1.51698e+06      1.96989
      0.00000      1.86844      38034.5    0.0816296
      0.00000      1.86846     -490854.     -1.39257
      0.00000      1.86847     -432962.     -1.89050
      0.00000      1.86848 -2.16782e+06     -1.81042
      0.00000      1.86850  2.12428e+06      2.43589
      0.00000      1.86851      385821.    -0.579413
      0.00000      1.86853     -152570.    -0.327092
      0.00000      1.86854 -4.88454e+06     -1.52843
      0.00000      1.86856 -4.10183e+06     -4.30747
      0.00000      1.86857 -3.88311e+06     -3.97459
      0.00000      1.86859  1.16303e+06     -3.15329
      0.00000      1.86860     -415248.    -0.999819
      0.00000      1.86862 -1.39986e+06     -3.71004
      0.00000      1.86863     -961718.     -2.61377
      0.00000      1.86865 -7.59882e+06     0.265668
      0.00000      1.86866     -952797.     -1.67319
      0.00000      1.86868     -223343.    -0.188341
      0.00000      1.86869 -1.47008e+06    -0.651080
      0.00000      1.86870      33201.4   -0.0665622
      0.00000      1.86872     -39464.2     0.103864
      0.00000      1.86873     -739932.    0.0582497
      0.00000      1.86875     -785666.     -1.41080
      0.00000      1.86876 -1.32416e+06     -2.47598
      0.00000      1.86878     -761794.      1.14724
      0.00000      1.86879 -2.02837e+06     -3.51916
      0.00000      1.86881     -342443.    -0.735175
      0.00000      1.86882 -2.47645e+06     -4.08914
      0.00000      1.86884 -1.30939e+06     -1.60292
      0.00000      1.86885      375702.     0.642317
      0.00000      1.86887 -1.10942e+06     -1.05605
      0.00000      1.86888     -472125.     0.325988
      0.00000      1.86889      994508.     -3.80211
      0.00000      1.86891 -2.64915e+06     -1.95084
      0.00000      1.86892 -1.98360e+06     -4.75830
      0.00000      1.86894     -864081.     -2.38064
      0.00000      1.86895      443727.     -1.01153
      0.00000      1.86897 -1.93181e+06      1.03010
      0.00000      1.86898  4.26739e+06     0.382160
      0.00000      1.86900      160615.     0.304948
      0.00000      1.86901      843327.      1.76205
      0.00000      1.86903     -71173.0    -0.246517
      0.00000      1.86904     -839325.     -2.58011
      0.00000      1.86905     -87436.8    -0.152924
      0.00000      1.86907 -2.03020e+06      1.88185
      0.00000      1.86908  5.80998e+06      2.14036
      0.00000      1.86910     -660474.     0.316199
      0.00000      1.86911     -580295.     0.188943
      0.00000      1.86913      642685.    -0.197157
      0.00000      1.86914     -710625.   -0.0518144
      0.00000      1.86916  1.21953e+08     0.920891
      0.00000      1.86917 -2.59508e+07      2.04424
      0.00000      1.86918      344752.     0.255062
      0.00000      1.86920      611102.    -0.829799
      0.00000      1.86921 -4.10023e+06      1.88392
      0.00000      1.86923  1.64672e+06      1.73493
      0.00000      1.86924      426692.    -0.826481
      0.00000      1.86926     -708435.     -1.98486
      0.00000      1.86927      828392.    -0.749708
      0.00000      1.86929     -272287.    -0.320566
      0.00000      1.86930      81779.9    -0.173478
      0.00000      1.86932 -2.36836e+06      1.08029
      0.00000      1.86933 -5.33028e+06    -0.372600
      0.00000      1.86934     -68766.0   -0.0856364
      0.00000      1.86936 -1.44828e+06    -0.417582
      0.00000      1.86937      869050.     -2.01182
      0.00000      1.86939     -117361.     0.131261
      0.00000      1.86940     -399634.    -0.555011
      0.00000      1.86942     -116983.    0.0309572
      0.00000      1.86943  1.29594e+06    -0.758665
      0.00000      1.86944 -1.45250e+06     0.518193
      0.00000      1.86946 -9.23518e+06     -2.75719
      0.00000      1.86947  1.41316e+06     -1.66323
      0.00000      1.86949      716621.     -1.06352
      0.00000      1.86950     -880980.     0.376135
      0.00000      1.86952      711949.     -1.37755
      0.00000      1.86953  4.67092e+06     -5.93621
