# Generated by G. Mace on Fri Feb  3 21:14:34 2017
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86635         -NaN         -NaN
      0.00000      1.86637         -NaN         -NaN
      0.00000      1.86638         -NaN         -NaN
      0.00000      1.86639         -NaN         -NaN
      0.00000      1.86641  5.40849e+06      1.33691
      0.00000      1.86642 -2.63627e+06      1.52728
      0.00000      1.86644      278110.    -0.750601
      0.00000      1.86645      615157.     0.656072
      0.00000      1.86646      522365.     -1.07130
      0.00000      1.86648 -1.26056e+06     -2.99930
      0.00000      1.86649  1.18927e+06     -2.59460
      0.00000      1.86651 -1.45271e+07     -3.05451
      0.00000      1.86652     -354747.    -0.352791
      0.00000      1.86653 -1.63228e+06    -0.239823
      0.00000      1.86655     -295721.     0.340999
      0.00000      1.86656     -896311.      1.05070
      0.00000      1.86658      316264.     0.416190
      0.00000      1.86659 -6.65079e+06    -0.461578
      0.00000      1.86660      698568.     -1.34140
      0.00000      1.86662     -377712.    -0.503977
      0.00000      1.86663     -561837.    -0.581717
      0.00000      1.86664 -6.87660e+07      1.34773
      0.00000      1.86666 -4.10354e+06     -1.16683
      0.00000      1.86667 -1.21566e+06      3.48188
      0.00000      1.86669  2.38542e+06      3.34305
      0.00000      1.86670     -79723.6    0.0957872
      0.00000      1.86671     -101749.    -0.344631
      0.00000      1.86673  7.87830e+06      4.08901
      0.00000      1.86674      237226.    -0.463481
      0.00000      1.86676  4.70703e+06      3.22372
      0.00000      1.86677     -484852.     0.751789
      0.00000      1.86678  2.37940e+06     0.518527
      0.00000      1.86680     -32865.7    0.0824684
      0.00000      1.86681  1.71185e+06    -0.195117
      0.00000      1.86683 -1.29104e+08     -3.40926
      0.00000      1.86684 -1.22943e+06     -2.69291
      0.00000      1.86685  1.16308e+06    -0.559807
      0.00000      1.86687     -502836.     -1.75140
      0.00000      1.86688     -122565.     0.335777
      0.00000      1.86690 -1.02413e+06      1.69701
      0.00000      1.86691     -71327.0    0.0953435
      0.00000      1.86692     -809114.    -0.543468
      0.00000      1.86694     -761593.     -1.09897
      0.00000      1.86695 -1.72415e+07    -0.391933
      0.00000      1.86697  3.12986e+06     -4.77484
      0.00000      1.86698 -5.56161e+06     -2.07710
      0.00000      1.86699  2.93702e+07     -1.91788
      0.00000      1.86701      951907.      1.66154
      0.00000      1.86702 -3.17395e+06     0.669369
      0.00000      1.86703  4.24378e+06     0.941016
      0.00000      1.86705     -725281.     -2.93368
      0.00000      1.86706      420565.    0.0320542
      0.00000      1.86708  1.23258e+07    -0.552620
      0.00000      1.86709  1.68164e+06      1.31410
      0.00000      1.86710  2.40874e+06     -1.89185
      0.00000      1.86712  2.23114e+07      1.32383
      0.00000      1.86713  1.35404e+06      1.38691
      0.00000      1.86715      435938.    -0.369255
      0.00000      1.86716      208.273 -0.000704350
      0.00000      1.86717  1.39493e+06      3.70543
      0.00000      1.86719     -512200.      2.10653
      0.00000      1.86720      261584.    -0.133900
      0.00000      1.86722 -5.48772e+06     0.453250
      0.00000      1.86723 -2.23312e+07      1.06439
      0.00000      1.86724  2.01440e+06      1.10223
      0.00000      1.86726  4.23657e+06      1.37335
      0.00000      1.86727      871796.      1.95124
      0.00000      1.86729      260691.     -1.12659
      0.00000      1.86730 -3.31862e+06      3.84195
      0.00000      1.86731  1.09073e+07     -1.96956
      0.00000      1.86733 -5.50958e+06      1.58502
      0.00000      1.86734  3.81508e+06     0.856960
      0.00000      1.86735     -101066.     0.288010
      0.00000      1.86737      597352.     -2.05661
      0.00000      1.86738     -805756.      1.41497
      0.00000      1.86740  1.57385e+06     -1.14013
      0.00000      1.86741  5.00554e+06     -1.08354
      0.00000      1.86742 -2.17051e+06      2.48217
      0.00000      1.86744  2.78467e+07     -1.93284
      0.00000      1.86745 -2.72389e+06     -2.65653
      0.00000      1.86747      181305.     0.417341
      0.00000      1.86748  2.01577e+06     -3.44718
      0.00000      1.86749 -7.20996e+06      2.61859
      0.00000      1.86751  3.06644e+06      1.46367
      0.00000      1.86752  1.40301e+06      3.21249
      0.00000      1.86754 -2.95288e+06    -0.584551
      0.00000      1.86755  1.43023e+07     -3.12098
      0.00000      1.86756     -483895.    -0.475956
      0.00000      1.86758      170160.     0.291030
      0.00000      1.86759     -451711.    -0.674062
      0.00000      1.86760 -1.50670e+06    -0.181677
      0.00000      1.86762      166356.     0.136724
      0.00000      1.86763     -894100.     -1.05688
      0.00000      1.86765 -1.40611e+06     -2.57801
      0.00000      1.86766      54767.2    -0.158353
      0.00000      1.86767      734370.     0.294841
      0.00000      1.86769  9.02466e+06    -0.933200
      0.00000      1.86770      516877.     0.357474
      0.00000      1.86772 -1.22331e+06     0.804978
      0.00000      1.86773 -5.38846e+06    -0.569812
      0.00000      1.86774  1.42440e+06      2.71381
      0.00000      1.86776     -167967.    -0.973089
      0.00000      1.86777 -3.35830e+06      1.37189
      0.00000      1.86779     -990313.    -0.821380
      0.00000      1.86780  6.08145e+06      1.03941
      0.00000      1.86781      294755.     0.944471
      0.00000      1.86783  1.55734e+06     -1.19191
      0.00000      1.86784     -258632.     0.131683
      0.00000      1.86785      824760.     -1.30173
      0.00000      1.86787     -779297.      1.01838
      0.00000      1.86788     -228066.    -0.929171
      0.00000      1.86790  1.84755e+06     0.403852
      0.00000      1.86791      237612.    -0.486844
      0.00000      1.86792  1.37787e+06    -0.148409
      0.00000      1.86794     -84531.2    -0.361251
      0.00000      1.86795 -2.12065e+06      1.77500
      0.00000      1.86797  1.68704e+06    -0.768710
      0.00000      1.86798  1.28097e+06     -1.43206
      0.00000      1.86799      729579.     0.181991
      0.00000      1.86801      173855.    -0.282696
      0.00000      1.86802 -1.08227e+07     -2.53444
      0.00000      1.86804     -267695.    -0.932608
      0.00000      1.86805  1.38202e+07     -1.82511
      0.00000      1.86806 -1.49548e+06     -1.35010
      0.00000      1.86808  1.87128e+06     0.912288
      0.00000      1.86809  1.71660e+06     0.592218
      0.00000      1.86810      835119.     0.867012
      0.00000      1.86812     -616387.     -1.15050
      0.00000      1.86813 -2.82330e+06    -0.119498
