Spectrum,Observed,Ritz,Transition,Rel.,Aki,fik,Acc.,Ei           Ek,Lower level,Upper level,Type,TP,Line
Fe I,2.080473,2.0804731,4806.599,132,,,,3.98410712        -    4.58004944,3d6.(5D).4s.4p.(3P*)      | z 3F*      | 2,3d7.(2F).4s                         | d 3F        | 2,,,L11631
Fe I,2.080531,2.0805303,4806.465,500,,,,5.70661711        -    6.30254306,3d6.(3H).4s.4p.(3P*)      | z 3I*      | 6,3d6.(5D).4s (6D).4d                 | e 7F        | 5,,,L11631
Fe I,2.0810774,2.0810762,4805.203,690,,,,6.06634697        -    6.66211658,3d7.(4F).5s               | e 3F       | 2,3d6.(3D).4s.4p.(3P*)                | 5F*         | 3,,,L11631
Fe I,2.0819188,2.0819198,4803.261,15,,,,5.35157038        -    5.94709859,3d6.(5D).4s (6D).5s       | e 7D       | 4,3d5.(6S).4s2.4p                     | v 5P*       | 3,,,L11631
Fe I,2.0819535,2.0819532,4803.181,29,,,,5.81508605        -    6.41060472,3d6.(3P2).4s.4p.(3P*)     | y 3P*      | 1,3d6.(5D).4s (6D).4d                 | f 5F        | 2,,,L11631
Fe II,2.0821303,2.08213004,4802.7734,8,,,,12.7458673         -   13.3413354,3d6.(5D).6s               | 4D         | 5/2,3d6.(5D).6p                         | 6F*         | 3/2,,,L18349c148
Ti I,2.08222,2.0822205,4802.566,5,,,,4.6930253         -    5.28846755,3d2.(3P).4s.4p.(1P*)      | u 3D*      | 1,3d2.4s.(4F).4d                      | 3D          | 1,,,L10989
Fe II,2.0823169,2.0823169,4802.343,24,,,,12.6953327         -   13.2907474,3d6.(5D).6s               | 4D         | 7/2,3d6.(5D).6p                         | 6P*         | 7/2,,,L18349c148
Fe II,2.082638,2.0826383,4801.603,1,69000.0,0.006,D+,10.4552114         -   11.0505342,3d6.(5D).4d               | 6P         | 5/2,3d5.(4P).4s.4p.(3P*)                | 6P*         | 7/2,,T6892c83,L18349c139
Fe II,2.08298673,2.0829866,4800.7987,1.8,260000.0,0.021,D,12.8550633         -   13.4502865,3d6.(5D).5d               | 4F         | 9/2,3d6.(3H).5p                         | 4G*         | 11/2,,T6892c83,L18349c139
Fe II,2.0834558,2.0834557,4799.7179,1.3,240000.0,0.015,E,12.8660067         -   13.4610958,3d6.(3H).4d               | 4G         | 9/2,3d6.(3H).5p                         | 4G*         | 9/2,,T6892c83,L18349c139
Fe I,2.083528,2.0835278,4799.551,14,,,,6.80421351        -    7.39928211,3d7.(4F).4d               | e 3P       | 2,3d7.(4F<5/2>).4f                    | 2[5/2]*     | 3,,,L11631
Fe I,2.08465,2.0846493,4796.968,1200,,,,6.01718438        -    6.61193286,3d7.(4F).5s               | e 3F       | 3,3d7.(4F).5p                         | 3F*         | 4,,,L11631
Fe I,2.08472,2.0847171,4796.808,9,,,,5.66931758        -    6.26404671,3d6.(3F2).4s.4p.(3P*)     | x 5G*      | 5,3d6.(5D).4s (6D).4d                 | e 5G        | 6,,,L11631
Fe I,2.0856409,2.0856401,4794.689,85,,,,6.06634697        -    6.66081289,3d7.(4F).5s               | e 3F       | 2,3d6.(3D).4s.4p.(3P*)                | 5F*         | 2,,,L11631
Ti I,2.086122,2.0861211,4793.584,6,,,,4.7084969         -    5.30282580,3d2.(3P).4s.4p.(1P*)      | u 3D*      | 2,3d2.4s.(4F).4d                      | 3D          | 2,,,L10989
Fe II,2.0865998,2.0866002,4792.4858,5,260000.0,0.0173,C+,10.4552114         -   11.0494038,3d6.(5D).4d               | 6P         | 5/2,3d6.(5D).5p                         | 6D*         | 5/2,,T6892c83,L18349c139
Fe I,2.086686,2.0866899,4792.287,37,,,,6.80421351        -    7.3983804,3d7.(4F).4d               | e 3P       | 2,3d7.(4F<5/2>).4f                    | 2[7/2]*     | 3,,,L11631
Fe I,2.088214,2.0882145,4788.782,28,,,,6.63883718        -    7.2325702,3d7.(4F).4d               | h 5D       | 3,3d6.(3H).4s.4p.(1P*)                | 3G*         | 4,,,L11631
Fe II,2.0886369,2.0886372,4787.8116,0.6,,,,12.7290536         -   13.3226665,3d6.(5D).6s               | 6D         | 1/2,3d5.(2D3).4s.4p.(3P*)               | 4D*         | 1/2,,,L18349c139
Fe I,2.088793,2.0887934,4787.454,49,,,,6.40899243        -    7.00256095,3d6.(5D).4s (6D).5p       | u 5P*      | 3,3d6.4s.(6D).5d                      | 5D          | 2,,,L11631
Fe II,2.089241,2.0892415,4786.428,0.13,,,,13.0262214         -   13.6196626,3d6.(3F2).4d              | 4G         | 11/2,3d5.(2H).4s.4p.(3P*)                | 4G*         | 9/2,,,L18349c139
Fe II,2.0902931,2.09029270,4784.0181,1.3,29000.0,0.0019,E,12.7831241         -   13.3762669,3d6.(3P2).4d              | 4D         | 7/2,3d5.(4F).4s.4p.(3P*)                | 6D*         | 7/2,,T6892c83,L18349c139
Fe I,2.090348,2.0903464,4783.893,15,,,,5.53924278        -    6.13237029,3d6.(5D).4s (6D).5s       | e 5D       | 4,3d7.(2G).4p                         | v 3G*       | 5,,,L11631
Fe II,2.09064419,2.09064405,4783.2147,40,,,,12.6502274         -   13.2432705,3d6.(5D).6s               | 6D         | 7/2,3d6.(5D).6p                         | 6D*         | 5/2,,,L18349c148
Fe I,2.091129,2.0911280,4782.106,37,,,,6.44033241        -    7.03323823,3d6.(5D).4s (6D).5p       | u 5P*      | 2,3d6.4s.(6D).5d                      | 5F          | 3,,,L11631
Ti I,2.091906,2.0919078,4780.33,9,,,,5.36008366        -    5.95276849,3d2.4s.(4F).4d            | g 5F       | 4,3d2.4s.(4F<3/2>).4f                 | 2[9/2]*     | 5,,,L12119
Fe II,2.0922476,2.0922481,4779.5491,0.7,,,,12.6090094         -   13.2015978,3d6.(5D).6s               | 6D         | 9/2,3d5.(4F).4s.4p.(3P*)                | 6F*         | 7/2,,,L18349c139
Si I,2.092284,,4779.466,12,,,,,|            |,|             |,,,L4745
Fe II,2.094205,2.0942049,4775.081,0.15,,,,12.7917192         -   13.3837539,3d6.(3G).5s               | f 4G       | 5/2,3d6.(5D).6p                         | 4P*         | 3/2,,,L18349c139
Fe II,2.094316,2.0943154,4774.8286,0.9,13000.0,0.0006,E,12.8444417         -   13.4364452,3d6.(3P2).4d              | 2F         | 5/2,3d6.(3P2).5p                        | 4S*         | 3/2,,T6892c83,L18349c139
Ti I,2.095091,2.0950897,4773.063,8,,,,5.37223614        -    5.96402082,3d2.4s.(4F).4d            | g 5F       | 5,3d2.4s.(4F<5/2>).4f                 | 2[11/2]*    | 6,,,L12119
Fe I,2.0953816,2.0953805,4772.4,79,,,,6.11891044        -    6.71061300,3d6.(5D).4s (6D).5p       | n 7D*      | 5,3d6.(5D).4s (6D).6s                 | g 7D        | 4,,,L11631
Fe II,2.09599827,2.09599840,4770.9963,13,,,,12.6953327         -   13.2868609,3d6.(5D).6s               | 4D         | 7/2,3d6.(5D).6p                         | 4F*         | 7/2,,,L18349c139
Fe I,2.0964359,2.0964334,4770.0,245,,,,6.40899243        -    7.0003978,3d6.(5D).4s (6D).5p       | u 5P*      | 3,3d6.4s.(6D).5d                      | 7P          | 3,,,L11631
Fe II,2.09646885,2.0964686,4769.9254,11,,,,12.7458673         -   13.3372628,3d6.(5D).6s               | 4D         | 5/2,3d6.(5D).6p                         | 6F*         | 5/2,,,L18349c139
Fe II,2.09682839,2.09682861,4769.1075,9,,,,12.6953327         -   13.2866266,3d6.(5D).6s               | 4D         | 7/2,3d6.(5D).6p                         | 4P*         | 5/2,,,L18349c139
Fe I,2.097105,2.0971048,4768.479,17,,,,6.06634697        -    6.6575630,3d7.(4F).5s               | e 3F       | 2,3d6.(3D).4s.4p.(3P*)                | 5F*         | 1,,,L11631
Fe II,2.0974658,2.0974659,4767.658,0.2,11000.0,0.0006,E,13.0677952         -   13.6589094,3d6.(3F2).4d              | 4H         | 11/2,3d6.(3F2).5p                        | 4F*         | 9/2,,T6892c83,L18349c139
Fe I,2.0996774,2.0996767,4762.636,42,,,,4.14264893        -    4.73314079,3d8                       | c 3F       | 3,3d7.(4F).4p                         | y 3D*       | 3,,,L11631
Fe II,2.0999203,2.0999210,4762.0854,0.19,,,,13.6392921         -   14.2297153,3d6.(3G).4d               | 2H         | 9/2,3d6.(3G).5p                         | 2H*         | 9/2,,,L18349c139
Fe II,2.1021232,2.10212325,4757.0951,0.4,,,,13.0375699         -   13.6273745,3d6.(3F2).4d              | 4G         | 9/2,3d6.(3H).5p                         | 4I*         | 9/2,,,L18349c139
Fe II,2.1022574,2.1022576,4756.7915,0.5,120000.0,0.006,E,12.8787670         -   13.4685339,3d6.(3H).4d               | 4H         | 9/2,3d5.(4G).4s.4p.(1P*)                | 4G*         | 7/2,,T6892c83,L18349c139
Fe I,2.102334,2.1023301,4756.617,45,,,,6.69101333        -    7.28075992,3d7.(4F).4d               | h 5D       | 2,3d7.(4F<9/2>).4f                    | 2[5/2]*     | 2,,,L11631
Fe II,2.1023837,2.1023827,4756.5056,1.4,290000.0,0.024,D,12.8713640         -   13.4610958,3d6.(5D).5d               | 4F         | 7/2,3d6.(3H).5p                         | 4G*         | 9/2,,T6892c83,L18349c139
Fe II,2.10323692,2.10323697,4754.5761,2.3,,,,12.7137971         -   13.3032894,3d6.(5D).6s               | 6D         | 3/2,3d5.(2F1).4s.4p.(3P*)               | 4G*         | 5/2,,,L18349c139
Fe II,2.103665,2.1036723,4753.608,0.25,,,,13.6149454         -   14.2043157,3d6.(3G).4d               | 4F         | 9/2,3d6.(3G).5p                         | 4H*         | 7/2,,,L18349c139
Ti I,2.105174,2.1051748,4750.202,8,,,,4.6640244         -    5.25297410,3d3.(2G).4p               | v 3G*      | 4,3d2.4s.(4F).4d                      | 3H          | 5,,,L10989
Fe II,2.1064602,2.1064601,4747.3006,0.32bl(Ne),15000.0,0.0008,E,12.8660067         -   13.4545970,3d6.(3H).4d               | 4G         | 9/2,3d5.(2F1).4s.4p.(3P*)               | 4F*         | 7/2,,T6892c83,L18349c148
Mg I,2.106551,2.106550,4747.096,5,768000.0,0.0657,C+,6.7790143         -    7.3675796,3s.4f                     | 1F*        | 3,3s.7g                               | 1G          | 4,,T6298c72,L6692
Mg I,2.10665,2.106646,4746.87,6,705000.0,0.0657,C+,6.7790411         -    7.3675796,3s.4f                     | 3F*        | 2,3s.7g                               | 3G          | 3,,"T6298c72,LS",L6692
Mg I,2.106664,2.106666,4746.841,6,719000.0,0.0615,C+,6.7790469         -    7.3675796,3s.4f                     | 3F*        | 3,3s.7g                               | 3G          | 4,,"T6298c72,LS",L6692
Ti I,2.106679,2.1066772,4746.808,7,,,,4.7311702         -    5.31969983,3d2.(3P).4s.4p.(1P*)      | u 3D*      | 3,3d2.4s.(4F).4d                      | 3D          | 3,,,L10989
Mg I,2.106684,2.106690,4746.796,6,767000.0,0.0624,C+,6.7790536         -    7.3675796,3s.4f                     | 3F*        | 4,3s.7g                               | 3G          | 5,,"T6298c72,LS",L6692
Fe II,2.1074171,2.1074167,4745.1451,1.1,430000.0,0.025,E,12.9023740         -   13.4906971,3d6.(3H).4d               | 4I         | 13/2,3d5.(4G).4s.(5G).4p                 | 4H*         | 11/2,,T6892c83,L18349c139
Sc I,2.1094,2.109406,4740.68,2,,,,3.5983765         -    4.1861447,3d2.(3F).4p               | 4G*        | 5/2,3d3                                 | 4F          | 3/2,,,L4189c12
Fe II,2.10966863,2.1096686,4740.0809,9,,,,12.7137971         -   13.3014922,3d6.(5D).6s               | 6D         | 3/2,3d6.(5D).6p                         | 6D*         | 1/2,,,L18349c148
Al I,2.109884,2.109883,4739.597,4700,3000000.0,0.2,B+,4.0852554         -    4.6728909,3s2.4p                    | 2P*        | 1/2,3s2.5s                              | 2S          | 1/2,,T7365,L6693
Fe II,2.1099331,2.1099339,4739.4868,0.5,,,,13.4707235         -   14.0583447,3d6.(1I).5s               | 2I         | 13/2,3d6.(5D<3>).5f                      | 2[6]*       | 13/2,,,L18349c139
Fe I,2.1101163,2.1101160,4739.075,100,,,,6.20026651        -    6.78783705,3d6.(5D).4s (6D).5p       | n 7D*      | 2,3d6.(5D).4s (6D).6s                 | g 7D        | 1,,,L11631
Fe I,2.1129635,2.1129628,4732.689,115,,,,6.06634697        -    6.65312587,3d7.(4F).5s               | e 3F       | 2,3d7.(4F).5p                         | 5F*         | 3,,,L11631
Fe I,2.1130238,2.1130249,4732.554,102,,,,5.33417031        -    5.92093198,3d6.(3H).4s.4p.(3P*)      | y 5G*      | 4,3d7.(4F).5s                         | e 5F        | 3,,,L11631
Fe I,2.1130801,2.1130793,4732.428,31,,,,6.37048876        -    6.95723530,3d6.(5D).4s (6D).5p       | u 5F*      | 4,3d7.(4F).6s                         | 5F          | 5,,,L11631
Fe II,2.1137866,2.1137873,4730.846,0.12,23000.0,0.0015,E,13.0262214         -   13.6127714,3d6.(3F2).4d              | 4G         | 11/2,3d5.(2G2).4s.4p.(3P*)               | 4H*         | 11/2,,T6892c83,L18349c139
Ti I,2.114728,2.114729,4728.74,35,,,,4.8728897         -    5.4591785,3d3.(4F).5s               | f 5F       | 4,3d3.(4F).5p                         | 5G*         | 5,,,L10989
