,NAME,OBJNAME_super,OBJNAME_recipe,MAIN_ID,CIVIL,RA,DEC,FILENAME,SNRH_pix,SNRH_res,SNRK_pix,SNRK_res,U,B,V,R,G,I,PASTEL_Teff,PASTEL_logg,PASTEL_[Fe/H],PASTEL_Flag,FILE_URL,CAL_URL,RAW_URL
0,HD 282630,LkCa 19,LkCa 19,HD 282630,20141125,74.15716666666667,30.321944444444444,SDCH_20141125_0127.fits,49.88011169433594,96,43.99728012084961,84,,12.170000076293944,11.119999885559082,10.550000190734863,10.340399742126465,,,,,,https://utexas.box.com/shared/static/ocd0q79dahy6zpoghsdm2imvkev7me38.gz,https://utexas.box.com/shared/static/zpg3qqqlcawtlh3k571ywu8afxwr5ptb.gz,https://utexas.box.com/s/pmel1g5f3ij38rnu1yfty3l9ewjwms8k
1,V* V830 Tau,V830 Tau,V830 Tau,V* V830 Tau,20141127,68.51770833333333,24.58383333333333,SDCH_20141127_0104.fits,59.68635559082031,115,50.79709243774414,97,,13.90999984741211,12.079999923706056,11.300000190734863,11.667200088500977,,,,,,https://utexas.box.com/shared/static/y5vynuy46wo01dnqi5ni2zxv3rsi0kd1.gz,https://utexas.box.com/shared/static/wkwhqylttpcpw3ifxtp7ho0zo191h69c.gz,https://utexas.box.com/s/4szm51p24fvn7suygk5ul2ai94mvigz9
2,V* V1095 Tau,LkCa 1,LkCa 1,V* V1095 Tau,20141127,63.54595833333333,28.350444444444445,SDCH_20141127_0112.fits,61.84138488769531,119,59.03508377075195,113,,15.31999969482422,13.8100004196167,13.619999885559082,12.519000053405762,,,,,,https://utexas.box.com/shared/static/v24kuk9oozwfllig1ed31u7zwqgk0s1q.gz,https://utexas.box.com/shared/static/wkwhqylttpcpw3ifxtp7ho0zo191h69c.gz,https://utexas.box.com/s/4szm51p24fvn7suygk5ul2ai94mvigz9
3,L 1551-51,L1551-51,L1551-51,L 1551-51,20141129,68.25654166666665,17.98363888888889,SDCH_20141129_0129.fits,48.08128356933594,93,43.86187744140625,84,,13.289999961853027,,,11.64780044555664,,,,,,https://utexas.box.com/shared/static/j9ie8gkof7ncwbc3s2t3x4wcu09kchv5.gz,https://utexas.box.com/shared/static/gj7lu2x64ngonwx3igtis8gaz9169hav.gz,https://utexas.box.com/s/io5r8rqtxffztqorjrh58stf3xgentkv
4,HD 283572,HD 283572,HD 283572,HD 283572,20141130,65.72320833333332,28.33647222222222,SDCH_20141130_0145.fits,74.83928680419922,144,66.74883270263672,128,,9.800000190734863,9.029999732971191,9.140000343322754,8.80346965789795,,,,,,https://utexas.box.com/shared/static/h22ss8iqg7mwyuuibwp921ctdiiadpho.gz,https://utexas.box.com/shared/static/nqlk0kd1dxy3x2x5vrtij7iz0cpr2u1x.gz,https://utexas.box.com/s/5pu2aajnfb04d2os5v94f8yzxvg0ary7
5,HD 282630,LkCa 19,LkCa 19,HD 282630,20141130,74.15220833333332,30.334055555555555,SDCH_20141130_0231.fits,62.0421142578125,120,51.0505485534668,98,,12.170000076293944,11.119999885559082,10.550000190734863,10.340399742126465,,,,,,https://utexas.box.com/shared/static/wtjyem6s2342lvkli76zgxf2fyo7979v.gz,https://utexas.box.com/shared/static/nqlk0kd1dxy3x2x5vrtij7iz0cpr2u1x.gz,https://utexas.box.com/s/5pu2aajnfb04d2os5v94f8yzxvg0ary7
6,V* V1076 Tau,L1551-55,L1551-55,V* V1076 Tau,20141207,68.40816666666666,18.079916666666666,SDCH_20141207_0054.fits,36.99308776855469,71,37.98990631103516,73,,14.720000267028809,,,12.400799751281738,,,,,,https://utexas.box.com/shared/static/4hp7yum3viqlzd57kgi3pp4kluipgxu3.gz,https://utexas.box.com/shared/static/gejek85lokfbmiw6t8r4up774jcybnar.gz,https://utexas.box.com/s/8s1u73ka54xzhlp6hoi263mhjmah7rhk
7,HD 283572,HD 283572,HD 283572,HD 283572,20150106,65.73229166666665,28.32986111111111,SDCH_20150106_0077.fits,134.08334350585938,259,117.55709075927734,225,,9.800000190734863,9.029999732971191,9.140000343322754,8.80346965789795,,,,,,https://utexas.box.com/shared/static/eoggk4c070k7iyvxujbn9rpf0jaakc1x.gz,https://utexas.box.com/shared/static/f58cqsdsx4dsvgtrtt8sm1kcwl7nl9jx.gz,https://utexas.box.com/s/a4oxlvkgo0uox8ugx0a3su21alnakxbe
8,V* V830 Tau,V830 Tau,V830 Tau,V* V830 Tau,20150922,68.532125,24.58736111111111,SDCH_20150922_0088.fits,46.337738037109375,88,33.208858489990234,63,,13.90999984741211,12.079999923706056,11.300000190734863,11.667200088500977,,,,,,https://utexas.box.com/shared/static/w344ptflpacb8s01ab0z6ahu9w9k654z.gz,https://utexas.box.com/shared/static/noo2ytn5hyxjzza1y9at0iqgpw65xhm5.gz,https://utexas.box.com/s/qycev9u866gz6mexdln66tp7u1cuvd86
9,V* V830 Tau,V830 Tau,V830 Tau,V* V830 Tau,20150923,68.54204166666666,24.58497222222222,SDCH_20150923_0077.fits,47.88726806640625,91,44.42032623291016,85,,13.90999984741211,12.079999923706056,11.300000190734863,11.667200088500977,,,,,,https://utexas.box.com/shared/static/7wjts9ax5im12ee46gk8id4osytyl9q9.gz,https://utexas.box.com/shared/static/61cqikjre260ix770twtr3j9n01bz8kw.gz,https://utexas.box.com/s/wphblfu758i7nr11tnthv5ib3014etfq
