Source,Name,Spectral_Type
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/merged_standards\\mHD286178_20190120_K_0049_spec_A0v.fits,HD286178,K1
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/merged_standards\\mHQTau_20190119_K_0031_spec_A0v.fits,HQTau,K2
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/merged_standards\\mLkCa14_20181120_K_0087_spec_A0v.fits,LkCa14,K5/K7
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/merged_standards\\mHBC427_20171229_K_0064_spec_A0v.fits,HBC427,K6
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/merged_standards\\mV830Tau_20190122_K_0031_spec_A0v.fits,V830Tau,K7.5
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/merged_standards\\mHubble4_20181120_K_0083_spec_A0v.fits,Hubble4,K8
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/merged_standards\\mXEST09-042_20171229_K_0056_spec_A0v.fits,XEST09-042,K8
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/merged_standards\\mHaro6-13_20190123_K_0083_spec_A0v.fits,Haro6-13,M0
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/merged_standards\\mAnon1_20181120_K_0075_spec_A0v.fits,Anon1,M0.5
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/merged_standards\\mJH108_20171230_K_0041_spec_A0v.fits,JH108,M1.5
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/merged_standards\\mLkCa4_20181120_K_0063_spec_A0v.fits,LkCa4,M2
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/merged_standards\\mDKTau_20181119_K_0053_spec_A0v.fits,DKTau,M2/K9
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/merged_standards\\mHBC359_20181120_K_0063_spec_A0v.fits,HBC359,M3
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/merged_standards\\mJH433_20190125_K_0091_spec_A0v.fits,JH433,M4
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/merged_standards\\mMHO7_20171231_K_0055_spec_A0v.fits,MHO7,M5
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/merged_standards\\mMHO8_20190124_K_0085_spec_A0v.fits,MHO8,M6
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/merged_standards\\mV410-Xray5a_20181119_K_0077_spec_A0v.fits,V410-Xray5a,M6/M0
