source            ra          dec       lbol tbol class intflux_alma_mJy  e_intflux_alma_mJy intflux_vla_mJy e_intflux_vla_mJy decon_bmaj_alma_arcsec decon_bmin_alma_arcsec decon_pa_alma_deg e_decon_bmaj_alma_arcsec e_decon_bmin_alma_arcsec e_decon_pa_alma_deg decon_bmaj_vla_arcsec decon_bmin_vla_arcsec decon_pa_vla_deg e_decon_bmaj_vla_arcsec e_decon_bmin_vla_arcsec e_decon_pa_vla_deg mass_alma_mearth e_mass_alma_mearth mass_vla_mearth e_mass_vla_mearth distance_pc
HOPS-153   05:37:57.023 -07:06:56.27 3.8 39.4 0    148.10 3.00 0.6380  0.0240  0.39 0.10 32.4 0.0090 0.0030 0.5 0.14 0.05 34.1 0.0070 0.0050 2.4  103.360 2.092  612.089 23.025  387.9

HH270VLA1-A 05:51:34.587 +02:56:46.01 7.3 32.0 0    18.90 0.68 0.2430  0.0190  0.08 0.03 143.9 0.0080 0.0120 6.7 0.08 0.03 143.0 0.0110 0.0100 9.2  13.439 0.482  242.354 18.949  430.1
HH270VLA1-C 05:51:34.595 +02:56:45.89 7.3 32.0 0    -99.00 -99.00 0.5300  0.0290  -99.00 -99.00 -99.0 -99.0000 0.0000 0.0 0.11 0.09 50.3 0.0090 0.0110 22.9  -329999.670 -329999.670  528.591 28.923  430.1
HH270VLA1-B 05:51:34.600 +02:56:45.88 7.3 32.0 0    17.71 0.73 0.0880  0.0060  0.10 0.04 141.2 0.0080 0.0090 5.6 0.00 0.00 0.0 0.0000 0.0000 0.0  12.593 0.516  87.766 5.984  430.1
HH270mms1-B 05:51:22.632 +02:56:06.80 7.7 72.0 I    9.57 2.56 0.0249  0.0249  0.08 0.07 2.7 0.0550 0.0340 68.6 -99.00 -99.00 -99.0 -99.0000 -99.0000 3.3  5.965 1.594  21.795 21.795  405.7
HH270mms1-A 05:51:22.717 +02:56:04.98 7.7 72.0 I    258.94 5.25 0.9070  0.0250  0.27 0.14 87.4 0.0060 0.0040 1.5 0.09 0.06 98.6 0.0040 0.0040 5.7  161.331 3.270  793.912 21.883  405.7
HH270mms2  05:51:22.572 +02:55:43.16 4.6 249.0 Flat 75.44 2.17 0.0240  0.0240  0.25 0.20 47.3 0.0080 0.0080 7.3 -99.00 -99.00 -99.0 -99.0000 -99.0000 3.3  56.684 1.630  24.937 24.937  413.3
HH111MMS-B 05:51:46.066 +02:48:30.80 22.0 78.0 I    25.44 4.56 0.1720  0.0160  0.07 0.04 146.2 0.0420 0.0280 42.0 0.04 0.02 82.0 0.0160 0.0200 52.3  12.168 2.183  118.528 11.026  410.6
HH111MMS-A 05:51:46.253 +02:48:29.65 22.0 78.0 I    694.09 15.68 2.1830  0.0320  0.55 0.17 7.6 0.0130 0.0040 0.6 0.13 0.09 7.5 0.0030 0.0030 3.3  331.977 7.500  1504.342 22.052  410.6
