-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed       |    Unc.     |         Ritz         |    Unc.     |  Rel. |    Aki     | Acc. |        Ei           Ek        |             Lower level             |             Upper level              |Type|      TP  |        Line  |
          |      Wavelength      |     (µm)    |      Wavelength      |     (µm)    |  Int. |   (s^-1)   |      |       (eV)         (eV)       |-------------------------------------|--------------------------------------|    |     Ref. |        Ref.  |
          |       Vac (µm)       |             |       Vac (µm)       |             |       |            |      |                               | Conf.                | Term  | J    | Conf.                 | Term  | J    |    |          |              |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                      |             |                      |             |       |            |      |                               |                      |       |      |                       |       |      |    |          |              |
Ti I      |           2.220450   |  0.000006   |           2.2204483  |  0.0000025  |     2 |            |      |   3.9214575   -    4.4798321  | 3d3.(4F).4p          | w 3G* | 5    | 3d4                   | b 3G  | 4    |    |          |      L10989  |
Ti I      |           2.221729   |  0.000006   |           2.2217280  |  0.0000025  |   380 | 7.50e+04   | B    |   1.7335189   -    2.2915719  | 3d3.(4P).4s          | a 5P  | 1    | 3d2.(3F).4s.4p.(3P*)  | z 5D* | 1    |    |    T8000 |      L10989  |
Fe II     |           2.2219600  |  0.0000012  |           2.22196003 |  0.00000020 |  0.25 |            |      |  12.7137971   -   13.2717918  | 3d6.(5D).6s          | 6D    | 3/2  | 3d6.(5D).6p           | 6D*   | 3/2  |    |          |  L18349c139  |
Fe II     |           2.2232173  |  0.0000011  |           2.2232197  |  0.0000004  |     1 | 1.41e+05   | C+   |  10.7507828   -   11.3084614  | 3d6.(5D).4d          | e 4F  | 3/2  | 3d6.(5D).5p           | 4F*   | 3/2  |    | T6892c83 |  L18349c139  |
Fe II     |                      |             |           2.2237563  |  0.0000016  |       | 5.5e-03    | E    |   3.38661825  -    3.9441623  | 3d6.(3F2).4s         | a 2F  | 7/2  | 3d7                   | b 2F  | 5/2  | M1 |    T8961 |              |
          |                      |             |                      |             |       |            |      |                               |                      |       |      |                       |       |      |    |          |              |
Fe II     |           2.2238115  |  0.0000010  |           2.2238130  |  0.0000005  |  0.18 | 6.e+03     | E    |  12.8996498   -   13.4571796  | 3d6.(3H).4d          | 4G    | 5/2  | 3d5.(2F1).4s.4p.(3P*) | 4F*   | 5/2  |    | T6892c83 |  L18349c139  |
Ti I      |           2.223890   |  0.000006   |           2.2238911  |  0.0000020  |   470 | 5.60e+04   | B    |   1.7393044   -    2.2968146  | 3d3.(4P).4s          | a 5P  | 2    | 3d2.(3F).4s.4p.(3P*)  | z 5D* | 2    |    |    T8000 |      L10989  |
Fe I      |           2.224213   |  0.000004   |           2.2242126  |  0.0000011  |    19 |            |      |   5.70661711  -    6.26404671 | 3d6.(3H).4s.4p.(3P*) | z 3I* | 6    | 3d6.(5D).4s (6D).4d   | e 5G  | 6    |    |          |      L11631  |
Fe II     |           2.22424277 |  0.00000017 |           2.22424282 |  0.00000020 |   1.9 |            |      |  12.7458673   -   13.3032894  | 3d6.(5D).6s          | 4D    | 5/2  | 3d5.(2F1).4s.4p.(3P*) | 4G*   | 5/2  |    |          |  L18349c139  |
